股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
301275.SZ,20250709,58.42,58.75,56.87,57.08,57.58,-0.5,-0.8684,20917.0,120875.412,57.08,6.5858,6.5858,1.06,33.9474,34.8888,6.2993,5.3743,5.3657,,0.2663,42240.0,3176.0754,3176.0754,2411059.2,181290.3838
301275.SZ,20250708,56.87,57.58,56.52,57.58,56.54,1.04,1.8394,15661.05,89518.799,57.58,4.9309,4.9309,0.81,34.2448,35.1944,6.3544,5.4214,5.4127,,0.264,42240.0,3176.0754,3176.0754,2432179.2,182878.4215
301275.SZ,20250707,57.0,57.68,56.5,56.54,57.08,-0.54,-0.946,12573.0,71306.875,56.54,3.9587,3.9587,0.61,33.6263,34.5587,6.2397,5.3234,5.3149,,0.2688,42240.0,3176.0754,3176.0754,2388249.6,179575.3031
301275.SZ,20250704,57.83,58.76,57.02,57.08,58.2,-1.12,-1.9244,22078.66,127106.719,57.08,6.9516,6.9516,1.18,33.9474,34.8888,6.2993,5.3743,5.3657,,0.2663,42240.0,3176.0754,3176.0754,2411059.2,181290.3838
301275.SZ,20250703,56.68,59.78,56.62,58.2,56.67,1.53,2.6998,34734.0,203510.086,58.2,10.9361,10.9361,2.29,34.6135,35.5734,6.4229,5.4797,5.4709,,0.2612,42240.0,3176.0754,3176.0754,2458368.0,184847.5883
301275.SZ,20250702,57.75,57.86,56.43,56.82,57.86,-1.04,-1.7974,13362.53,76130.523,56.82,4.2072,4.2072,0.82,33.7928,34.7299,6.1671,5.3498,5.3412,,,42240.0,3176.0754,3176.0754,2400076.8,180464.6042
301275.SZ,20250701,58.46,58.46,57.57,57.86,58.47,-0.61,-1.0433,14360.66,83169.108,57.86,4.5215,4.5215,0.78,34.4113,35.3656,6.28,5.4477,5.439,,,42240.0,3176.0754,3176.0754,2444006.4,183767.7226
301275.SZ,20250630,58.3,58.82,57.86,58.47,57.95,0.52,0.8973,18240.49,106429.764,58.47,5.7431,5.7431,0.98,34.7741,35.7384,6.3462,5.5052,5.4963,,,42240.0,3176.0754,3176.0754,2469772.8,185705.1286
301275.SZ,20250627,57.7,58.48,57.5,57.95,57.7,0.25,0.4333,13169.06,76423.278,57.95,4.1463,4.1463,0.68,34.4648,35.4206,6.2898,5.4562,5.4474,,,42240.0,3176.0754,3176.0754,2447808.0,184053.5694
301275.SZ,20250626,57.97,58.66,57.39,57.7,58.15,-0.45,-0.7739,16597.98,96348.752,57.7,5.2259,5.2259,0.82,34.3162,35.2678,6.2626,5.4327,5.4239,,,42240.0,3176.0754,3176.0754,2437248.0,183259.5506
