股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
688025.SH,20250709,80.72,82.69,79.02,81.06,81.45,-0.39,-0.4788,25311.46,204599.907,81.06,2.663,4.2953,0.79,58.0677,54.0906,3.7945,5.2995,4.9999,,,9504.9423,9504.9423,5892.8513,770470.6228,770470.6228
688025.SH,20250708,79.67,86.4,79.01,81.45,79.59,1.86,2.337,48057.3,399523.806,81.45,5.056,8.1552,1.74,58.3471,54.3508,3.8128,5.325,5.0239,,,9504.9423,9504.9423,5892.8513,774177.5503,774177.5503
688025.SH,20250707,75.6,79.59,75.0,79.59,75.61,3.98,5.2639,32307.09,250817.234,79.59,3.399,5.4824,1.22,57.0147,53.1096,3.7257,5.2034,4.9092,,,9504.9423,9504.9423,5892.8513,756498.3577,756498.3577
688025.SH,20250704,74.02,76.47,73.82,75.61,75.53,0.08,0.1059,27452.8,206540.732,75.61,2.8883,4.6587,1.01,54.1636,50.4538,3.5394,4.9432,4.6637,,,9504.9423,9504.9423,5892.8513,718668.6873,718668.6873
688025.SH,20250703,70.87,75.98,70.55,75.53,71.24,4.29,6.0219,26538.67,195147.655,75.53,2.7921,4.5035,0.95,54.1063,50.4004,3.5356,4.938,4.6588,,,9504.9423,9504.9423,5892.8513,717908.2919,717908.2919
688025.SH,20250702,73.0,73.2,69.14,71.24,71.58,-0.34,-0.475,26031.09,183844.071,71.24,2.7387,4.4174,0.9,51.0331,47.5378,3.3348,4.6575,4.3942,,,9504.9423,9504.9423,5892.8513,677132.0895,677132.0895
688025.SH,20250701,71.08,73.95,70.5,71.58,71.5,0.08,0.1119,25949.15,186160.276,71.58,2.7301,4.4035,0.8,51.2767,47.7646,3.3507,4.6798,4.4152,,,9504.9423,9504.9423,5892.8513,680363.7698,680363.7698
688025.SH,20250630,70.41,71.97,69.19,71.5,70.62,0.88,1.2461,25975.97,183033.062,71.5,2.7329,4.408,0.8,51.2194,47.7113,3.347,4.6745,4.4102,,,9504.9423,9504.9423,5892.8513,679603.3745,679603.3745
688025.SH,20250627,69.25,71.37,68.07,70.62,69.23,1.39,2.0078,30792.94,216221.002,70.62,3.2397,5.2255,0.93,50.589,47.124,3.3058,4.617,4.3559,,,9504.9423,9504.9423,5892.8513,671239.0252,671239.0252
688025.SH,20250626,68.73,69.82,67.3,69.23,68.81,0.42,0.6104,31328.05,215293.953,69.23,3.296,5.3163,0.97,49.5933,46.1965,3.2407,4.5261,4.2702,,,9504.9423,9504.9423,5892.8513,658027.1554,658027.1554
688025.SH,20250625,67.2,69.55,66.42,68.81,67.07,1.74,2.5943,30244.72,207191.723,68.81,3.182,5.1324,0.86,49.2924,45.9163,3.2211,4.4987,4.2443,,,9504.9423,9504.9423,5892.8513,654035.0797,654035.0797
688025.SH,20250624,67.2,68.25,64.66,67.49,66.66,0.83,1.2451,43699.21,290544.195,67.49,4.5975,7.4156,1.14,48.3468,45.0354,3.0985,4.4124,4.1629,,,9504.9423,9504.9423,5892.8513,641488.5558,641488.5558
688025.SH,20250623,64.95,68.39,64.0,66.66,65.36,1.3,1.989,27304.34,182070.991,66.66,2.8726,4.6335,0.62,47.7522,44.4816,3.0604,4.3581,4.1117,,,9504.9423,9504.9423,5892.8513,633599.4537,633599.4537
688025.SH,20250620,67.01,68.85,65.0,65.36,66.76,-1.4,-2.0971,32338.73,213867.0,65.36,3.4023,5.4878,0.67,46.821,43.6141,3.0007,4.2731,4.0315,,,9504.9423,9504.9423,5892.8513,621243.0287,621243.0287
688025.SH,20250619,67.5,68.0,66.35,66.76,67.49,-0.73,-1.0816,28214.02,189159.55,66.76,2.9684,4.7878,0.49,47.8239,44.5483,3.065,4.3646,4.1178,,,9504.9423,9504.9423,5892.8513,634549.9479,634549.9479
688025.SH,20250618,65.5,67.97,65.0,67.49,65.28,2.21,3.3854,45180.9,300045.289,67.49,4.7534,7.6671,0.74,48.3468,45.0354,3.0985,4.4124,4.1629,,,9504.9423,9504.9423,5892.8513,641488.5558,641488.5558
688025.SH,20250617,67.16,68.79,64.68,65.28,67.47,-2.19,-3.2459,58429.88,387395.688,65.28,6.1473,9.9154,0.95,46.7637,43.5607,2.9971,4.2679,4.0266,,,9504.9423,9504.9423,5892.8513,620482.6333,620482.6333
