股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
839946.BJ,20250709,10.08,10.12,9.84,9.92,10.01,-0.09,-0.8991,48382.51,48182.233,9.92,4.4566,6.705,0.87,,,5.9186,2.6148,2.5624,,,13499.0443,10856.3062,7215.9275,133910.5195,107694.5575
839946.BJ,20250708,9.98,10.12,9.92,10.01,9.94,0.07,0.7042,33580.35,33594.432,10.01,3.0932,4.6536,0.57,,,5.9723,2.6385,2.5857,,,13499.0443,10856.3062,7215.9275,135125.4334,108671.6251
839946.BJ,20250707,9.85,10.08,9.78,9.94,9.85,0.09,0.9137,37553.57,37301.61,9.94,3.4591,5.2043,0.59,,,5.9306,2.6201,2.5676,,,13499.0443,10856.3062,7215.9275,134180.5003,107911.6836
839946.BJ,20250704,10.21,10.27,9.81,9.85,10.25,-0.4,-3.9024,61104.05,61028.76,9.85,5.6284,8.4679,0.89,,,5.8769,2.5964,2.5443,,,13499.0443,10856.3062,7215.9275,132965.5864,106934.6161
839946.BJ,20250703,10.35,10.49,10.19,10.25,10.4,-0.15,-1.4423,45424.33,46764.305,10.25,4.1841,6.295,0.58,,,6.1155,2.7018,2.6476,,,13499.0443,10856.3062,7215.9275,138365.2041,111277.1386
839946.BJ,20250702,10.19,10.45,10.07,10.4,10.17,0.23,2.2616,100235.24,103512.081,10.4,9.2329,13.8908,1.32,,,6.205,2.7413,2.6864,,,13499.0443,10856.3062,7215.9275,140390.0607,112905.5845
839946.BJ,20250701,10.27,10.27,10.04,10.17,10.23,-0.06,-0.5865,49776.13,50553.638,10.17,4.585,6.8981,0.57,,,6.0678,2.6807,2.627,,,13499.0443,10856.3062,7215.9275,137285.2805,110408.6341
839946.BJ,20250630,10.25,10.31,10.09,10.23,10.18,0.05,0.4912,63032.61,64122.017,10.23,5.8061,8.7352,0.74,,,6.1036,2.6965,2.6425,,,13499.0443,10856.3062,7215.9275,138095.2232,111060.0124
839946.BJ,20250627,10.25,10.44,10.11,10.18,10.11,0.07,0.6924,85500.74,87843.856,10.18,7.8757,11.8489,1.04,,,6.0738,2.6834,2.6296,,,13499.0443,10856.3062,7215.9275,137420.271,110517.1971
839946.BJ,20250626,10.19,10.42,10.1,10.11,10.17,-0.06,-0.59,90048.04,92650.008,10.11,8.2945,12.4791,1.14,,,6.032,2.6649,2.6115,,,13499.0443,10856.3062,7215.9275,136475.3379,109757.2557
