股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
002846.SZ,20250709,16.38,16.96,16.15,16.5,16.35,0.15,0.9174,417198.35,687470.804,16.5,16.2323,27.3041,0.84,,,4.99,3.4333,3.3813,0.1449,,41999.3636,25701.8096,15279.7196,692989.4994,424079.8584
002846.SZ,20250708,16.93,17.0,16.1,16.35,16.36,-0.01,-0.0611,499794.39,821914.402,16.35,19.4459,32.7097,1.0,,,4.9447,3.4021,3.3506,0.1462,,41999.3636,25701.8096,15279.7196,686689.5949,420224.587
002846.SZ,20250707,16.23,16.45,16.12,16.36,16.22,0.14,0.8631,258279.58,420665.615,16.36,10.0491,16.9034,0.42,,,4.9477,3.4042,3.3527,0.1461,,41999.3636,25701.8096,15279.7196,687109.5885,420481.6051
002846.SZ,20250704,16.51,16.8,15.9,16.22,16.94,-0.72,-4.2503,465656.0,755324.046,16.22,18.1176,30.4754,0.64,,,4.9054,3.375,3.324,0.1474,,41999.3636,25701.8096,15279.7196,681229.6776,416883.3517
002846.SZ,20250703,16.42,17.15,15.73,16.94,16.34,0.6,3.672,623683.19,1026735.176,16.94,24.2661,40.8177,0.8,,,5.1231,3.5249,3.4715,0.1411,,41999.3636,25701.8096,15279.7196,711469.2194,435388.6546
002846.SZ,20250702,16.92,18.1,16.34,16.34,17.96,-1.62,-9.02,628959.17,1053035.663,16.34,24.4714,41.163,0.77,,,4.9416,3.4,3.3486,0.1463,,41999.3636,25701.8096,15279.7196,686269.6012,419967.5689
002846.SZ,20250701,19.01,19.31,17.96,17.96,19.96,-2.0,-10.02,528625.73,965042.489,17.96,20.5676,34.5966,0.62,,,5.4316,3.7371,3.6805,0.1331,,41999.3636,25701.8096,15279.7196,754308.5703,461604.5004
002846.SZ,20250630,19.44,20.15,18.5,19.96,19.7,0.26,1.3198,812274.19,1566560.77,19.96,31.6038,53.1603,0.98,,,6.0364,4.1533,4.0904,0.1198,,41999.3636,25701.8096,15279.7196,838307.2975,513008.1196
002846.SZ,20250627,20.3,20.71,19.22,19.7,18.83,0.87,4.6203,1033209.31,2093195.05,19.7,40.1999,67.6197,1.45,,,5.9578,4.0992,4.0371,0.1213,,41999.3636,25701.8096,15279.7196,827387.4629,506325.6491
002846.SZ,20250626,17.5,19.8,16.88,18.83,18.04,0.79,4.3792,872982.47,1618018.227,18.83,33.9658,57.1334,1.41,,,5.6947,3.9181,3.8588,0.127,,41999.3636,25701.8096,15279.7196,790848.0166,483965.0748
002846.SZ,20250625,17.11,18.04,17.1,18.04,16.4,1.64,10.0,811643.71,1440013.109,18.04,31.5792,53.119,1.53,,,5.4558,3.7537,3.6969,0.1325,,41999.3636,25701.8096,15279.7196,757668.5193,463660.6452
002846.SZ,20250624,15.08,16.4,14.71,16.4,14.91,1.49,9.9933,699056.89,1109235.355,16.4,27.1987,45.7506,1.56,,,4.9598,3.4125,3.3608,0.1458,,41999.3636,25701.8096,15279.7196,688789.563,421509.6774
002846.SZ,20250623,13.47,14.91,13.17,14.91,13.55,1.36,10.0369,710075.74,983648.609,14.91,27.6275,46.4718,2.03,,,4.5092,3.1025,3.0555,0.1603,,41999.3636,25701.8096,15279.7196,626210.5113,383213.9811
002846.SZ,20250620,12.32,13.55,12.22,13.55,12.32,1.23,9.9838,463218.23,623343.852,13.55,18.0228,30.3159,1.5,,,4.0979,2.8195,2.7768,0.1764,,41999.3636,25701.8096,15279.7196,569091.3768,348259.5201
002846.SZ,20250619,12.96,13.42,12.2,12.32,12.81,-0.49,-3.8251,403876.01,516359.99,12.32,15.7139,26.4322,1.35,,,3.7259,2.5635,2.5247,0.194,,41999.3636,25701.8096,15279.7196,517432.1596,316646.2943
002846.SZ,20250618,12.09,13.36,11.96,12.81,12.31,0.5,4.0617,383604.67,483606.178,12.81,14.9252,25.1055,1.17,,,3.8741,2.6655,2.6252,0.1866,,41999.3636,25701.8096,15279.7196,538011.8477,329240.181
002846.SZ,20250617,12.58,12.64,12.03,12.31,12.58,-0.27,-2.1463,279100.28,343497.486,12.31,10.8592,18.2661,0.68,,,3.7229,2.5614,2.5227,0.1942,0.1942,41999.3636,25701.8096,15279.7196,517012.1659,316389.2762
002846.SZ,20250616,12.44,12.87,12.38,12.58,12.55,0.03,0.239,217349.54,272969.722,12.58,8.4566,14.2247,0.54,,,3.8045,2.6176,2.578,0.19,0.19,41999.3636,25701.8096,15279.7196,528351.9941,323328.7648
002846.SZ,20250613,12.52,12.96,12.45,12.55,12.72,-0.17,-1.3365,257377.14,324502.843,12.55,10.014,16.8444,0.59,,,3.7954,2.6114,2.5719,0.1905,0.1905,41999.3636,25701.8096,15279.7196,527092.0132,322557.7105
002846.SZ,20250612,12.36,12.98,12.36,12.72,12.71,0.01,0.0787,361603.38,459614.303,12.72,14.0692,23.6656,0.87,,,3.8469,2.6468,2.6067,0.1879,0.1879,41999.3636,25701.8096,15279.7196,534231.905,326927.0181
