股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
601366.SH,20250702,4.58,4.63,4.55,4.63,4.58,0.05,1.0917,60161.34,27581.277,4.63,0.6583,1.1105,1.41,155.3522,210.3135,1.0503,0.5686,0.5776,0.6024,0.4024,91393.2943,91393.2943,54172.8587,423150.9526,423150.9526
601366.SH,20250701,4.6,4.61,4.55,4.58,4.6,-0.02,-0.4348,46580.56,21298.089,4.58,0.5097,0.8599,1.13,153.6745,208.0423,1.039,0.5625,0.5714,0.6089,0.4068,91393.2943,91393.2943,54172.8587,418581.2879,418581.2879
601366.SH,20250630,4.6,4.6,4.55,4.6,4.59,0.01,0.2179,39230.84,17982.507,4.6,0.4293,0.7242,0.92,154.3456,208.9508,1.0435,0.5649,0.5739,0.6063,0.405,91393.2943,91393.2943,54172.8587,420409.1538,420409.1538
601366.SH,20250627,4.6,4.63,4.58,4.59,4.59,0.0,0.0,43432.0,19978.138,4.59,0.4752,0.8017,1.04,154.0101,208.4965,1.0413,0.5637,0.5726,0.6076,0.4059,91393.2943,91393.2943,54172.8587,419495.2208,419495.2208
601366.SH,20250626,4.6,4.61,4.57,4.59,4.59,0.0,0.0,41852.28,19201.881,4.59,0.4579,0.7726,0.96,154.0101,208.4965,1.0413,0.5637,0.5726,0.6076,0.4059,91393.2943,91393.2943,54172.8587,419495.2208,419495.2208
601366.SH,20250625,4.61,4.61,4.57,4.59,4.58,0.01,0.2183,42144.0,19337.497,4.59,0.4611,0.778,0.98,154.0101,208.4965,1.0413,0.5637,0.5726,0.6076,0.4059,91393.2943,91393.2943,54172.8587,419495.2208,419495.2208
601366.SH,20250624,4.55,4.6,4.53,4.58,4.53,0.05,1.1038,39787.0,18214.409,4.58,0.4353,0.7344,0.94,153.6745,208.0423,1.039,0.5625,0.5714,0.6089,0.4068,91393.2943,91393.2943,54172.8587,418581.2879,418581.2879
601366.SH,20250623,4.44,4.54,4.43,4.53,4.48,0.05,1.1161,45289.05,20364.339,4.53,0.4955,0.836,1.08,151.9969,205.7711,1.0276,0.5563,0.5651,0.6157,0.4113,91393.2943,91393.2943,54172.8587,414011.6232,414011.6232
601366.SH,20250620,4.48,4.51,4.44,4.48,4.49,-0.01,-0.2227,40257.0,18020.348,4.48,0.4405,0.7431,0.84,150.3192,203.4999,1.0163,0.5502,0.5589,0.6225,0.4159,91393.2943,91393.2943,54172.8587,409441.9585,409441.9585
601366.SH,20250619,4.5,4.51,4.42,4.49,4.5,-0.01,-0.2222,51380.56,22985.263,4.49,0.5622,0.9485,1.14,150.6547,203.9541,1.0186,0.5514,0.5602,0.6211,0.4149,91393.2943,91393.2943,54172.8587,410355.8914,410355.8914
601366.SH,20250618,4.6,4.6,4.5,4.52,4.6,-0.08,-1.7391,37889.0,17173.829,4.52,0.4146,0.6994,0.75,151.6613,205.3169,1.0211,0.5551,0.5639,0.617,,91393.2943,91393.2943,54172.8587,413097.6902,413097.6902
601366.SH,20250617,4.63,4.63,4.58,4.6,4.62,-0.02,-0.4329,37127.0,17078.94,4.6,0.4062,0.6853,0.69,154.3456,208.9508,1.0391,0.5649,0.5739,0.6063,,91393.2943,91393.2943,54172.8587,420409.1538,420409.1538
