股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
002206.SZ,20250702,5.35,5.75,5.35,5.75,5.23,0.52,9.9426,945170.15,538333.103,5.75,10.3165,12.3861,4.55,16.277,14.0531,1.8107,1.1324,1.1187,2.6138,3.0364,116220.722,91617.4636,76308.735,668269.1515,526800.4157
002206.SZ,20250701,5.09,5.23,5.08,5.23,5.11,0.12,2.3483,283821.9,146714.942,5.23,3.0979,3.7194,1.2,14.805,12.7822,1.6469,1.03,1.0176,2.8737,3.3383,116220.722,91617.4636,76308.735,607834.3761,479159.3346
002206.SZ,20250630,5.03,5.14,5.01,5.11,5.02,0.09,1.7928,226207.22,114873.361,5.11,2.469,2.9644,1.02,14.4653,12.4889,1.6091,1.0064,0.9942,2.9412,3.4167,116220.722,91617.4636,76308.735,593887.8894,468165.239
002206.SZ,20250627,4.97,5.06,4.97,5.02,4.96,0.06,1.2097,118249.01,59358.669,5.02,1.2907,1.5496,0.51,14.2105,12.269,1.5808,0.9887,0.9767,2.9939,3.478,116220.722,91617.4636,76308.735,583428.0244,459919.6673
002206.SZ,20250626,5.05,5.07,4.96,4.96,5.06,-0.1,-1.9763,171184.99,85707.501,4.96,1.8685,2.2433,0.74,14.0407,12.1223,1.5619,0.9768,0.965,3.0302,3.5201,116220.722,91617.4636,76308.735,576454.7811,454422.6195
002206.SZ,20250625,5.07,5.12,5.0,5.06,5.08,-0.02,-0.3937,239981.3,121300.366,5.06,2.6194,3.1449,1.15,14.3238,12.3667,1.5934,0.9965,0.9845,2.9703,3.4505,116220.722,91617.4636,76308.735,588076.8533,463584.3658
002206.SZ,20250624,4.81,5.19,4.78,5.08,4.81,0.27,5.6133,424421.39,214674.43,5.08,4.6325,5.5619,2.9,14.3804,12.4156,1.5997,1.0005,0.9884,2.9586,3.4369,116220.722,91617.4636,76308.735,590401.2678,465416.7151
002206.SZ,20250623,4.75,4.84,4.72,4.81,4.77,0.04,0.8386,150714.72,72349.645,4.81,1.645,1.9751,1.0,13.6161,11.7557,1.5147,0.9473,0.9359,3.1247,3.6298,116220.722,91617.4636,76308.735,559021.6728,440679.9999
002206.SZ,20250620,4.81,4.86,4.76,4.77,4.81,-0.04,-0.8316,168810.0,81173.917,4.77,1.8426,2.2122,1.15,13.5028,11.658,1.5021,0.9394,0.9281,3.1509,3.6603,116220.722,91617.4636,76308.735,554372.8439,437015.3014
002206.SZ,20250619,4.91,4.94,4.78,4.81,4.92,-0.11,-2.2358,165369.06,80228.561,4.81,1.805,2.1671,1.17,13.6161,11.7557,1.5147,0.9473,0.9359,3.1247,3.6298,116220.722,91617.4636,76308.735,559021.6728,440679.9999
002206.SZ,20250618,4.98,5.0,4.9,4.92,4.99,-0.07,-1.4028,134790.3,66440.492,4.92,1.4712,1.7664,0.95,13.9275,12.0246,1.5493,0.969,0.9573,3.0548,3.5487,116220.722,91617.4636,76308.735,571805.9522,450757.9209
002206.SZ,20250617,4.97,5.03,4.95,4.99,4.97,0.02,0.4024,112712.34,56130.759,4.99,1.2302,1.4771,0.7,14.1256,12.1957,1.5714,0.9827,0.9709,3.0119,3.4989,116220.722,91617.4636,76308.735,579941.4028,457171.1434
002206.SZ,20250616,5.06,5.07,4.95,4.97,5.04,-0.07,-1.3889,173312.82,86654.728,4.97,1.8917,2.2712,1.08,14.069,12.1468,1.5651,0.9788,0.967,3.0241,3.513,116220.722,91617.4636,76308.735,577616.9883,455338.7941
002206.SZ,20250613,5.08,5.12,5.03,5.04,5.07,-0.03,-0.5917,149277.0,75703.684,5.04,1.6294,1.9562,0.93,14.2671,12.3179,1.5871,0.9926,0.9806,2.9821,3.4642,116220.722,91617.4636,76308.735,585752.4389,461752.0165
002206.SZ,20250612,5.06,5.1,5.01,5.07,5.06,0.01,0.1976,138887.36,70315.454,5.07,1.5159,1.8201,0.83,14.3521,12.3912,1.5965,0.9985,0.9864,2.9644,3.4437,116220.722,91617.4636,76308.735,589239.0605,464500.5405
002206.SZ,20250611,5.06,5.1,5.03,5.06,5.06,0.0,0.0,137733.49,69816.028,5.06,1.5034,1.805,0.79,14.3238,12.3667,1.5934,0.9965,0.9845,2.9703,3.4505,116220.722,91617.4636,76308.735,588076.8533,463584.3658
002206.SZ,20250610,5.09,5.14,4.98,5.06,5.1,-0.04,-0.7843,200790.85,101640.911,5.06,2.1916,2.6313,1.15,14.3238,12.3667,1.5934,0.9965,0.9845,2.9703,3.4505,116220.722,91617.4636,76308.735,588076.8533,463584.3658
002206.SZ,20250609,5.09,5.14,5.06,5.1,5.08,0.02,0.3937,173583.5,88489.589,5.1,1.8947,2.2748,0.93,14.437,12.4645,1.606,1.0044,0.9923,2.947,3.4234,116220.722,91617.4636,76308.735,592725.6822,467249.0644
002206.SZ,20250606,5.09,5.15,5.07,5.08,5.09,-0.01,-0.1965,152095.05,77681.764,5.08,1.6601,1.9932,0.64,14.3804,12.4156,1.5997,1.0005,0.9884,2.9586,3.4369,116220.722,91617.4636,76308.735,590401.2678,465416.7151
002206.SZ,20250605,5.11,5.14,5.04,5.09,5.13,-0.04,-0.7797,173466.0,88250.245,5.09,1.8934,2.2732,0.6,14.4087,12.4401,1.6028,1.0024,0.9903,2.9528,3.4302,116220.722,91617.4636,76308.735,591563.475,466332.8897
002206.SZ,20250604,5.12,5.14,5.08,5.13,5.11,0.02,0.3914,166817.0,85238.352,5.13,1.8208,2.1861,0.43,14.5219,12.5378,1.6154,1.0103,0.9981,2.9298,3.4034,116220.722,91617.4636,76308.735,596212.3039,469997.5883
002206.SZ,20250603,5.1,5.17,5.07,5.11,5.14,-0.03,-0.5837,203687.0,103954.642,5.11,2.2232,2.6692,0.5,14.4653,12.4889,1.6091,1.0064,0.9942,2.9412,3.4167,116220.722,91617.4636,76308.735,593887.8894,468165.239
002206.SZ,20250530,5.22,5.23,5.12,5.14,5.22,-0.08,-1.5326,238611.0,123162.233,5.14,2.6044,3.1269,0.56,14.5502,12.5623,1.6186,1.0123,1.0001,2.9241,3.3968,116220.722,91617.4636,76308.735,597374.5111,470913.7629
002206.SZ,20250529,5.25,5.37,5.19,5.22,5.31,-0.09,-1.6949,397689.89,208516.729,5.22,4.3408,5.2116,1.03,14.7767,12.7578,1.6438,1.028,1.0156,2.8792,3.3447,116220.722,91617.4636,76308.735,606672.1688,478243.16
002206.SZ,20250528,5.25,5.37,5.22,5.31,5.29,0.02,0.3781,435758.5,230206.234,5.31,4.7563,5.7105,1.3,15.0315,12.9777,1.6721,1.0458,1.0331,2.8304,3.288,116220.722,91617.4636,76308.735,617132.0338,486488.7317
002206.SZ,20250527,5.04,5.34,4.97,5.29,5.05,0.24,4.7525,671588.2,349126.657,5.29,7.3304,8.8009,2.8,14.9748,12.9289,1.6658,1.0418,1.0292,2.8411,3.3005,116220.722,91617.4636,76308.735,614807.6194,484656.3824
002206.SZ,20250526,4.93,5.06,4.92,5.05,4.94,0.11,2.2267,283515.36,141892.587,5.05,3.0946,3.7154,1.24,14.2955,12.3423,1.5902,0.9946,0.9825,2.9762,3.4573,116220.722,91617.4636,76308.735,586914.6461,462668.1912
002206.SZ,20250523,4.91,5.06,4.9,4.94,4.88,0.06,1.2295,324644.42,161632.612,4.94,3.5435,4.2544,1.54,13.9841,12.0735,1.5556,0.9729,0.9611,3.0424,3.5343,116220.722,91617.4636,76308.735,574130.3667,452590.2702
002206.SZ,20250522,5.11,5.15,5.04,5.05,5.15,-0.1,-1.9417,213524.25,108464.427,5.05,2.3306,2.7982,0.99,14.2955,12.3423,1.5074,0.9946,0.9825,2.9762,2.9762,116220.722,91617.4636,76308.735,586914.6461,462668.1912
