股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
830839.BJ,20250709,31.0,31.09,30.01,30.18,30.94,-0.76,-2.4564,11871.25,36255.552,30.18,1.7971,3.629,0.61,33.0932,29.6126,6.4422,5.7245,5.5064,,,11921.5,6605.8875,3271.225,359790.87,199365.6848
830839.BJ,20250708,30.88,31.14,30.74,30.94,30.92,0.02,0.0647,9594.56,29643.874,30.94,1.4524,2.933,0.49,33.9266,30.3584,6.6044,5.8686,5.6451,,,11921.5,6605.8875,3271.225,368851.21,204386.1593
830839.BJ,20250707,30.81,31.33,30.61,30.92,31.0,-0.08,-0.2581,7903.88,24353.986,30.92,1.1965,2.4162,0.37,33.9046,30.3387,6.6002,5.8648,5.6415,,,11921.5,6605.8875,3271.225,368612.78,204254.0415
830839.BJ,20250704,32.0,32.25,31.0,31.0,31.98,-0.98,-3.0644,16779.54,52565.999,31.0,2.5401,5.1294,0.79,33.9924,30.4172,6.6173,5.88,5.6561,,,11921.5,6605.8875,3271.225,369566.5,204782.5125
830839.BJ,20250703,32.96,32.96,31.9,31.98,32.81,-0.83,-2.5297,20816.08,67136.803,31.98,3.1511,6.3634,1.0,35.067,31.3788,6.8264,6.0659,5.8349,,,11921.5,6605.8875,3271.225,381249.57,211256.2823
830839.BJ,20250702,32.6,34.58,32.52,32.81,31.73,1.08,3.4037,42958.05,143677.291,32.81,6.503,13.1321,3.0,35.9771,32.1932,7.0036,6.2233,5.9863,,,11921.5,6605.8875,3271.225,391144.415,216739.1689
830839.BJ,20250701,32.05,32.25,31.61,31.73,32.2,-0.47,-1.4596,9100.05,28939.304,31.73,1.3776,2.7818,0.58,34.7928,31.1335,6.7731,6.0185,5.7892,,,11921.5,6605.8875,3271.225,378269.195,209604.8104
830839.BJ,20250630,31.51,32.36,31.16,32.2,31.25,0.95,3.04,17514.98,55799.909,32.2,2.6514,5.3543,1.27,35.3082,31.5947,6.8734,6.1076,5.875,,,11921.5,6605.8875,3271.225,383872.3,212709.5775
830839.BJ,20250627,31.7,31.93,31.05,31.25,31.78,-0.53,-1.6677,15339.56,48261.751,31.25,2.3221,4.6892,1.23,34.2665,30.6625,6.6706,5.9274,5.7017,,,11921.5,6605.8875,3271.225,372546.875,206433.9844
830839.BJ,20250626,31.21,32.66,31.15,31.78,31.3,0.48,1.5335,18897.37,60505.848,31.78,2.8607,5.7768,1.74,34.8476,31.1826,6.7838,6.0279,5.7984,,,11921.5,6605.8875,3271.225,378865.27,209935.1048
830839.BJ,20250625,31.0,31.47,30.8,31.3,31.08,0.22,0.7079,10644.35,33137.511,31.3,1.6113,3.2539,0.94,34.3213,30.7116,6.6813,5.9369,5.7108,,,11921.5,6605.8875,3271.225,373142.95,206764.2788
830839.BJ,20250624,29.79,31.5,29.68,31.08,29.66,1.42,4.7876,16577.38,51289.628,31.08,2.5095,5.0676,1.68,34.0801,30.4957,6.6343,5.8952,5.6707,,,11921.5,6605.8875,3271.225,370520.22,205310.9835
830839.BJ,20250623,29.3,29.85,29.02,29.66,29.49,0.17,0.5765,7450.37,21948.692,29.66,1.1278,2.2775,0.67,32.523,29.1024,6.3312,5.6258,5.4116,,,11921.5,6605.8875,3271.225,353591.69,195930.6233
830839.BJ,20250620,30.23,30.54,29.31,29.49,30.33,-0.84,-2.7695,8832.27,26472.954,29.49,1.337,2.7,0.72,32.3366,28.9356,6.2949,5.5936,5.3806,,,11921.5,6605.8875,3271.225,351565.035,194807.6224
830839.BJ,20250619,31.49,31.49,30.16,30.33,31.21,-0.88,-2.8196,10802.98,33215.843,30.33,1.6354,3.3024,0.91,33.2577,29.7598,6.4742,5.7529,5.5338,,,11921.5,6605.8875,3271.225,361579.095,200356.5679
