,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,603883.SH,20250620,20.47,21.8,20.33,21.35,20.65,0.7,3.3898,472035.46,995741.843,21.35,6.2201,12.0321,1.06,31.2641,36.1876,2.3754,0.7258,0.7292,3.9276,3.9276,76009.5613,75889.0236,39231.3026,1622804.1338,1620230.6539
1,603883.SH,20250619,21.3,21.44,20.52,20.65,21.36,-0.71,-3.324,272161.67,566342.297,20.65,3.5863,6.9374,0.57,30.239,35.0011,2.2975,0.702,0.7053,4.0607,4.0607,76009.5613,75889.0236,39231.3026,1569597.4408,1567108.3373
2,603883.SH,20250618,21.61,21.68,20.92,21.36,21.82,-0.46,-2.1082,305200.95,651387.423,21.36,4.0217,7.7795,0.63,31.2787,36.2045,2.3765,0.7262,0.7296,3.9258,3.9258,76009.5613,75889.0236,39231.3026,1623564.2294,1620989.5441
3,603883.SH,20250617,22.0,22.34,21.59,21.82,22.52,-0.7,-3.1083,486681.49,1067202.59,21.82,6.4131,12.4054,1.11,31.9523,36.9842,2.4277,0.7418,0.7453,3.843,3.843,76009.5613,75889.0236,39231.3026,1658528.6276,1655898.495
4,603883.SH,20250616,21.13,22.97,21.13,22.52,20.88,1.64,7.8544,756932.08,1704005.055,22.52,9.9742,19.2941,2.06,32.9774,38.1707,2.5055,0.7656,0.7692,3.7235,3.7235,76009.5613,75889.0236,39231.3026,1711735.3205,1709020.8115
5,603883.SH,20250613,22.09,22.13,20.88,20.88,22.09,-1.21,-5.4776,396648.43,846755.217,20.88,5.2267,10.1105,0.96,30.5758,35.391,2.3231,0.7099,0.7132,4.016,4.016,76009.5613,75889.0236,39231.3026,1587079.6399,1584562.8128
6,603883.SH,20250612,20.86,22.16,20.75,22.09,20.84,1.25,5.9981,454820.29,983728.347,22.09,5.9932,11.5933,1.02,32.3477,37.4419,2.4577,0.751,0.7545,3.796,3.796,76009.5613,75889.0236,39231.3026,1679051.2091,1676388.5313
7,603883.SH,20250611,21.62,21.81,20.79,20.84,21.64,-0.8,-3.6969,312321.73,656193.346,20.84,4.1155,7.961,0.66,30.5173,35.3232,2.3186,0.7085,0.7118,4.0237,4.0237,76009.5613,75889.0236,39231.3026,1584039.2575,1581527.2518
8,603883.SH,20250610,21.95,22.16,21.52,21.64,21.68,-0.04,-0.1845,274335.32,597139.768,21.64,3.615,6.9928,0.59,31.6887,36.6791,2.4076,0.7357,0.7391,3.875,3.875,76009.5613,75889.0236,39231.3026,1644846.9065,1642238.4707
9,603883.SH,20250609,21.83,22.32,21.18,21.68,21.42,0.26,1.2138,399134.9,871302.834,21.68,5.2595,10.1739,0.94,31.7473,36.7469,2.4121,0.7371,0.7405,3.8678,3.8678,76009.5613,75889.0236,39231.3026,1647887.289,1645274.0316
10,603883.SH,20250606,22.0,22.82,21.33,21.42,22.0,-0.58,-2.6364,630586.08,1383207.182,21.42,8.3093,16.0735,1.89,31.3666,36.3062,2.3831,0.7282,0.7316,3.9148,3.9148,76009.5613,75889.0236,39231.3026,1628124.803,1625542.8855
11,603883.SH,20250605,20.62,22.1,20.62,22.0,20.43,1.57,7.6848,610498.04,1310908.967,22.0,8.0446,15.5615,2.17,32.2159,37.2893,2.4477,0.7479,0.7514,3.8116,3.8116,76009.5613,75889.0236,39231.3026,1672210.3486,1669558.5192
12,603883.SH,20250604,19.56,20.89,19.55,20.43,19.51,0.92,4.7155,460924.82,938549.728,20.43,6.0737,11.7489,2.09,29.9169,34.6282,2.273,0.6946,0.6978,4.1045,4.1045,76009.5613,75889.0236,39231.3026,1552875.3374,1550412.7521
13,603883.SH,20250603,19.23,19.62,19.1,19.51,19.24,0.27,1.4033,213209.64,415624.766,19.51,2.8095,5.4347,1.08,28.5697,33.0689,2.1706,0.6633,0.6664,4.298,4.298,76009.5613,75889.0236,39231.3026,1482946.541,1480594.8504
14,603883.SH,20250530,19.18,19.46,19.02,19.24,19.19,0.05,0.2606,205139.33,395951.196,19.24,2.7031,5.229,1.09,28.1743,32.6112,2.1406,0.6541,0.6572,4.3583,4.3583,76009.5613,75889.0236,39231.3026,1462423.9594,1460104.8141
15,603883.SH,20250529,19.05,19.2,18.89,19.19,19.08,0.11,0.5765,182152.76,347235.742,19.19,2.4003,4.643,0.92,28.1011,32.5265,2.135,0.6524,0.6555,4.3697,4.3697,76009.5613,75889.0236,39231.3026,1458623.4813,1456310.3629
16,603883.SH,20250528,18.35,19.34,18.01,19.08,18.3,0.78,4.2623,347465.5,658312.43,19.08,4.5786,8.8568,1.99,27.94,32.34,2.1228,0.6487,0.6517,4.3949,4.3949,76009.5613,75889.0236,39231.3026,1450262.4296,1447962.5703
17,603883.SH,20250527,18.87,18.87,18.29,18.3,18.83,-0.53,-2.8147,156505.48,288606.699,18.3,2.0623,3.9893,0.83,26.7978,31.0179,2.036,0.6221,0.6251,4.5822,4.5822,76009.5613,75889.0236,39231.3026,1390974.9718,1388769.1319
18,603883.SH,20250526,18.73,18.85,18.5,18.83,18.73,0.1,0.5339,99190.6,185688.033,18.83,1.307,2.5284,0.49,27.5739,31.9163,2.095,0.6402,0.6432,4.4532,4.4532,76009.5613,75889.0236,39231.3026,1431260.0393,1428990.3144
19,603883.SH,20250523,18.61,19.1,18.52,18.73,18.61,0.12,0.6448,159923.95,301416.722,18.73,2.1073,4.0764,0.79,27.4275,31.7468,2.0839,0.6368,0.6397,4.477,4.477,76009.5613,75889.0236,39231.3026,1423659.0831,1421401.412
20,603883.SH,20250522,19.16,19.2,18.6,18.61,19.38,-0.77,-3.9732,226150.63,424946.14,18.61,2.98,5.7645,1.11,27.2517,31.5434,2.0705,0.6327,0.6356,4.5059,4.5059,76009.5613,75889.0236,39231.3026,1414537.9358,1412294.7292
21,603883.SH,20250521,19.13,19.51,19.12,19.38,19.14,0.24,1.2539,233237.25,450548.379,19.38,3.0734,5.9452,0.99,28.3793,32.8485,2.1562,0.6589,0.6619,4.3268,4.3268,76009.5613,75889.0236,39231.3026,1473065.298,1470729.2774
22,603883.SH,20250520,19.15,19.43,18.81,19.14,19.09,0.05,0.2619,219945.07,421939.598,19.14,2.8982,5.6064,0.87,28.0278,32.4417,2.1295,0.6507,0.6537,4.3811,4.3811,76009.5613,75889.0236,39231.3026,1454823.0033,1452515.9117
23,603883.SH,20250519,19.16,19.6,18.8,19.09,18.93,0.16,0.8452,173230.58,330481.981,19.09,2.2827,4.4156,0.54,27.9546,32.357,2.1239,0.649,0.652,4.3926,4.3926,76009.5613,75889.0236,39231.3026,1451022.5252,1448721.4605
24,603883.SH,20250516,18.8,19.12,18.51,18.93,18.8,0.13,0.6915,158029.68,298710.875,18.93,2.0824,4.0282,0.4,27.7203,32.0858,2.1061,0.6436,0.6466,4.4297,4.4297,76009.5613,75889.0236,39231.3026,1438860.9954,1436579.2167
25,603883.SH,20250515,19.43,19.65,18.8,18.8,19.45,-0.65,-3.3419,230927.3,438732.268,18.8,3.043,5.8863,0.55,27.53,31.8654,2.0917,0.6391,0.6421,4.4603,4.4603,76009.5613,75889.0236,39231.3026,1428979.7524,1426713.6437
26,603883.SH,20250514,19.9,20.05,19.18,19.45,20.17,-0.72,-3.5697,392648.49,763915.287,19.45,5.174,10.0086,0.88,28.4818,32.9672,2.164,0.6612,0.6643,4.3113,4.3113,76009.5613,75889.0236,39231.3026,1478385.9673,1476041.509
27,603883.SH,20250513,20.1,20.65,19.93,20.17,20.37,-0.2,-0.9818,308067.72,622781.164,20.17,4.0595,7.8526,0.65,29.5361,34.1875,2.2441,0.6857,0.6889,4.1574,4.1574,76009.5613,75889.0236,39231.3026,1533112.8514,1530681.606
28,603883.SH,20250512,19.85,20.55,19.63,20.37,19.89,0.48,2.4133,504117.33,1012237.335,20.37,6.6428,12.8499,1.02,29.829,34.5265,2.2663,0.6925,0.6958,4.1166,4.1166,76009.5613,75889.0236,39231.3026,1548314.7637,1545859.4107
29,603883.SH,20250509,19.28,20.26,18.92,19.89,19.16,0.73,3.81,520275.27,1018249.131,19.89,6.8557,13.2617,1.23,29.1261,33.7129,2.2129,0.6762,0.6794,4.2159,4.2159,76009.5613,75889.0236,39231.3026,1511830.1743,1509432.6794
30,603883.SH,20250508,19.15,19.89,19.08,19.16,19.33,-0.17,-0.8795,369781.44,715176.534,19.16,4.8727,9.4257,0.98,28.0571,32.4756,2.1317,0.6514,0.6544,4.3765,4.3765,76009.5613,75889.0236,39231.3026,1456343.1945,1454033.6922
