股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
300587.SZ,20250709,7.66,7.69,7.2,7.3,7.58,-0.28,-3.6939,406771.75,300570.997,7.3,3.9801,5.0237,0.93,623.3395,1435.3031,3.4887,4.4377,4.9943,0.0,0.3692,129826.8797,102201.797,80970.3789,947736.2218,746073.1181
300587.SZ,20250708,7.57,7.79,7.47,7.58,7.56,0.02,0.2646,290509.95,220511.514,7.58,2.8425,3.5879,0.64,647.2484,1490.3558,3.6225,4.6079,5.1859,0.0,0.3556,129826.8797,102201.797,80970.3789,984087.7481,774689.6213
300587.SZ,20250707,7.28,7.7,7.23,7.56,7.29,0.27,3.7037,452338.9,338801.529,7.56,4.4259,5.5865,1.05,645.5407,1486.4235,3.6129,4.5957,5.1722,0.0,0.3565,129826.8797,102201.797,80970.3789,981491.2105,772645.5853
300587.SZ,20250704,7.58,7.6,7.26,7.29,7.54,-0.25,-3.3156,451774.9,335024.333,7.29,4.4204,5.5795,1.05,622.4856,1433.3369,3.4839,4.4316,4.9875,0.0,0.3697,129826.8797,102201.797,80970.3789,946437.953,745051.1001
300587.SZ,20250703,7.14,7.68,6.97,7.57,7.05,0.52,7.3759,638555.71,470859.187,7.57,6.248,7.8863,1.66,646.3945,1488.3896,3.5717,4.6018,5.179,0.0,,129826.8797,102201.797,80970.3789,982789.4793,773667.6033
300587.SZ,20250702,7.33,7.39,6.99,7.05,7.36,-0.31,-4.212,353192.02,250657.319,7.05,3.4558,4.362,0.83,601.9923,1386.1489,3.3264,4.2857,4.8233,0.0,,129826.8797,102201.797,80970.3789,915279.5019,720522.6689
300587.SZ,20250701,7.2,7.42,7.1,7.36,7.21,0.15,2.0804,388433.34,281664.376,7.36,3.8007,4.7972,0.83,628.4629,1447.1001,3.4726,4.4741,5.0354,0.0,,129826.8797,102201.797,80970.3789,955525.8346,752205.2259
300587.SZ,20250630,7.08,7.26,6.97,7.21,7.06,0.15,2.1246,322025.92,229451.733,7.21,3.1509,3.9771,0.68,615.6545,1417.6076,3.4019,4.383,4.9327,0.0,,129826.8797,102201.797,80970.3789,936051.8026,736874.9564
300587.SZ,20250627,7.18,7.36,7.01,7.06,7.18,-0.12,-1.6713,451433.77,322044.749,7.06,4.4171,5.5753,0.91,602.8462,1388.115,3.3311,4.2918,4.8301,0.0,,129826.8797,102201.797,80970.3789,916577.7707,721544.6868
300587.SZ,20250626,7.28,7.45,7.14,7.18,7.28,-0.1,-1.3736,404940.91,294712.08,7.18,3.9622,5.0011,0.85,613.0928,1411.7091,3.3877,4.3647,4.9122,0.0,,129826.8797,102201.797,80970.3789,932156.9962,733808.9025
300587.SZ,20250625,7.44,7.51,7.25,7.28,7.42,-0.14,-1.8868,567234.24,415426.181,7.28,5.5501,7.0055,1.31,621.6317,1431.3707,3.4349,4.4255,4.9806,0.0,,129826.8797,102201.797,80970.3789,945139.6842,744029.0822
300587.SZ,20250624,6.94,7.49,6.92,7.42,6.96,0.46,6.6092,589136.52,428173.976,7.42,5.7644,7.276,1.47,633.5862,1458.8971,3.5009,4.5106,5.0764,0.0,,129826.8797,102201.797,80970.3789,963315.4474,758337.3337
300587.SZ,20250623,7.0,7.0,6.79,6.96,7.01,-0.05,-0.7133,361547.26,249570.033,6.96,3.5376,4.4652,0.97,594.3073,1368.4533,3.2839,4.231,4.7617,0.0,,129826.8797,102201.797,80970.3789,903595.0827,711324.5071
300587.SZ,20250620,6.57,7.04,6.53,7.01,6.63,0.38,5.7315,564485.84,392019.234,7.01,5.5232,6.9715,1.62,598.5767,1378.2842,3.3075,4.2614,4.7959,0.0,,129826.8797,102201.797,80970.3789,910086.4267,716434.597
300587.SZ,20250619,6.73,6.94,6.62,6.63,6.76,-0.13,-1.9231,308473.44,207935.692,6.63,3.0183,3.8097,0.76,508.6011,1171.1061,3.1586,3.6208,4.075,0.0,,116634.3797,102201.797,80970.3789,773285.9374,677597.9141
300587.SZ,20250618,6.79,6.99,6.72,6.76,6.83,-0.07,-1.0249,335253.44,229323.31,6.76,3.2803,4.1404,0.73,518.5737,1194.069,3.2206,3.6918,4.1549,0.0,,116634.3797,102201.797,80970.3789,788448.4068,690884.1477
300587.SZ,20250617,6.63,6.88,6.51,6.83,6.62,0.21,3.1722,440756.5,296590.406,6.83,4.3126,5.4434,0.81,523.9435,1206.4336,3.2539,3.7301,4.1979,0.0,,116634.3797,102201.797,80970.3789,796612.8134,698038.2735
300587.SZ,20250616,6.59,6.71,6.57,6.62,6.65,-0.03,-0.4511,208771.93,138064.08,6.62,2.0427,2.5784,0.27,507.834,1169.3397,3.1539,3.6154,4.0689,0.0,,116634.3797,102201.797,80970.3789,772119.5936,676575.8961
300587.SZ,20250613,6.91,6.91,6.58,6.65,6.89,-0.24,-3.4833,451777.48,301811.942,6.65,4.4204,5.5795,0.55,510.1353,1174.6389,3.1682,3.6317,4.0873,0.0,,116634.3797,102201.797,80970.3789,775618.625,679641.9501
300587.SZ,20250612,6.85,7.03,6.72,6.89,6.81,0.08,1.1747,600023.02,411127.6,6.89,5.871,7.4104,0.77,528.5462,1217.0318,3.2825,3.7628,4.2348,0.0,,116634.3797,102201.797,80970.3789,803610.8761,704170.3813
300587.SZ,20250611,6.81,7.07,6.76,6.81,6.93,-0.12,-1.7316,610471.94,418697.706,6.81,5.9732,7.5394,0.84,522.4093,1202.9009,3.2444,3.7191,4.1856,0.0,,116634.3797,102201.797,80970.3789,794280.1258,695994.2376
300587.SZ,20250610,7.08,7.23,6.91,6.93,7.19,-0.26,-3.6161,858148.03,605513.668,6.93,8.3966,10.5983,1.35,531.6147,1224.0973,3.3016,3.7847,4.2594,0.0,,116634.3797,102201.797,80970.3789,808276.2513,708258.4532
300587.SZ,20250609,6.61,7.35,6.51,7.19,6.29,0.9,14.3084,1376820.34,977507.159,7.19,13.4716,17.004,3.28,551.5599,1270.0231,3.4254,3.9267,4.4192,0.0,,116634.3797,102201.797,80970.3789,838601.19,734830.9204
300587.SZ,20250606,5.87,6.32,5.87,6.29,5.88,0.41,6.9728,659596.09,407433.189,6.29,6.4539,8.1461,1.7,482.519,1111.0494,2.9967,3.4351,3.866,0.0,,116634.3797,102201.797,80970.3789,733630.2483,642849.3031
300587.SZ,20250605,6.13,6.15,5.8,5.88,6.08,-0.2,-3.2895,386165.7,229136.828,5.88,3.7785,4.7692,1.02,451.067,1038.6281,2.8013,3.2112,3.614,0.0,,116634.3797,102201.797,80970.3789,685810.1526,600946.5664
300587.SZ,20250604,6.0,6.18,5.97,6.08,6.03,0.05,0.8292,337169.88,204437.734,6.08,3.2991,4.1641,0.85,466.4095,1073.9555,2.8966,3.3205,3.737,0.0,,116634.3797,102201.797,80970.3789,709137.0286,621386.9258
300587.SZ,20250603,5.92,6.17,5.91,6.03,5.97,0.06,1.005,413004.63,250103.833,6.03,4.0411,5.1007,0.98,462.5738,1065.1237,2.8728,3.2932,3.7062,0.0,,116634.3797,102201.797,80970.3789,703305.3096,616276.8359
300587.SZ,20250530,6.02,6.08,5.88,5.97,6.02,-0.05,-0.8306,300778.0,179325.798,5.97,2.943,3.7147,0.54,457.9711,1054.5254,2.8442,3.2604,3.6693,0.0,,116634.3797,102201.797,80970.3789,696307.2468,610144.7281
300587.SZ,20250529,5.66,6.09,5.65,6.02,5.71,0.31,5.4291,504489.66,300424.938,6.02,4.9362,6.2305,0.87,461.8067,1063.3573,2.868,3.2877,3.7001,0.0,,116634.3797,102201.797,80970.3789,702138.9658,615254.8179
300587.SZ,20250528,5.83,5.84,5.64,5.71,5.8,-0.09,-1.5517,339266.81,195438.829,5.71,3.3196,4.19,0.47,438.026,1008.5997,2.7203,3.1184,3.5095,0.0,,116634.3797,102201.797,80970.3789,665982.3081,583572.2609
300587.SZ,20250527,5.67,5.87,5.58,5.8,5.72,0.08,1.3986,435376.89,248626.664,5.8,4.26,5.377,0.59,444.9301,1024.4971,2.7632,3.1675,3.5649,0.0,,116634.3797,102201.797,80970.3789,676479.4023,592770.4226
300587.SZ,20250526,5.82,6.06,5.67,5.72,5.8,-0.08,-1.3793,536314.29,312053.788,5.72,5.2476,6.6236,0.76,438.7931,1010.3661,2.7251,3.1239,3.5157,0.0,,116634.3797,102201.797,80970.3789,667148.6519,584594.2788
300587.SZ,20250523,6.2,6.5,5.78,5.8,6.04,-0.24,-3.9735,972521.82,599297.53,5.8,9.5157,12.0108,1.65,444.9301,1024.4971,2.7632,3.1675,3.5649,0.0,,116634.3797,102201.797,80970.3789,676479.4023,592770.4226
300587.SZ,20250522,6.06,6.26,6.03,6.04,6.2,-0.16,-2.5806,606957.38,371187.318,6.04,5.9388,7.496,0.98,463.341,1066.89,2.8776,3.2986,3.7124,0.0,,116634.3797,102201.797,80970.3789,704471.6534,617298.8539
300587.SZ,20250521,5.71,6.48,5.71,6.2,5.73,0.47,8.2024,1079515.87,670030.536,6.2,10.5626,13.3322,2.24,475.6149,1095.152,2.9538,3.386,3.8107,0.0,,116634.3797,102201.797,80970.3789,723133.1541,633651.1414
300587.SZ,20250520,5.55,5.83,5.42,5.73,5.55,0.18,3.2432,483636.59,273110.161,5.73,4.7322,5.973,0.89,439.5602,1012.1324,2.7299,3.1293,3.5218,0.0,,116634.3797,102201.797,80970.3789,668314.9957,585616.2968
300587.SZ,20250519,5.4,5.7,5.33,5.55,5.42,0.13,2.3985,362982.78,200703.937,5.55,3.5516,4.4829,0.53,425.7521,980.3377,2.6441,3.031,3.4112,0.0,,116634.3797,102201.797,80970.3789,647320.8073,567219.9734
300587.SZ,20250516,5.62,5.62,5.39,5.42,5.58,-0.16,-2.8674,416406.59,227873.922,5.42,4.0744,5.1427,0.6,415.7795,957.3748,2.5822,2.96,3.3313,0.0,,116634.3797,102201.797,80970.3789,632158.338,553933.7397
300587.SZ,20250515,5.43,5.64,5.39,5.58,5.42,0.16,2.952,743534.55,413369.224,5.58,7.2752,9.1828,1.22,428.0534,985.6368,2.6584,3.0474,3.4296,0.0,,116634.3797,102201.797,80970.3789,650819.8387,570286.0273
300587.SZ,20250514,5.5,5.53,5.34,5.42,5.52,-0.1,-1.8116,406767.06,220013.925,5.42,3.98,5.0237,0.66,415.7795,957.3748,2.5822,2.96,3.3313,0.0,,116634.3797,102201.797,80970.3789,632158.338,553933.7397
300587.SZ,20250513,5.76,5.84,5.38,5.52,5.67,-0.15,-2.6455,779017.95,431047.45,5.52,7.6224,9.621,1.61,423.4507,975.0386,2.6298,3.0146,3.3928,0.0,,116634.3797,102201.797,80970.3789,643821.7759,564153.9194
300587.SZ,20250512,5.1,5.78,5.02,5.67,4.99,0.68,13.6273,1082179.24,585300.155,5.67,10.5887,13.3651,3.55,434.9575,1001.5342,2.7013,3.0965,3.485,0.0,,116634.3797,102201.797,80970.3789,661316.9329,579484.189
300587.SZ,20250509,4.91,5.04,4.9,4.99,4.9,0.09,1.8367,449922.91,224164.347,4.99,4.4023,5.5566,1.86,382.7933,881.4207,2.3773,2.7252,3.067,0.0,,116634.3797,102201.797,80970.3789,582005.5547,509986.967
300587.SZ,20250508,4.84,4.96,4.77,4.9,4.88,0.02,0.4098,322789.43,157653.995,4.9,3.1584,3.9865,1.45,375.8892,865.5234,2.3344,2.676,3.0117,0.0,,116634.3797,102201.797,80970.3789,571508.4605,500788.8053
300587.SZ,20250507,4.74,4.9,4.72,4.88,4.69,0.19,4.0512,426373.92,205788.066,4.88,4.1719,5.2658,2.33,374.355,861.9906,2.3249,2.6651,2.9994,0.0,,116634.3797,102201.797,80970.3789,569175.7729,498744.7694
300587.SZ,20250506,4.63,4.71,4.63,4.69,4.63,0.06,1.2959,144150.42,67393.897,4.69,1.4104,1.7803,0.72,359.7797,828.4295,2.2344,2.5613,2.8826,0.0,,116634.3797,102201.797,80970.3789,547015.2408,479326.4279
300587.SZ,20250430,4.71,4.73,4.62,4.63,4.71,-0.08,-1.6985,182224.0,84879.805,4.63,1.783,2.2505,0.87,355.1769,817.8313,2.2058,2.5286,2.8457,0.0,,116634.3797,102201.797,80970.3789,540017.178,473194.3201
300587.SZ,20250429,4.68,4.76,4.68,4.71,4.71,0.0,0.0,133187.71,62940.882,4.71,1.3032,1.6449,0.55,361.3139,831.9623,2.2439,2.5723,2.8949,0.0,,116634.3797,102201.797,80970.3789,549347.9284,481370.4639
300587.SZ,20250428,4.72,4.72,4.63,4.71,4.75,-0.04,-0.8421,223596.39,104247.198,4.71,2.1878,2.7615,0.89,361.3139,831.9623,2.2439,2.5723,2.8949,0.0,,116634.3797,102201.797,80970.3789,549347.9284,481370.4639
300587.SZ,20250425,4.85,4.85,4.73,4.75,4.83,-0.08,-1.6563,231816.69,110495.579,4.75,2.5045,2.8013,0.79,,,2.1559,3.6755,2.7012,0.0,,116634.3797,92559.0932,82751.8384,554013.3036,439655.6927
300587.SZ,20250424,4.83,4.92,4.79,4.83,4.84,-0.01,-0.2066,231151.59,112035.148,4.83,2.4973,2.7933,0.82,,,2.1922,3.7374,2.7467,0.0,,116634.3797,92559.0932,82751.8384,563344.054,447060.4202
300587.SZ,20250423,4.92,4.94,4.81,4.84,4.9,-0.06,-1.2245,225130.0,109191.965,4.84,2.4323,2.7205,0.78,,,2.1967,3.7452,2.7524,0.0,,116634.3797,92559.0932,82751.8384,564510.3977,447986.0111
300587.SZ,20250422,4.88,4.95,4.79,4.9,4.89,0.01,0.2045,293009.62,142573.255,4.9,3.1656,3.5408,1.05,,,2.2239,3.7916,2.7865,0.0,,116634.3797,92559.0932,82751.8384,571508.4605,453539.5567
300587.SZ,20250421,4.86,4.94,4.79,4.89,4.87,0.02,0.4107,274169.69,133489.34,4.89,2.9621,3.3132,0.97,,,2.2194,3.7839,2.7809,0.0,,116634.3797,92559.0932,82751.8384,570342.1167,452613.9657
300587.SZ,20250418,4.66,4.94,4.6,4.87,4.64,0.23,4.9569,442830.99,212772.52,4.87,4.7843,5.3513,1.7,,,2.2103,3.7684,2.7695,0.0,,116634.3797,92559.0932,82751.8384,568009.4291,450762.7839
300587.SZ,20250417,4.6,4.71,4.58,4.64,4.62,0.02,0.4329,171747.19,79978.44,4.64,1.8555,2.0754,0.54,,,2.1059,3.5904,2.6387,0.0,,116634.3797,92559.0932,82751.8384,541183.5218,429474.1924
300587.SZ,20250416,4.72,4.76,4.56,4.62,4.75,-0.13,-2.7368,258563.21,120346.785,4.62,2.7935,3.1246,0.69,,,2.0968,3.575,2.6273,0.0,,116634.3797,92559.0932,82751.8384,538850.8342,427623.0106
300587.SZ,20250415,4.83,4.85,4.72,4.75,4.83,-0.08,-1.6563,246447.75,117862.353,4.75,2.6626,2.9782,0.57,,,2.1559,3.6755,2.7012,0.0,,116634.3797,92559.0932,82751.8384,554013.3036,439655.6927
300587.SZ,20250414,4.9,4.93,4.79,4.83,4.77,0.06,1.2579,290561.44,140968.076,4.83,3.1392,3.5112,0.6,,,2.1922,3.7374,2.7467,0.0,,116634.3797,92559.0932,82751.8384,563344.054,447060.4202
300587.SZ,20250411,4.75,4.95,4.73,4.77,4.81,-0.04,-0.8316,336878.65,162905.683,4.77,3.6396,4.071,0.63,,,2.1649,3.691,2.7126,0.0,,116634.3797,92559.0932,82751.8384,556345.9912,441506.8746
300587.SZ,20250410,4.78,4.95,4.75,4.81,4.75,0.06,1.2632,471711.06,229059.951,4.81,5.0963,5.7003,0.78,,,2.1831,3.722,2.7354,0.0,,116634.3797,92559.0932,82751.8384,561011.3664,445209.2383
300587.SZ,20250409,4.44,4.78,4.09,4.75,4.47,0.28,6.264,537434.4,240026.691,4.75,5.8064,6.4945,1.03,,,2.1559,3.6755,2.7012,0.0,,116634.3797,92559.0932,82751.8384,554013.3036,439655.6927
300587.SZ,20250408,4.2,4.59,4.2,4.47,4.17,0.3,7.1942,507130.02,224739.046,4.47,5.479,6.1283,1.12,,,2.0288,3.4589,2.542,0.0,,116634.3797,92559.0932,82751.8384,521355.6773,413739.1466
300587.SZ,20250407,4.75,4.84,4.07,4.17,5.04,-0.87,-17.2619,588466.99,262325.166,4.17,6.3577,7.1112,1.61,,,1.8926,3.2267,2.3714,0.0,,116634.3797,92559.0932,82751.8384,486365.3633,385971.4186
300587.SZ,20250403,4.97,5.12,4.91,5.04,5.07,-0.03,-0.5917,557917.35,280040.796,5.04,6.0277,6.7421,1.94,,,2.2875,3.8999,2.8662,0.0,,116634.3797,92559.0932,82751.8384,587837.2737,466497.8297
300587.SZ,20250402,4.78,5.43,4.78,5.07,4.59,0.48,10.4575,823870.74,418364.911,5.07,8.901,9.9559,4.95,,,2.3011,3.9232,2.8832,0.0,,116634.3797,92559.0932,82751.8384,591336.3051,469274.6025
300587.SZ,20250401,4.5,4.66,4.5,4.59,4.51,0.08,1.7738,129404.2,59404.32,4.59,1.3981,1.5638,0.66,,,2.0832,3.5517,2.6102,0.0,,116634.3797,92559.0932,82751.8384,535351.8028,424846.2378
300587.SZ,20250331,4.58,4.63,4.48,4.51,4.63,-0.12,-2.5918,159941.0,72472.891,4.51,1.728,1.9328,0.71,,,2.0469,3.4898,2.5648,0.0,,116634.3797,92559.0932,82751.8384,526021.0524,417441.5103
