股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
600276.SH,20250709,53.4,57.94,53.02,57.19,53.4,3.79,7.0974,1158211.69,6507788.433,57.19,1.8157,2.9789,3.32,59.9037,55.481,6.5824,13.5639,13.0026,0.3492,0.3493,663719.9874,637900.2274,388806.5783,37958146.0794,36481514.005
600276.SH,20250708,52.69,53.69,52.5,53.4,52.65,0.75,1.4245,359263.15,1916547.623,53.4,0.5632,0.924,1.01,55.9339,51.8042,6.1462,12.6651,12.1409,0.3739,0.374,663719.9874,637900.2274,388806.5783,35442647.3272,34063872.1432
600276.SH,20250707,53.38,53.59,52.56,52.65,53.26,-0.61,-1.1453,286387.94,1516132.786,52.65,0.449,0.7366,0.74,55.1483,51.0766,6.0599,12.4872,11.9704,0.3793,0.3794,663719.9874,637900.2274,388806.5783,34944857.3366,33585446.9726
600276.SH,20250704,52.61,53.79,52.6,53.26,52.47,0.79,1.5056,477923.12,2548289.616,53.26,0.7492,1.2292,1.37,55.7872,51.6684,6.1301,12.6318,12.1091,0.3749,0.375,663719.9874,637900.2274,388806.5783,35349726.5289,33974566.1113
600276.SH,20250703,52.26,52.58,51.81,52.47,52.25,0.22,0.4211,293678.18,1536828.863,52.47,0.4604,0.7553,0.79,54.9597,50.902,6.0392,12.4445,11.9295,0.3806,0.3807,663719.9874,637900.2274,388806.5783,34825387.7389,33470624.9317
600276.SH,20250702,52.4,53.44,52.1,52.25,52.46,-0.21,-0.4003,325712.23,1714632.081,52.25,0.5106,0.8377,0.79,54.7293,50.6886,6.0139,12.3923,11.8795,0.3822,0.3823,663719.9874,637900.2274,388806.5783,34679369.3417,33330286.8817
600276.SH,20250701,51.89,52.74,51.8,52.46,51.9,0.56,1.079,397724.96,2084478.374,52.46,0.6235,1.0229,0.94,54.9493,50.8923,6.038,12.4421,11.9272,0.3806,0.3807,663719.9874,637900.2274,388806.5783,34818750.539,33464245.9294
600276.SH,20250630,51.91,52.19,50.99,51.9,51.95,-0.05,-0.0962,445354.88,2292910.157,51.9,0.6982,1.1454,1.12,54.3627,50.349,5.9736,12.3093,11.7999,0.3847,0.3849,663719.9874,637900.2274,388806.5783,34447067.3461,33107021.8021
600276.SH,20250627,51.91,52.07,51.67,51.95,52.08,-0.13,-0.2496,287765.07,1492711.802,51.95,0.4511,0.7401,0.74,54.4151,50.3975,5.9793,12.3212,11.8113,0.3844,0.3845,663719.9874,637900.2274,388806.5783,34480253.3454,33138916.8134
600276.SH,20250626,52.6,52.95,51.9,52.08,52.95,-0.87,-1.6431,392268.68,2050704.854,52.08,0.6149,1.0089,1.02,54.5512,50.5237,5.9943,12.352,11.8408,0.3834,0.3835,663719.9874,637900.2274,388806.5783,34566536.9438,33221843.843
600276.SH,20250625,52.15,53.03,51.31,52.95,52.15,0.8,1.534,536481.96,2799316.482,52.95,0.841,1.3798,1.57,55.4625,51.3677,6.0944,12.5583,12.0386,0.3771,0.3772,663719.9874,637900.2274,388806.5783,35143973.3328,33776817.0408
600276.SH,20250624,52.09,52.5,51.73,52.15,51.96,0.19,0.3657,451035.39,2347206.997,52.15,0.7071,1.1601,1.15,54.6246,50.5916,6.1454,12.3686,11.8567,0.3829,0.383,663719.9874,637900.2274,388806.5783,34612997.3429,33266496.8589
600276.SH,20250623,51.68,52.18,51.2,51.96,51.76,0.2,0.3864,313281.06,1620281.115,51.96,0.4911,0.8058,0.77,54.1494,50.1515,6.0919,12.261,11.7536,0.3843,0.3844,660352.2074,637900.2274,388806.5783,34311900.6965,33145295.8157
600276.SH,20250620,51.75,52.33,51.63,51.76,51.58,0.18,0.349,240607.75,1249132.876,51.76,0.3772,0.6188,0.49,53.941,49.9584,6.0685,12.2138,11.7084,0.3858,0.3859,660352.2074,637900.2274,388806.5783,34179830.255,33017715.7702
600276.SH,20250619,51.84,52.39,51.31,51.58,51.81,-0.23,-0.4439,373166.94,1930536.852,51.58,0.585,0.9598,0.72,53.7534,49.7847,6.0474,12.1713,11.6676,0.3871,0.3872,660352.2074,637900.2274,388806.5783,34060966.8577,32902893.7293
600276.SH,20250618,51.7,52.23,51.32,51.81,51.84,-0.03,-0.0579,334095.43,1728559.051,51.81,0.5237,0.8593,0.64,53.9931,50.0067,6.0743,12.2256,11.7197,0.3854,0.3855,660352.2074,637900.2274,388806.5783,34212847.8654,33049610.7816
600276.SH,20250617,54.0,54.21,51.6,51.84,53.76,-1.92,-3.5714,695180.32,3648258.374,51.84,1.0898,1.788,1.45,54.0243,50.0357,6.0778,12.2327,11.7265,0.3852,0.3853,660352.2074,637900.2274,388806.5783,34232658.4316,33068747.7884
600276.SH,20250616,53.41,54.08,53.1,53.76,53.89,-0.13,-0.2412,392241.37,2100282.375,53.76,0.6149,1.0088,0.73,56.0252,51.8888,6.303,12.6857,12.1608,0.3714,0.3715,660352.2074,637900.2274,388806.5783,35500534.6698,34293516.225
600276.SH,20250613,55.69,56.06,53.56,53.89,55.82,-1.93,-3.4575,660238.3,3593704.539,53.89,1.035,1.6981,1.4,56.1607,52.0143,6.3182,12.7164,12.1902,0.3705,0.3706,660352.2074,637900.2274,388806.5783,35586380.4568,34376443.2546
600276.SH,20250612,54.4,56.2,54.0,55.82,54.71,1.11,2.0289,493188.22,2730556.453,55.82,0.7731,1.2685,1.05,58.172,53.8771,6.5445,13.1718,12.6267,0.3577,0.3578,660352.2074,637900.2274,388806.5783,36860860.2171,35607590.6935
600276.SH,20250611,55.0,55.81,54.55,54.71,55.13,-0.42,-0.7618,377735.66,2080608.921,54.71,0.5922,0.9715,0.81,57.0153,52.8058,6.4143,12.9099,12.3757,0.365,0.3651,660352.2074,637900.2274,388806.5783,36127869.2669,34899521.4411
600276.SH,20250610,54.38,55.8,54.38,55.13,54.36,0.77,1.4165,480735.17,2654117.466,55.13,0.7536,1.2364,1.05,57.453,53.2111,6.4636,13.009,12.4707,0.3622,0.3623,660352.2074,637900.2274,388806.5783,36405217.194,35167439.5366
600276.SH,20250609,54.0,55.79,53.78,54.36,53.8,0.56,1.0409,656905.82,3607525.589,54.36,1.0298,1.6895,1.55,56.6505,52.4679,6.3733,12.8273,12.2965,0.3673,0.3674,660352.2074,637900.2274,388806.5783,35896745.9943,34676256.3615
600276.SH,20250606,53.9,54.18,53.38,53.8,53.88,-0.08,-0.1485,344533.88,1849932.993,53.8,0.5401,0.8861,0.81,56.0669,51.9274,6.3076,12.6952,12.1698,0.3712,0.3713,660352.2074,637900.2274,388806.5783,35526948.7581,34319032.2341
600276.SH,20250605,55.1,55.1,53.55,53.88,55.29,-1.41,-2.5502,495272.67,2675359.811,53.88,0.7764,1.2738,1.25,56.1503,52.0046,6.317,12.7141,12.1879,0.3706,0.3707,660352.2074,637900.2274,388806.5783,35579776.9347,34370064.2523
