股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
002386.SZ,20250702,5.04,5.12,5.0,5.01,5.05,-0.04,-0.7921,219168.62,110209.238,5.01,1.6841,2.4865,0.85,,,0.8709,0.4879,0.4831,1.5968,,130164.7073,130141.5367,88141.882,652125.1836,652009.0989
002386.SZ,20250701,4.96,5.06,4.95,5.05,4.96,0.09,1.8145,310141.52,155561.776,5.05,2.3831,3.5187,1.12,,,0.8779,0.4918,0.4869,1.5842,,130164.7073,130141.5367,88141.882,657331.7719,657214.7603
002386.SZ,20250630,4.87,5.0,4.81,4.96,4.88,0.08,1.6393,280364.14,137882.193,4.96,2.1543,3.1808,1.11,,,0.8622,0.483,0.4782,1.6129,,130164.7073,130141.5367,88141.882,645616.9482,645502.022
002386.SZ,20250627,4.86,5.03,4.85,4.88,4.82,0.06,1.2448,258420.6,127161.568,4.88,1.9857,2.9319,1.12,,,0.8483,0.4752,0.4705,1.6393,1.6393,130164.7073,130141.5367,88141.882,635203.7716,635090.6991
002386.SZ,20250626,4.83,4.88,4.8,4.82,4.81,0.01,0.2079,215582.3,104297.967,4.82,1.6565,2.4459,0.92,,,0.8379,0.4694,0.4647,1.6598,1.6598,130164.7073,130141.5367,88141.882,627393.8892,627282.2069
002386.SZ,20250625,4.8,4.86,4.78,4.81,4.82,-0.01,-0.2075,228024.56,109559.99,4.81,1.7521,2.5493,0.99,,,0.8362,0.4684,0.4638,1.6632,1.6632,130164.7073,130141.5367,89444.402,626092.2421,625980.7915
002386.SZ,20250624,4.64,4.94,4.61,4.82,4.65,0.17,3.6559,396142.97,189656.977,4.82,3.0439,4.4289,1.91,,,0.8379,0.4694,0.4647,1.6598,1.6598,130164.7073,130141.5367,89444.402,627393.8892,627282.2069
002386.SZ,20250623,4.5,4.65,4.48,4.65,4.52,0.13,2.8761,165954.5,76430.264,4.65,1.2752,1.8554,0.84,,,0.8083,0.4528,0.4483,1.7204,1.7204,130164.7073,130141.5367,89444.402,605265.8889,605158.1457
002386.SZ,20250620,4.59,4.61,4.52,4.52,4.6,-0.08,-1.7391,146640.16,66784.718,4.52,1.1268,1.6395,0.73,,,0.7857,0.4401,0.4358,1.7699,1.7699,130164.7073,130141.5367,89444.402,588344.477,588239.7459
002386.SZ,20250619,4.72,4.75,4.58,4.6,4.74,-0.14,-2.9536,233194.66,108346.743,4.6,1.7919,2.6071,1.31,,,0.7996,0.4479,0.4435,1.7391,1.7391,130164.7073,130141.5367,89444.402,598757.6536,598651.0688
002386.SZ,20250618,4.75,4.8,4.71,4.74,4.78,-0.04,-0.8368,209356.83,99379.981,4.74,1.6087,2.3406,1.34,,,0.824,0.4616,0.457,1.6878,1.6878,130164.7073,130141.5367,89444.402,616980.7126,616870.884
002386.SZ,20250617,4.64,4.81,4.64,4.78,4.64,0.14,3.0172,282519.41,133535.607,4.78,2.1709,3.1586,2.19,,,0.8309,0.4655,0.4609,1.6736,1.6736,130164.7073,130141.5367,89444.402,622187.3009,622076.5454
002386.SZ,20250616,4.66,4.67,4.62,4.64,4.65,-0.01,-0.2151,110293.2,51196.67,4.64,0.8475,1.2331,0.79,,,0.8066,0.4518,0.4474,1.7241,1.7241,130164.7073,130141.5367,89444.402,603964.2419,603856.7303
002386.SZ,20250613,4.64,4.7,4.63,4.65,4.66,-0.01,-0.2146,162862.54,76008.402,4.65,1.2514,1.8208,1.12,,,0.8083,0.4528,0.4483,1.7204,1.7204,130164.7073,130141.5367,89444.402,605265.8889,605158.1457
002386.SZ,20250612,4.68,4.69,4.62,4.66,4.69,-0.03,-0.6397,125924.9,58535.53,4.66,0.9676,1.4079,0.85,,,0.8101,0.4538,0.4493,1.7167,1.7167,130164.7073,130141.5367,89444.402,606567.536,606459.561
002386.SZ,20250611,4.67,4.7,4.66,4.69,4.67,0.02,0.4283,98713.68,46239.355,4.69,0.7585,1.1036,0.66,,,0.8153,0.4567,0.4522,1.7058,1.7058,130164.7073,130141.5367,89444.402,610472.4772,610363.8071
