股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
833751.BJ,20250709,17.74,17.85,17.24,17.29,17.73,-0.44,-2.4817,17677.98,31051.75,17.29,2.1282,3.3842,0.66,37.8864,35.7456,4.0997,6.9718,6.8711,,,8678.0,8306.7125,5223.7125,150042.62,143623.0591
833751.BJ,20250708,17.09,17.8,17.05,17.73,17.08,0.65,3.8056,19983.49,35103.312,17.73,2.4057,3.8255,0.75,38.8505,36.6553,4.204,7.1492,7.046,,,8678.0,8306.7125,5223.7125,153860.94,147278.0126
833751.BJ,20250707,17.19,17.39,17.04,17.08,17.18,-0.1,-0.5821,13557.05,23257.604,17.08,1.6321,2.5953,0.48,37.4262,35.3114,4.0499,6.8871,6.7876,,,8678.0,8306.7125,5223.7125,148220.24,141878.6495
833751.BJ,20250704,17.88,18.06,17.18,17.18,17.92,-0.74,-4.1295,23237.71,40803.833,17.18,2.7975,4.4485,0.84,37.6454,35.5182,4.0736,6.9274,6.8274,,,8678.0,8306.7125,5223.7125,149088.04,142709.3208
833751.BJ,20250703,18.1,18.35,17.75,17.92,18.19,-0.27,-1.4843,30388.66,54639.02,17.92,3.6583,5.8174,1.16,39.2669,37.0481,4.2491,7.2258,7.1215,,,8678.0,8306.7125,5223.7125,155509.76,148856.288
833751.BJ,20250702,17.64,18.59,17.41,18.19,17.64,0.55,3.1179,47273.11,85811.106,18.19,5.691,9.0497,2.3,39.8585,37.6063,4.3131,7.3347,7.2288,,,8678.0,8306.7125,5223.7125,157852.82,151099.1004
833751.BJ,20250701,17.76,17.92,17.41,17.64,17.72,-0.08,-0.4515,19156.75,33899.828,17.64,2.3062,3.6673,0.91,38.6533,36.4692,4.1827,7.1129,7.0102,,,8678.0,8306.7125,5223.7125,153079.92,146530.4085
833751.BJ,20250630,17.69,17.84,17.55,17.72,17.6,0.12,0.6818,20349.64,35955.195,17.72,2.4498,3.8956,0.99,38.8286,36.6346,4.2017,7.1451,7.042,,,8678.0,8306.7125,5223.7125,153774.16,147194.9455
833751.BJ,20250627,17.4,17.76,17.35,17.6,17.25,0.35,2.029,20925.13,36732.487,17.6,2.5191,4.0058,0.98,38.5657,36.3865,4.1732,7.0968,6.9943,,,8678.0,8306.7125,5223.7125,152732.8,146198.14
833751.BJ,20250626,17.6,17.77,17.23,17.25,17.5,-0.25,-1.4286,23172.86,40581.22,17.25,2.7897,4.4361,0.91,37.7988,35.6629,4.0902,6.9556,6.8552,,,8678.0,8306.7125,5223.7125,149695.5,143290.7906
833751.BJ,20250625,17.41,17.69,17.21,17.5,17.4,0.1,0.5747,19152.19,33348.609,17.5,2.3056,3.6664,0.67,38.3466,36.1798,4.1495,7.0564,6.9546,,,8678.0,8306.7125,5223.7125,151865.0,145367.4688
833751.BJ,20250624,16.9,17.54,16.85,17.4,16.88,0.52,3.0806,21635.42,37486.101,17.4,2.6046,4.1418,0.71,38.1274,35.973,4.1258,7.0161,6.9148,,,8678.0,8306.7125,5223.7125,150997.2,144536.7975
833751.BJ,20250623,16.25,16.97,16.05,16.88,16.25,0.63,3.8769,17483.56,28917.75,16.88,2.1048,3.347,0.5,36.988,34.898,4.0025,6.8064,6.7082,,,8678.0,8306.7125,5223.7125,146484.64,140217.307
833751.BJ,20250620,16.82,16.96,16.03,16.25,16.81,-0.56,-3.3314,25248.46,41477.856,16.25,3.0395,4.8334,0.59,35.6075,33.5955,3.8531,6.5524,6.4578,,,8678.0,8306.7125,5223.7125,141017.5,134984.0781
833751.BJ,20250619,18.0,18.45,17.11,17.11,18.3,-1.19,-6.5027,44141.32,77798.695,17.11,5.3139,8.4502,1.1,37.492,35.3735,3.7876,6.8992,6.7996,,,8678.0,8306.7125,5223.7125,148480.58,142127.8509
833751.BJ,20250618,18.2,18.48,17.54,18.3,18.28,0.02,0.1094,33774.5,60730.86,18.3,4.0659,6.4656,0.77,40.0995,37.8337,4.051,7.379,7.2725,,,8678.0,8306.7125,5223.7125,158807.4,152012.8388
833751.BJ,20250617,18.99,19.19,18.12,18.28,18.94,-0.66,-3.4847,31467.77,58086.419,18.28,3.7882,6.024,0.75,40.0557,37.7923,4.0466,7.3709,7.2645,,,8678.0,8306.7125,5223.7125,158633.84,151846.7045
833751.BJ,20250616,18.6,19.4,18.31,18.94,18.92,0.02,0.1057,41162.44,77300.544,18.94,4.9553,7.8799,1.1,41.5019,39.1568,4.1927,7.6371,7.5268,,,8678.0,8306.7125,5223.7125,164361.32,157329.1348
833751.BJ,20250613,18.68,19.68,18.32,18.92,18.56,0.36,1.9397,62915.86,119855.685,18.92,7.5741,12.0443,2.29,41.4581,39.1155,4.1883,7.629,7.5189,,,8678.0,8306.7125,5223.7125,164187.76,157163.0005
833751.BJ,20250612,18.84,18.84,18.25,18.56,18.55,0.01,0.0539,31685.18,58647.026,18.56,3.8144,6.0656,1.3,40.6693,38.3712,4.1086,7.4838,7.3758,,,8678.0,8306.7125,5223.7125,161063.68,154172.584
833751.BJ,20250611,17.77,18.86,17.66,18.55,17.69,0.86,4.8615,51596.51,95100.323,18.55,6.2114,9.8774,2.83,40.6474,38.3505,4.1064,7.4798,7.3718,,,8678.0,8306.7125,5223.7125,160976.9,154089.5169
833751.BJ,20250610,18.2,18.28,17.51,17.69,18.1,-0.41,-2.2652,22844.62,40776.796,17.69,2.7501,4.3733,1.35,38.7629,36.5726,3.916,7.133,7.0301,,,8678.0,8306.7125,5223.7125,153513.82,146945.7441
833751.BJ,20250609,18.28,18.4,17.9,18.1,17.92,0.18,1.0045,17972.67,32505.658,18.1,2.1636,3.4406,1.01,39.6613,37.4202,4.0067,7.2984,7.193,,,8678.0,8306.7125,5223.7125,157071.8,150351.4963
833751.BJ,20250606,17.96,18.28,17.83,17.92,17.94,-0.02,-0.1115,13526.04,24429.578,17.92,1.6283,2.5894,0.7,39.2669,37.0481,3.9669,7.2258,7.1215,,,8678.0,8306.7125,5223.7125,155509.76,148856.288
833751.BJ,20250605,17.84,18.06,17.68,17.94,17.87,0.07,0.3917,16357.06,29216.382,17.94,1.9691,3.1313,0.84,39.3107,37.0894,3.9713,7.2338,7.1294,,,8678.0,8306.7125,5223.7125,155683.32,149022.4223
833751.BJ,20250604,17.6,18.19,17.51,17.87,17.57,0.3,1.7075,20574.29,36937.627,17.87,2.4768,3.9386,1.1,39.1573,36.9447,3.9558,7.2056,7.1016,,,8678.0,8306.7125,5223.7125,155075.86,148440.9524
833751.BJ,20250603,17.31,17.73,17.31,17.57,17.44,0.13,0.7454,16073.81,28119.398,17.57,1.935,3.0771,0.84,38.4999,36.3245,3.8894,7.0847,6.9824,,,8678.0,8306.7125,5223.7125,152472.46,145948.9386
833751.BJ,20250530,18.31,18.31,17.4,17.44,18.32,-0.88,-4.8035,22786.07,40523.469,17.44,2.7431,4.362,1.2,38.2151,36.0557,3.8606,7.0322,6.9307,,,8678.0,8306.7125,5223.7125,151344.32,144869.066
833751.BJ,20250529,18.1,18.32,17.77,18.32,17.83,0.49,2.7482,20862.7,37820.869,18.32,2.5115,3.9938,0.9,40.1434,37.875,4.0554,7.3871,7.2804,,,8678.0,8306.7125,5223.7125,158980.96,152178.973
833751.BJ,20250528,17.73,18.18,17.6,17.83,17.74,0.09,0.5073,16806.96,30041.345,17.83,2.0233,3.2174,0.55,39.0697,36.862,3.947,7.1895,7.0857,,,8678.0,8306.7125,5223.7125,154728.74,148108.6839
833751.BJ,20250527,17.88,17.95,17.53,17.74,17.75,-0.01,-0.0563,16578.26,29405.185,17.74,1.9958,3.1737,0.45,38.8725,36.6759,3.9271,7.1532,7.0499,,,8678.0,8306.7125,5223.7125,153947.72,147361.0798
833751.BJ,20250526,17.12,17.79,17.1,17.75,17.18,0.57,3.3178,18534.41,32350.762,17.75,2.2313,3.5481,0.45,38.8944,36.6966,3.9293,7.1572,7.0539,,,8678.0,8306.7125,5223.7125,154034.5,147444.1469
833751.BJ,20250523,17.66,17.85,17.15,17.18,17.53,-0.35,-1.9966,22123.13,38758.153,17.18,2.6633,4.2351,0.49,37.6454,35.5182,3.8031,6.9274,6.8274,,,8678.0,8306.7125,5223.7125,149088.04,142709.3208
833751.BJ,20250522,18.5,18.84,17.52,17.53,18.68,-1.15,-6.1563,42508.21,76872.609,17.53,5.1173,8.1375,0.92,38.4123,36.2418,3.8806,7.0685,6.9665,,,8678.0,8306.7125,5223.7125,152125.34,145616.6701
833751.BJ,20250521,19.0,19.62,18.67,18.68,19.05,-0.37,-1.9423,53308.63,102625.861,18.68,6.4175,10.2051,1.28,40.9322,38.6193,4.1351,7.5322,7.4235,,,8678.0,8306.7125,5223.7125,162105.04,155169.3895
