股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
920682.BJ,20250709,9.66,9.84,9.63,9.7,9.64,0.06,0.6224,46411.62,45176.177,9.7,2.4645,3.5977,0.73,23.68,24.6264,2.9203,0.878,0.8697,,,32448.0,18832.4422,12900.2283,314745.6,182674.6893
920682.BJ,20250708,9.62,9.69,9.6,9.64,9.62,0.02,0.2079,36325.68,34984.28,9.64,1.9289,2.8159,0.56,23.5335,24.4741,2.9023,0.8726,0.8643,,,32448.0,18832.4422,12900.2283,312798.72,181544.7428
920682.BJ,20250707,9.55,9.78,9.55,9.62,9.55,0.07,0.733,33478.37,32275.391,9.62,1.7777,2.5952,0.5,23.4847,24.4233,2.8963,0.8708,0.8625,,,32448.0,18832.4422,12900.2283,312149.76,181168.094
920682.BJ,20250704,9.83,9.83,9.55,9.55,9.82,-0.27,-2.7495,56407.78,54373.135,9.55,2.9952,4.3726,0.87,23.3138,24.2456,2.8752,0.8644,0.8563,,,32448.0,18832.4422,12900.2283,309878.4,179849.823
920682.BJ,20250703,9.91,9.97,9.75,9.82,10.01,-0.19,-1.8981,72738.36,71480.066,9.82,3.8624,5.6385,1.15,23.9729,24.9311,2.9565,0.8889,0.8805,,,32448.0,18832.4422,12900.2283,318639.36,184934.5824
920682.BJ,20250702,9.77,10.08,9.76,10.01,9.69,0.32,3.3024,120492.1,120254.58,10.01,6.3981,9.3403,2.34,24.4367,25.4134,3.0137,0.9061,0.8975,,,32448.0,18832.4422,12900.2283,324804.48,188512.7464
920682.BJ,20250701,9.75,9.82,9.64,9.69,9.8,-0.11,-1.1224,43943.01,42784.457,9.69,2.3334,3.4064,0.74,23.6555,24.601,2.9173,0.8771,0.8688,,,32448.0,18832.4422,12900.2283,314421.12,182486.3649
920682.BJ,20250630,9.77,9.81,9.7,9.8,9.77,0.03,0.3071,38300.86,37381.198,9.8,2.0338,2.969,0.65,23.9241,24.8803,2.9504,0.8871,0.8787,,,32448.0,18832.4422,12900.2283,317990.4,184557.9336
920682.BJ,20250627,9.86,9.86,9.63,9.77,9.77,0.0,0.0,47922.36,46840.011,9.77,2.5447,3.7148,0.86,23.8508,24.8041,2.9414,0.8844,0.876,,,32448.0,18832.4422,12900.2283,317016.96,183992.9603
920682.BJ,20250626,9.78,9.95,9.71,9.77,9.82,-0.05,-0.5092,66706.94,65733.385,9.77,3.5421,5.171,1.29,23.8508,24.8041,2.9414,0.8844,0.876,,,32448.0,18832.4422,12900.2283,317016.96,183992.9603
