,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,002952.SZ,20250620,21.61,22.4,20.78,21.03,22.1,-1.07,-4.8416,74640.0,158690.915,21.03,5.6526,15.3276,0.72,205.7308,255.8573,4.0109,4.7737,4.4854,0.3758,0.2349,16434.0,13204.5032,4869.6542,345607.02,277690.7023
1,002952.SZ,20250619,22.9,22.99,21.75,22.1,23.28,-1.18,-5.0687,110397.51,247568.113,22.1,8.3606,22.6705,1.07,216.1984,268.8752,4.215,5.0166,4.7136,0.3576,0.2235,16434.0,13204.5032,4869.6542,363191.4,291819.5207
2,002952.SZ,20250618,21.8,23.29,21.44,23.28,22.14,1.14,5.1491,135171.93,306001.47,23.28,10.2368,27.758,1.38,227.742,283.2314,4.4401,5.2845,4.9653,0.3395,0.2122,16434.0,13204.5032,4869.6542,382583.52,307400.8345
3,002952.SZ,20250617,22.71,22.73,21.9,22.14,22.23,-0.09,-0.4049,72483.26,161112.104,22.14,5.4893,14.8847,0.73,216.5897,269.3619,4.2226,5.0257,4.7221,0.3569,0.2231,16434.0,13204.5032,4869.6542,363848.76,292347.7008
4,002952.SZ,20250616,21.41,22.52,21.41,22.23,21.92,0.31,1.4142,98409.89,218783.83,22.23,7.4528,20.2088,1.06,217.4701,270.4568,4.2398,5.0461,4.7413,0.3555,0.2222,16434.0,13204.5032,4869.6542,365327.82,293536.1061
5,002952.SZ,20250613,21.83,22.56,21.51,21.92,21.94,-0.02,-0.0912,102482.12,226186.637,21.92,7.7611,21.0451,1.12,214.4375,266.6853,4.1807,4.9757,4.6752,0.3605,0.2253,16434.0,13204.5032,4869.6542,360233.28,289442.7101
6,002952.SZ,20250612,22.0,22.54,21.83,21.94,22.0,-0.06,-0.2727,106969.0,236334.881,21.94,8.1009,21.9664,0.96,214.6331,266.9286,4.1845,4.9803,4.6795,0.3602,0.2251,16434.0,13204.5032,4869.6542,360561.96,289706.8002
7,002952.SZ,20250611,21.31,22.4,21.2,22.0,21.21,0.79,3.7247,108682.87,237055.761,22.0,8.2307,22.3184,0.92,215.2201,267.6586,4.1959,4.9939,4.6923,0.3592,0.2245,16434.0,13204.5032,4869.6542,361548.0,290499.0704
8,002952.SZ,20250610,21.61,21.97,20.96,21.21,21.78,-0.57,-2.6171,79040.64,169440.094,21.21,5.9859,16.2313,0.62,207.4917,258.0472,4.0453,4.8146,4.5238,0.3726,0.2329,16434.0,13204.5032,4869.6542,348565.14,280067.5129
9,002952.SZ,20250609,21.57,21.81,21.45,21.78,21.56,0.22,1.0204,65393.86,141866.797,21.78,4.9524,13.4289,0.5,213.0679,264.982,4.154,4.944,4.6453,0.3628,0.2268,16434.0,13204.5032,4869.6542,357932.52,287594.0797
