股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
300960.SZ,20250709,25.3,26.27,25.2,25.23,25.5,-0.27,-1.0588,57967.0,148693.374,25.23,4.4534,15.9997,1.06,73.7938,72.875,6.3544,8.5423,8.3584,1.9772,1.5571,14373.0153,13016.4153,3623.0016,362631.176,328404.158
300960.SZ,20250708,25.95,26.66,25.25,25.5,25.75,-0.25,-0.9709,54265.8,139287.227,25.5,4.169,14.9781,0.93,74.5835,73.6548,6.4224,8.6337,8.4478,1.9562,1.5406,14373.0153,13016.4153,3623.0016,366511.8902,331918.5902
300960.SZ,20250707,24.99,26.2,24.99,25.75,24.98,0.77,3.0825,58648.57,150626.089,25.75,4.5057,16.1878,0.92,75.3147,74.377,6.4854,8.7183,8.5307,1.9372,1.5257,14373.0153,13016.4153,3623.0016,370105.144,335172.694
300960.SZ,20250704,25.33,25.34,24.48,24.98,25.58,-0.6,-2.3456,49600.0,123622.303,24.98,3.8106,13.6903,0.7,73.0626,72.1529,6.2915,8.4576,8.2756,1.9969,1.5727,14373.0153,13016.4153,3623.0016,359037.9222,325150.0542
300960.SZ,20250703,24.4,25.58,23.88,25.58,24.52,1.06,4.323,69089.8,170672.633,25.58,5.3079,19.0698,0.79,74.8175,73.8859,6.4426,8.6608,8.4743,1.9501,1.5358,14373.0153,13016.4153,3623.0016,367661.7314,332959.9034
300960.SZ,20250702,24.6,24.85,24.0,24.52,24.85,-0.33,-1.328,42943.93,104736.961,24.52,3.2992,11.8531,0.42,71.7171,70.8242,6.1756,8.3019,8.1232,2.0344,1.6022,14373.0153,13016.4153,3623.0016,352426.3352,319162.5032
300960.SZ,20250701,24.64,25.15,23.91,24.85,24.64,0.21,0.8523,72456.4,178276.932,24.85,5.5665,19.999,0.8,72.6823,71.7774,6.2587,8.4136,8.2325,2.0074,1.5809,14373.0153,13016.4153,3623.0016,357169.4302,323457.9202
300960.SZ,20250630,24.01,24.8,23.48,24.64,24.01,0.63,2.6239,85591.0,206487.228,24.64,6.5756,23.6243,1.1,72.0681,71.1708,6.2058,8.3425,8.1629,2.0245,1.5944,14373.0153,13016.4153,3623.0016,354151.097,320724.473
300960.SZ,20250627,23.78,24.2,23.46,24.01,23.8,0.21,0.8824,84713.37,201690.94,24.01,6.5082,23.3821,1.24,70.2255,69.3511,6.0472,8.1292,7.9542,2.0776,1.6362,14373.0153,13016.4153,3623.0016,345096.0974,312524.1314
300960.SZ,20250626,23.01,25.25,23.01,23.8,24.5,-0.7,-2.8571,152730.7,366450.656,23.8,11.7337,42.1558,3.59,69.6112,68.7445,5.9943,8.0581,7.8846,2.096,1.6507,14373.0153,13016.4153,3623.0016,342077.7641,309790.6841
300960.SZ,20250625,20.52,24.5,20.52,24.5,20.42,4.08,19.9804,110047.58,260586.344,24.5,8.4545,30.3747,4.49,71.6586,70.7664,6.1706,8.2951,8.1165,2.0361,1.6035,14373.0153,13016.4153,3623.0016,352138.8749,318902.1749
300960.SZ,20250624,19.88,20.5,19.67,20.42,19.86,0.56,2.8197,18338.23,37102.42,20.42,1.4089,5.0616,0.74,59.7253,58.9816,5.143,6.9137,6.7649,2.4429,1.9239,14373.0153,13016.4153,3623.0016,293496.9724,265795.2004
300960.SZ,20250623,19.3,19.95,19.01,19.86,19.51,0.35,1.794,21810.6,42832.335,19.86,1.6756,6.02,0.9,58.0874,57.3641,5.0019,6.7241,6.5794,2.5118,1.9781,14373.0153,13016.4153,3623.0016,285448.0839,258506.0079
300960.SZ,20250620,20.6,21.2,19.5,19.51,19.63,-0.12,-0.6113,39257.2,78719.057,19.51,3.016,10.8355,1.67,57.0637,56.3532,4.9138,6.6056,6.4634,2.5568,2.0136,14373.0153,13016.4153,3623.0016,280417.5285,253950.2625
300960.SZ,20250619,20.25,20.41,19.57,19.63,20.34,-0.71,-3.4907,23330.2,46494.52,19.63,1.7924,6.4395,0.96,57.4146,56.6998,4.944,6.6463,6.5032,2.5412,2.0013,14373.0153,13016.4153,3623.0016,282142.2903,255512.2323
