,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,002026.SZ,20250702,12.07,12.15,11.83,11.86,12.15,-0.29,-2.3868,116195.0,138797.09,11.86,2.7138,4.0723,0.75,17.6186,17.5833,1.4278,2.3801,2.4335,1.5173,0.5059,44570.3339,42816.5149,28533.2723,528604.1601,507803.8667
1,002026.SZ,20250701,12.18,12.25,11.88,12.15,12.15,0.0,0.0,144854.82,174810.635,12.15,3.3832,5.0767,0.92,18.0494,18.0132,1.4628,2.4383,2.493,1.4811,0.4938,44570.3339,42816.5149,28533.2723,541529.5569,520220.656
2,002026.SZ,20250630,12.72,12.94,12.1,12.15,12.34,-0.19,-1.5397,230670.81,285762.903,12.15,5.3874,8.0843,1.56,18.0494,18.0132,1.4628,2.4383,2.493,1.4811,0.4938,44570.3339,42816.5149,28533.2723,541529.5569,520220.656
3,002026.SZ,20250627,11.84,12.46,11.78,12.34,11.84,0.5,4.223,197923.8,240121.771,12.34,4.6226,6.9366,1.2,18.3316,18.2949,1.4856,2.4765,2.532,1.4583,0.4862,44570.3339,42816.5149,28533.2723,549997.9203,528355.7939
4,002026.SZ,20250626,12.0,12.07,11.8,11.84,11.97,-0.13,-1.086,88029.0,105058.416,11.84,2.056,3.0851,0.51,17.5888,17.5536,1.4254,2.3761,2.4294,1.5199,0.5067,44570.3339,42816.5149,28533.2723,527712.7534,506947.5364
5,002026.SZ,20250625,11.98,12.1,11.85,11.97,12.04,-0.07,-0.5814,115714.0,138134.09,11.97,2.7026,4.0554,0.71,17.782,17.7464,1.4411,2.4022,2.4561,1.5034,0.5012,44570.3339,42816.5149,28533.2723,533506.8968,512513.6834
6,002026.SZ,20250624,11.8,12.2,11.8,12.04,11.89,0.15,1.2616,157314.0,189898.621,12.04,3.6741,5.5134,1.09,17.886,17.8502,1.4495,2.4163,2.4704,1.4946,0.4983,44570.3339,42816.5149,28533.2723,536626.8202,515510.8394
7,002026.SZ,20250623,11.37,12.04,11.37,11.89,11.48,0.41,3.5714,180462.01,213462.514,11.89,4.2148,6.3246,1.49,17.6631,17.6278,1.4315,2.3862,2.4396,1.5135,0.5046,44570.3339,42816.5149,28533.2723,529941.2701,509088.3622
8,002026.SZ,20250620,11.0,11.85,10.99,11.48,11.01,0.47,4.2688,285391.01,329490.563,11.48,6.6654,10.002,3.42,17.0541,17.0199,1.3821,2.3039,2.3555,1.5675,1.5675,44570.3339,42816.5149,28533.2723,511667.4332,491533.5911
9,002026.SZ,20250619,11.37,11.48,10.28,11.01,11.42,-0.41,-3.5902,120408.0,134547.696,11.01,2.8122,4.2199,1.51,16.3558,16.3231,1.3255,2.2096,2.2591,1.6344,1.6344,44570.3339,42816.5149,28533.2723,490719.3762,471409.829
10,002026.SZ,20250618,11.52,11.52,11.3,11.42,11.4,0.02,0.1754,71458.0,81540.102,11.42,1.6689,2.5044,0.86,16.9649,16.931,1.3749,2.2918,2.3432,1.5758,1.5758,44570.3339,42816.5149,28533.2723,508993.2131,488964.6002
11,002026.SZ,20250617,11.32,11.44,11.29,11.4,11.35,0.05,0.4405,61185.0,69581.305,11.4,1.429,2.1443,0.57,16.9352,16.9013,1.3725,2.2878,2.3391,1.5785,1.5785,44570.3339,42816.5149,28533.2723,508101.8065,488108.2699
12,002026.SZ,20250616,11.36,11.45,11.26,11.35,11.36,-0.01,-0.088,67324.0,76463.771,11.35,1.5724,2.3595,0.57,16.8609,16.8272,1.3664,2.2778,2.3288,1.5855,1.5855,44570.3339,42816.5149,28533.2723,505873.2898,485967.4441
13,002026.SZ,20250613,11.53,11.61,11.34,11.36,11.61,-0.25,-2.1533,97321.0,111290.236,11.36,2.273,3.4108,0.75,16.8758,16.842,1.3676,2.2798,2.3309,1.5841,1.5841,44570.3339,42816.5149,28533.2723,506318.9931,486395.6093
14,002026.SZ,20250612,11.73,11.78,11.51,11.61,11.76,-0.15,-1.2755,100690.27,117146.67,11.61,2.3517,3.5289,0.7,17.2472,17.2127,1.3977,2.33,2.3822,1.55,1.55,44570.3339,42816.5149,28533.2723,517461.5766,497099.738
15,002026.SZ,20250611,11.78,11.86,11.72,11.76,11.79,-0.03,-0.2545,90401.32,106510.424,11.76,2.1114,3.1683,0.6,17.47,17.435,1.4158,2.3601,2.413,1.5302,1.5302,44570.3339,42816.5149,28533.2723,524147.1267,503522.2152
16,002026.SZ,20250610,12.08,12.16,11.6,11.79,12.17,-0.38,-3.1224,184375.0,217496.243,11.79,4.3062,6.4618,1.34,17.5146,17.4795,1.4194,2.3661,2.4191,1.5263,1.5263,44570.3339,42816.5149,28533.2723,525484.2367,504806.7107
17,002026.SZ,20250609,12.15,12.36,12.02,12.17,12.13,0.04,0.3298,118987.37,145180.38,12.17,2.779,4.1701,0.74,18.0791,18.0429,1.4652,2.4424,2.4971,1.4787,1.4787,44570.3339,42816.5149,28533.2723,542420.9636,521076.9863
18,002026.SZ,20250606,12.13,12.32,11.95,12.13,12.17,-0.04,-0.3287,152829.37,184978.316,12.13,3.5694,5.3562,0.95,18.0197,17.9836,1.4604,2.4343,2.4889,1.4835,1.4835,44570.3339,42816.5149,28533.2723,540638.1502,519364.3257
19,002026.SZ,20250605,11.82,12.23,11.71,12.17,11.93,0.24,2.0117,170165.93,204329.751,12.17,3.9743,5.9638,1.08,18.0791,18.0429,1.4652,2.4424,2.4971,1.4787,1.4787,44570.3339,42816.5149,28533.2723,542420.9636,521076.9863
20,002026.SZ,20250604,11.7,12.07,11.7,11.93,11.72,0.21,1.7918,126366.25,150352.528,11.93,2.9513,4.4287,0.66,17.7225,17.6871,1.4363,2.3942,2.4479,1.5084,1.5084,44570.3339,42816.5149,28533.2723,531724.0834,510801.0228
21,002026.SZ,20250603,11.91,12.01,11.7,11.72,11.92,-0.2,-1.6779,119244.0,140825.923,11.72,2.785,4.1791,0.54,17.4106,17.3757,1.411,2.352,2.4048,1.5354,1.5354,44570.3339,42816.5149,28533.2723,522364.3133,501809.5546
22,002026.SZ,20250530,11.9,12.26,11.53,11.92,11.99,-0.07,-0.5838,237063.0,282754.845,11.92,5.5367,8.3083,1.06,17.7077,17.6723,1.4351,2.3922,2.4458,1.5097,1.5097,44570.3339,42816.5149,28533.2723,531278.3801,510372.8576
23,002026.SZ,20250529,12.08,12.17,11.9,11.99,12.07,-0.08,-0.6628,149013.0,179000.357,11.99,3.4803,5.2224,0.61,17.8117,17.776,1.4435,2.4062,2.4602,1.5009,1.5009,44570.3339,42816.5149,28533.2723,534398.3035,513370.0137
24,002026.SZ,20250528,12.32,12.4,12.0,12.07,12.32,-0.25,-2.0292,156278.96,189545.105,12.07,3.65,5.4771,0.55,17.9305,17.8946,1.4531,2.4223,2.4766,1.4909,1.4909,44570.3339,42816.5149,28533.2723,537963.9302,516795.3348
25,002026.SZ,20250527,11.88,12.45,11.83,12.32,12.0,0.32,2.6667,294965.02,360700.401,12.32,6.889,10.3376,0.81,18.3019,18.2653,1.4832,2.4725,2.5279,1.4607,1.4607,44570.3339,42816.5149,28533.2723,549106.5136,527499.4636
26,002026.SZ,20250526,11.57,12.05,11.46,12.0,11.66,0.34,2.916,261639.0,306648.514,12.0,6.1107,9.1696,0.71,17.8265,17.7909,1.4447,2.4082,2.4622,1.4996,1.4996,44570.3339,42816.5149,28533.2723,534844.0068,513798.1788
27,002026.SZ,20250523,11.8,12.41,11.66,11.66,11.85,-0.19,-1.6034,261367.0,312675.934,11.66,6.1044,9.1601,0.74,17.3215,17.2868,1.4038,2.34,2.3925,1.5433,1.5433,44570.3339,42816.5149,28533.2723,519690.0933,499240.5637
28,002026.SZ,20250522,11.84,12.18,11.81,11.85,11.76,0.09,0.7653,247095.87,296857.864,11.85,5.771,8.6599,0.76,17.6037,17.5685,1.4266,2.3781,2.4314,1.5186,1.5186,44570.3339,42816.5149,28533.2723,528158.4567,507375.7016
29,002026.SZ,20250521,12.2,12.28,11.75,11.76,12.25,-0.49,-4.0,357854.94,426576.083,11.76,8.3579,12.5417,1.3,17.47,17.435,1.4158,2.3601,2.413,1.5302,1.5302,44570.3339,42816.5149,28533.2723,524147.1267,503522.2152
30,002026.SZ,20250520,11.5,12.72,11.35,12.25,11.56,0.69,5.9689,688514.54,845806.692,12.25,16.0806,24.1302,4.07,18.1979,18.1615,1.4748,2.4584,2.5135,1.469,1.469,44570.3339,42816.5149,28533.2723,545986.5903,524502.3075
31,002026.SZ,20250519,11.43,12.17,11.4,11.56,11.24,0.32,2.847,276838.0,323698.005,11.56,6.4657,9.7023,1.74,17.1729,17.1385,1.3917,2.3199,2.3719,1.5567,1.5567,44570.3339,42816.5149,28533.2723,515233.0599,494958.9122
32,002026.SZ,20250516,10.84,11.54,10.8,11.24,10.84,0.4,3.69,206557.77,232381.658,11.24,4.8243,7.2392,1.44,16.6975,16.6641,1.3532,2.2557,2.3063,1.601,1.601,44570.3339,42816.5149,28533.2723,500970.553,481257.6275
33,002026.SZ,20250515,11.12,11.12,10.75,10.84,11.06,-0.22,-1.9892,99361.0,107899.654,10.84,2.3206,3.4823,0.66,16.1033,16.0711,1.305,2.1754,2.2242,1.6601,1.6601,44570.3339,42816.5149,28533.2723,483142.4195,464131.0215
34,002026.SZ,20250514,11.09,11.26,10.98,11.06,11.18,-0.12,-1.0733,106155.9,117760.525,11.06,2.4793,3.7204,0.69,16.4301,16.3972,1.3315,2.2196,2.2693,1.6271,1.6271,44570.3339,42816.5149,28533.2723,492947.8929,473550.6548
35,002026.SZ,20250513,11.3,11.44,11.02,11.18,11.07,0.11,0.9937,157158.18,176425.299,11.18,3.6705,5.5079,1.09,16.6084,16.5751,1.346,2.2437,2.294,1.6096,1.6096,44570.3339,42816.5149,28533.2723,498296.333,478688.6366
36,002026.SZ,20250512,11.0,11.56,10.96,11.07,10.72,0.35,3.2649,227055.0,254275.118,11.07,5.303,7.9576,1.97,16.445,16.4121,1.3327,2.2216,2.2714,1.6256,1.6256,44570.3339,42816.5149,28533.2723,493393.5963,473978.8199
37,002026.SZ,20250509,10.8,11.08,10.67,10.72,10.79,-0.07,-0.6487,129533.75,139969.774,10.72,3.0253,4.5397,1.25,15.925,15.8932,1.2906,2.1514,2.1996,1.6787,1.6787,44570.3339,42816.5149,28533.2723,477793.9794,458993.0397
38,002026.SZ,20250508,10.46,10.85,10.44,10.79,10.49,0.3,2.8599,128176.0,137268.467,10.79,2.9936,4.4922,1.39,16.029,15.9969,1.299,2.1654,2.2139,1.6678,1.6678,44570.3339,42816.5149,28533.2723,480913.9028,461990.1958
39,002026.SZ,20250507,10.6,10.64,10.39,10.49,10.48,0.01,0.0954,128729.0,135595.924,10.49,3.0065,4.5115,1.54,15.5834,15.5522,1.2629,2.1052,2.1524,1.7155,1.7155,44570.3339,42816.5149,28533.2723,467542.8026,449145.2413
40,002026.SZ,20250506,10.42,10.54,10.36,10.48,10.27,0.21,2.0448,105924.0,110811.468,10.48,2.4739,3.7123,1.27,15.5685,15.5373,1.2617,2.1032,2.1503,1.7171,1.7171,44570.3339,42816.5149,28533.2723,467097.0993,448717.0762
41,002026.SZ,20250430,10.16,10.39,10.12,10.27,10.16,0.11,1.0827,84651.0,86911.325,10.27,1.9771,2.9667,0.89,15.2565,15.226,1.2364,2.061,2.1072,1.7522,1.7522,44570.3339,42816.5149,28533.2723,457737.3292,439725.608
42,002026.SZ,20250429,9.98,10.22,9.96,10.16,9.99,0.17,1.7017,69928.42,70973.709,10.16,1.6332,2.4508,0.66,15.0931,15.0629,1.2232,2.039,2.0847,1.7712,1.7712,44570.3339,42816.5149,28533.2723,452834.5924,435015.7914
43,002026.SZ,20250428,10.23,10.24,9.97,9.99,10.21,-0.22,-2.1548,71691.0,71966.617,9.99,1.6744,2.5125,0.63,14.8406,14.8109,1.2027,2.0049,2.0498,1.8013,1.8013,44570.3339,42816.5149,28533.2723,445257.6357,427736.9839
44,002026.SZ,20250425,10.23,10.36,10.15,10.21,10.22,-0.01,-0.0978,84667.0,86743.239,10.21,1.9774,2.9673,0.76,15.1674,15.1371,1.2292,2.049,2.0949,1.7625,1.7625,44570.3339,42816.5149,28533.2723,455063.1091,437156.6171
45,002026.SZ,20250424,10.35,10.44,10.14,10.22,10.39,-0.17,-1.6362,106577.0,109687.707,10.22,2.4892,3.7352,1.03,15.1823,15.1519,1.2304,2.051,2.097,1.7608,1.7608,44570.3339,42816.5149,28533.2723,455508.8125,437584.7823
46,002026.SZ,20250423,10.25,10.46,10.15,10.39,10.12,0.27,2.668,143159.99,148098.977,10.39,3.3436,5.0173,1.51,15.4348,15.4039,1.2509,2.0851,2.1319,1.732,1.732,44570.3339,42816.5149,28533.2723,463085.7692,444863.5898
47,002026.SZ,20250422,10.22,10.25,10.0,10.12,10.32,-0.2,-1.938,122374.0,123816.044,10.12,2.8581,4.2888,1.35,15.0337,15.0036,1.2184,2.0309,2.0765,1.7782,1.7782,44570.3339,42816.5149,28533.2723,451051.7791,433303.1308
48,002026.SZ,20250421,9.92,10.32,9.86,10.32,9.92,0.4,4.0323,111655.42,113167.821,10.32,2.6078,3.9132,1.22,27.6434,17.5629,1.2993,1.943,2.0047,1.7437,1.7437,44570.3339,42816.5149,28533.2723,459965.8458,441866.4338
49,002026.SZ,20250418,9.85,10.01,9.74,9.92,9.84,0.08,0.813,74952.0,73983.715,9.92,1.7505,2.6268,0.69,26.5719,16.8822,1.2489,1.8677,1.927,1.814,1.814,44570.3339,42816.5149,28533.2723,442137.7123,424739.8278
50,002026.SZ,20250417,9.77,10.02,9.74,9.84,9.8,0.04,0.4082,66821.0,66161.263,9.84,1.5606,2.3419,0.49,26.3576,16.746,1.2389,1.8527,1.9115,1.8288,1.8288,44570.3339,42816.5149,28533.2723,438572.0856,421314.5066
51,002026.SZ,20250416,10.01,10.07,9.66,9.8,10.09,-0.29,-2.8741,99689.26,98223.139,9.8,2.3283,3.4938,0.63,26.2505,16.678,1.2338,1.8451,1.9037,1.8363,1.8363,44570.3339,42816.5149,28533.2723,436789.2722,419601.846
52,002026.SZ,20250415,9.93,10.1,9.86,10.09,9.95,0.14,1.407,98457.0,98387.471,10.09,2.2995,3.4506,0.49,27.0273,17.1715,1.2703,1.8997,1.9601,1.7835,1.7835,44570.3339,42816.5149,28533.2723,449714.6691,432018.6353
53,002026.SZ,20250414,9.98,10.21,9.92,9.95,9.83,0.12,1.2208,118565.0,119049.252,9.95,2.7691,4.1553,0.54,26.6523,16.9332,1.2527,1.8734,1.9329,1.8086,1.8086,44570.3339,42816.5149,28533.2723,443474.8223,426024.3233
54,002026.SZ,20250411,9.51,10.04,9.51,9.83,9.68,0.15,1.5496,156476.0,154343.378,9.83,3.6546,5.484,0.68,26.3309,16.729,1.2376,1.8508,1.9095,1.8306,1.8306,44570.3339,42816.5149,28533.2723,438126.3822,420886.3415
55,002026.SZ,20250410,9.75,9.96,9.66,9.68,9.36,0.32,3.4188,209878.0,206011.417,9.68,4.9018,7.3556,0.83,25.9291,16.4737,1.2187,1.8225,1.8804,1.859,1.859,44570.3339,42816.5149,28533.2723,431440.8322,414463.8642
56,002026.SZ,20250409,9.11,9.49,8.4,9.36,9.3,0.06,0.6452,213896.0,193227.535,9.36,4.9956,7.4964,0.85,25.0719,15.9292,1.1784,1.7623,1.8182,1.9226,1.9226,44570.3339,42816.5149,28533.2723,417178.3253,400762.5795
