股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
600673.SH,20250709,13.94,13.97,13.54,13.63,13.99,-0.36,-2.5733,457184.54,627202.896,13.63,1.5232,3.2345,0.81,109.3908,74.0079,4.5155,3.3626,3.2258,2.432,,300955.5059,300155.7927,141347.7557,4102023.5454,4091123.4545
600673.SH,20250708,13.66,14.08,13.56,13.99,13.85,0.14,1.0108,600009.89,831432.921,13.99,1.999,4.2449,1.02,112.2801,75.9627,4.6347,3.4514,3.311,2.3694,,300955.5059,300155.7927,141347.7557,4210367.5275,4199179.5399
600673.SH,20250707,13.03,14.1,12.94,13.85,12.87,0.98,7.6146,909619.38,1229877.66,13.85,3.0305,6.4353,1.9,111.1565,75.2025,4.5883,3.4168,3.2779,2.3934,,300955.5059,300155.7927,141347.7557,4168233.7567,4157157.7289
600673.SH,20250704,12.44,13.15,12.39,12.87,12.34,0.53,4.295,644519.06,825497.355,12.87,2.1473,4.5598,1.55,103.2912,69.8813,4.2637,3.1751,3.0459,2.5756,,300955.5059,300155.7927,141347.7557,3873297.3609,3863005.052
600673.SH,20250703,12.36,12.5,12.07,12.34,12.38,-0.04,-0.3231,284210.99,349065.575,12.34,0.9469,2.0107,0.68,99.0376,67.0035,4.0881,3.0443,2.9205,2.6863,,300955.5059,300155.7927,141347.7557,3713790.9428,3703922.4819
600673.SH,20250702,12.55,12.75,12.36,12.38,12.67,-0.29,-2.2889,374281.25,468380.053,12.38,1.247,2.6479,0.93,99.3586,67.2207,4.1014,3.0542,2.93,2.6776,,300955.5059,300155.7927,141347.7557,3725829.163,3715928.7136
600673.SH,20250701,11.64,12.79,11.61,12.67,11.63,1.04,8.9424,738318.02,902799.793,12.67,2.4598,5.2234,2.41,101.6861,68.7954,4.1974,3.1257,2.9986,2.6163,,300955.5059,300155.7927,141347.7557,3813106.2598,3802973.8935
600673.SH,20250630,11.65,11.7,11.41,11.63,11.63,0.0,0.0,355001.0,410498.528,11.63,1.1827,2.5115,1.08,93.3393,63.1484,3.8529,2.8692,2.7525,2.8503,,300955.5059,300155.7927,141347.7557,3500112.5336,3490811.8691
600673.SH,20250627,11.5,11.68,11.19,11.63,11.5,0.13,1.1304,332496.0,382591.382,11.63,1.1077,2.3523,0.96,93.3393,63.1484,3.8529,2.8692,2.7525,2.8503,,300955.5059,300155.7927,141347.7557,3500112.5336,3490811.8691
600673.SH,20250626,11.4,11.71,11.38,11.5,11.4,0.1,0.8772,304696.0,352381.196,11.5,1.0151,2.1556,0.82,92.296,62.4425,3.8098,2.8371,2.7217,2.8825,,300955.5059,300155.7927,141347.7557,3460988.3179,3451791.6161
600673.SH,20250625,11.42,11.54,11.3,11.4,11.42,-0.02,-0.1751,284482.57,324330.025,11.4,0.9478,2.0126,0.68,91.4934,61.8995,3.7767,2.8124,2.698,2.9078,,300955.5059,300155.7927,141347.7557,3430892.7673,3421776.0368
600673.SH,20250624,11.5,11.52,11.29,11.42,11.42,0.0,0.0,253675.63,289126.895,11.42,0.8451,1.7947,0.54,91.6539,62.0081,3.7833,2.8173,2.7028,2.9027,,300955.5059,300155.7927,141347.7557,3436911.8774,3427779.1526
600673.SH,20250623,11.48,11.6,11.13,11.42,11.6,-0.18,-1.5517,465380.6,527468.422,11.42,1.5505,3.2925,0.9,91.6539,62.0081,3.7833,2.8173,2.7028,2.9027,,300955.5059,300155.7927,141347.7557,3436911.8774,3427779.1526
600673.SH,20250620,11.71,12.05,11.46,11.6,11.72,-0.12,-1.0239,420575.65,492350.561,11.6,1.4012,2.9755,0.81,93.0985,62.9855,3.8429,2.8618,2.7454,2.8576,,300955.5059,300155.7927,141347.7557,3491083.8684,3481807.1953
600673.SH,20250619,11.65,11.92,11.46,11.72,11.65,0.07,0.6009,434114.47,505130.154,11.72,1.4463,3.0713,0.87,94.0616,63.6371,3.8827,2.8914,2.7738,2.8284,,300955.5059,300155.7927,141347.7557,3527198.5291,3517825.8904
600673.SH,20250618,11.46,11.71,11.2,11.65,11.33,0.32,2.8244,506019.96,579802.994,11.65,1.6859,3.58,1.09,93.4998,63.257,3.8595,2.8741,2.7572,2.8454,,300955.5059,300155.7927,141347.7557,3506131.6437,3496814.985
600673.SH,20250617,11.31,11.62,11.26,11.33,11.21,0.12,1.0705,502788.59,573852.387,11.33,1.6751,3.5571,1.18,90.9316,61.5194,3.7535,2.7951,2.6815,2.9257,,300955.5059,300155.7927,141347.7557,3409825.8818,3400765.1313
600673.SH,20250616,10.67,11.3,10.67,11.21,10.52,0.69,6.5589,731065.99,809261.778,11.21,2.4356,5.1721,2.21,89.9685,60.8679,3.7137,2.7655,2.6531,2.9571,,300955.5059,300155.7927,141347.7557,3373711.2211,3364746.4362
600673.SH,20250613,10.32,10.59,10.19,10.52,10.38,0.14,1.3487,412588.21,432080.748,10.52,1.3746,2.919,1.5,84.4308,57.1213,3.4852,2.5953,2.4898,3.151,,300955.5059,300155.7927,141347.7557,3166051.9221,3157638.9392
600673.SH,20250612,10.17,10.42,10.03,10.38,10.13,0.25,2.4679,333832.47,343614.943,10.38,1.1122,2.3618,1.28,83.3071,56.3611,3.4388,2.5608,2.4566,3.1935,3.1935,300955.5059,300155.7927,141347.7557,3123918.1512,3115617.1282
600673.SH,20250611,9.94,10.41,9.91,10.13,9.92,0.21,2.1169,333521.92,338215.793,10.13,1.1112,2.3596,1.11,81.3007,55.0037,3.356,2.4991,2.3975,3.2723,3.2723,300955.5059,300155.7927,141347.7557,3048679.2748,3040578.1801
600673.SH,20250610,10.05,10.34,9.87,9.92,9.95,-0.03,-0.3015,311511.96,313946.678,9.92,1.0378,2.2039,1.11,79.6153,53.8634,3.2864,2.4473,2.3478,3.3416,3.3416,300955.5059,300155.7927,141347.7557,2985478.6185,2977545.4636
600673.SH,20250609,10.15,10.22,9.92,9.95,10.15,-0.2,-1.9704,259605.0,259493.76,9.95,0.8649,1.8366,1.04,79.8561,54.0263,3.2963,2.4547,2.3549,3.3315,3.3315,300955.5059,300155.7927,141347.7557,2994507.2837,2986550.1374
600673.SH,20250606,10.1,10.29,10.06,10.15,10.19,-0.04,-0.3925,139085.62,141231.373,10.15,0.4634,0.984,0.56,81.4612,55.1123,3.3626,2.504,2.4022,3.2659,3.2659,300955.5059,300155.7927,141347.7557,3054698.3849,3046581.2959
600673.SH,20250605,10.44,10.56,10.14,10.19,10.37,-0.18,-1.7358,261427.45,267220.125,10.19,0.871,1.8495,1.17,81.7823,55.3295,3.3758,2.5139,2.4117,3.253,3.253,300955.5059,300155.7927,141347.7557,3066736.6051,3058587.5276
600673.SH,20250604,9.75,10.48,9.73,10.37,9.75,0.62,6.359,533727.9,549339.756,10.37,1.7782,3.776,3.72,83.2269,56.3068,3.4355,2.5583,2.4543,3.1966,3.1966,300955.5059,300155.7927,141347.7557,3120908.5962,3112615.5703
600673.SH,20250603,9.48,9.85,9.43,9.75,9.47,0.28,2.9567,209386.79,203187.932,9.75,0.6976,1.4814,1.68,78.2509,52.9404,3.2301,2.4054,2.3075,3.3999,3.3999,300955.5059,300155.7927,141347.7557,2934316.1825,2926518.9788
600673.SH,20250530,9.63,9.63,9.45,9.47,9.64,-0.17,-1.7635,110239.26,105028.547,9.47,0.3673,0.7799,0.8,76.0037,51.42,3.1373,2.3363,2.2413,3.5004,3.5004,300955.5059,300155.7927,141347.7557,2850048.6409,2842475.3569
600673.SH,20250529,9.55,9.72,9.5,9.64,9.56,0.08,0.8368,123152.02,118894.633,9.64,0.4103,0.8713,0.85,77.3681,52.3431,3.1936,2.3782,2.2815,3.4386,3.4386,300955.5059,300155.7927,141347.7557,2901211.0769,2893501.8416
600673.SH,20250528,9.68,9.81,9.53,9.56,9.69,-0.13,-1.3416,141772.0,136379.979,9.56,0.4723,1.003,1.04,76.8362,51.9832,3.1639,2.3619,2.2658,3.4625,3.4625,301387.4259,300155.7927,141347.7557,2881263.7916,2869489.3782
600673.SH,20250527,9.73,9.73,9.6,9.69,9.71,-0.02,-0.206,132285.19,127779.646,9.69,0.4407,0.9359,1.01,77.881,52.6901,3.207,2.394,2.2966,3.416,3.416,301387.4259,300155.7927,141347.7557,2920444.157,2908509.6313
600673.SH,20250526,9.72,9.84,9.62,9.71,9.73,-0.02,-0.2055,116736.38,113736.719,9.71,0.3889,0.8259,0.88,78.0417,52.7989,3.2136,2.3989,2.3014,3.409,3.409,301387.4259,300155.7927,141347.7557,2926471.9055,2914512.7471
600673.SH,20250523,9.91,9.94,9.73,9.73,9.94,-0.21,-2.1127,178308.57,175419.624,9.73,0.5941,1.2615,1.37,78.2025,52.9076,3.2202,2.4039,2.3061,3.402,3.402,301387.4259,300155.7927,141347.7557,2932499.654,2920515.863
600673.SH,20250522,9.93,10.06,9.86,9.94,9.93,0.01,0.1007,152114.0,151311.926,9.94,0.5068,1.0762,1.18,79.8903,54.0495,3.2897,2.4557,2.3559,3.3301,3.3301,301387.4259,300155.7927,141347.7557,2995791.0134,2983548.5794
600673.SH,20250521,9.98,10.01,9.85,9.93,9.95,-0.02,-0.201,101481.96,100433.348,9.93,0.3381,0.718,0.75,79.8099,53.9951,3.2864,2.4533,2.3535,3.3334,3.3334,301387.4259,300155.7927,141347.7557,2992777.1392,2980547.0215
600673.SH,20250520,9.97,10.0,9.88,9.95,9.95,0.0,0.0,105550.01,104887.492,9.95,0.3517,0.7467,0.74,79.9707,54.1039,3.293,2.4582,2.3582,3.3267,3.3267,301387.4259,300155.7927,141347.7557,2998804.8877,2986550.1374
600673.SH,20250519,10.0,10.03,9.83,9.95,10.03,-0.08,-0.7976,128430.31,127357.888,9.95,0.4279,0.9086,0.85,79.9707,54.1039,3.293,2.4582,2.3582,3.3267,3.3267,301387.4259,300155.7927,141347.7557,2998804.8877,2986550.1374
600673.SH,20250516,9.87,10.05,9.85,10.03,9.87,0.16,1.6211,164934.91,164299.71,10.03,0.5495,1.1669,1.11,80.6137,54.5389,3.3195,2.478,2.3772,3.3002,3.3002,301387.4259,300155.7927,141347.7557,3022915.8818,3010562.6008
600673.SH,20250515,10.1,10.1,9.83,9.87,10.1,-0.23,-2.2772,145939.83,144665.41,9.87,0.4862,1.0325,0.85,79.3277,53.6689,3.2665,2.4385,2.3393,3.3537,3.3537,301387.4259,300155.7927,141347.7557,2974693.8936,2962537.6739
600673.SH,20250514,10.04,10.14,9.99,10.1,10.01,0.09,0.8991,129761.7,130554.763,10.1,0.4323,0.918,0.62,81.1763,54.9195,3.3427,2.4953,2.3938,3.2773,3.2773,301387.4259,300155.7927,141347.7557,3044013.0016,3031573.5063
600673.SH,20250513,10.23,10.23,9.94,10.01,10.1,-0.09,-0.8911,142558.5,143232.86,10.01,0.4749,1.0086,0.52,80.4529,54.4301,3.3129,2.473,2.3725,3.3068,3.3068,301387.4259,300155.7927,141347.7557,3016888.1333,3004559.4849
600673.SH,20250512,10.15,10.21,10.06,10.1,10.09,0.01,0.0991,172020.07,174113.252,10.1,0.5731,1.217,0.62,81.1763,54.9195,3.3427,2.4953,2.3938,3.2773,3.2773,301387.4259,300155.7927,141347.7557,3044013.0016,3031573.5063
600673.SH,20250509,10.2,10.23,10.08,10.09,10.16,-0.07,-0.689,149358.28,151424.705,10.09,0.4976,1.0567,0.55,81.0959,54.8651,3.3394,2.4928,2.3914,3.2806,3.2806,301387.4259,300155.7927,141347.7557,3040999.1273,3028571.9483
600673.SH,20250508,10.03,10.25,9.99,10.16,10.06,0.1,0.994,260850.03,264666.589,10.16,0.869,1.8454,1.08,81.6585,55.2458,3.3625,2.5101,2.408,3.258,3.258,301387.4259,300155.7927,141347.7557,3062096.2471,3049582.8538
600673.SH,20250507,10.2,10.26,9.95,10.06,10.2,-0.14,-1.3725,314218.26,316700.02,10.06,1.0469,2.223,1.44,80.8548,54.702,3.3294,2.4854,2.3843,3.2904,3.2904,301387.4259,300155.7927,141347.7557,3031957.5046,3019567.2746
600673.SH,20250506,9.7,10.29,9.7,10.2,9.69,0.51,5.2632,478166.62,482814.976,10.2,1.5931,3.3829,3.02,81.98,55.4633,3.3758,2.52,2.4175,3.2452,3.2452,301387.4259,300155.7927,141347.7557,3074151.7442,3061589.0855
600673.SH,20250430,9.45,9.74,9.44,9.69,9.45,0.24,2.5397,195508.31,188485.673,9.69,0.6514,1.3832,1.22,77.881,52.6901,3.207,2.394,2.2966,3.416,3.416,301387.4259,300155.7927,141347.7557,2920444.157,2908509.6313
600673.SH,20250429,9.48,9.55,9.38,9.45,9.47,-0.02,-0.2112,104466.6,98882.146,9.45,0.348,0.7391,0.6,75.9521,51.3851,3.1275,2.3347,2.2397,3.5028,3.5028,301387.4259,300155.7927,141347.7557,2848111.1748,2836472.241
600673.SH,20250428,9.66,9.67,9.44,9.47,9.63,-0.16,-1.6615,118310.62,112535.414,9.47,0.3942,0.837,0.59,76.1128,51.4938,3.1342,2.3396,2.2445,3.4954,3.4954,301387.4259,300155.7927,141347.7557,2854138.9233,2842475.3569
600673.SH,20250425,9.55,9.8,9.47,9.63,9.57,0.06,0.627,196280.56,189492.524,9.63,0.6539,1.3687,1.06,77.3988,52.3639,3.1871,2.3792,2.2824,3.4373,3.4373,301387.4259,300155.7927,143411.6509,2902360.9114,2890500.2837
600673.SH,20250424,9.6,9.75,9.52,9.57,9.56,0.01,0.1046,177095.62,170412.154,9.57,0.59,1.2349,0.98,76.9165,76.9165,3.1555,2.3643,2.3643,3.4588,3.4588,301387.4259,300155.7927,143411.6509,2884277.6659,2872490.9361
600673.SH,20250423,9.43,9.6,9.43,9.56,9.39,0.17,1.8104,205902.14,196178.098,9.56,0.686,1.4357,0.89,76.8362,76.8362,3.1522,2.3619,2.3619,3.4625,3.4625,301387.4259,300155.7927,143411.6509,2881263.7916,2869489.3782
600673.SH,20250422,9.5,9.51,9.38,9.39,9.5,-0.11,-1.1579,177963.89,167865.405,9.39,0.5929,1.2409,0.72,75.4698,75.4698,3.0962,2.3199,2.3199,3.5251,3.5251,301387.4259,300155.7927,143411.6509,2830027.9292,2818462.8935
600673.SH,20250421,9.26,9.56,9.15,9.5,9.24,0.26,2.8139,246255.67,231612.317,9.5,0.8204,1.7171,0.89,76.3539,76.3539,3.1325,2.347,2.347,3.4843,3.4843,301387.4259,300155.7927,143411.6509,2863180.5461,2851480.0307
600673.SH,20250418,9.17,9.26,9.11,9.24,9.18,0.06,0.6536,115271.18,105934.768,9.24,0.384,0.8038,0.36,74.2642,74.2642,3.0467,2.2828,2.2828,3.5824,3.5824,301387.4259,300155.7927,143411.6509,2784819.8153,2773439.5245
600673.SH,20250417,9.09,9.29,9.08,9.18,9.15,0.03,0.3279,157979.01,145613.996,9.18,0.5263,1.1016,0.42,73.782,73.782,3.0269,2.268,2.268,3.6058,3.6058,301387.4259,300155.7927,143411.6509,2766736.5698,2755430.177
600673.SH,20250416,9.69,9.7,9.07,9.15,9.72,-0.57,-5.8642,459293.1,424743.083,9.15,1.5302,3.2026,1.23,73.5409,73.5409,3.0171,2.2606,2.2606,3.6176,3.6176,301387.4259,300155.7927,143411.6509,2757694.947,2746425.5032
600673.SH,20250415,9.7,9.92,9.64,9.72,9.65,0.07,0.7254,264796.44,258126.02,9.72,0.8822,1.8464,0.67,78.1221,78.1221,3.205,2.4014,2.4014,3.4055,3.4055,301387.4259,300155.7927,143411.6509,2929485.7797,2917514.305
600673.SH,20250414,9.65,9.85,9.53,9.65,9.43,0.22,2.333,391686.28,379062.998,9.65,1.3049,2.7312,1.02,77.5595,77.5595,3.1819,2.3841,2.3841,3.4302,3.4302,301387.4259,300155.7927,143411.6509,2908388.6599,2896503.3996
600673.SH,20250411,9.41,9.55,9.36,9.43,9.52,-0.09,-0.9454,326292.72,308804.634,9.43,1.0871,2.2752,0.9,75.7913,75.7913,3.1094,2.3297,2.3297,3.5102,3.5102,301387.4259,300155.7927,143411.6509,2842083.4262,2830469.1252
600673.SH,20250410,9.66,9.83,9.25,9.52,9.36,0.16,1.7094,459372.38,437472.183,9.52,1.5304,3.2032,1.54,76.5147,76.5147,3.1391,2.352,2.352,3.477,3.477,301387.4259,300155.7927,143411.6509,2869208.2946,2857483.1465
600673.SH,20250409,8.93,9.45,8.78,9.36,9.1,0.26,2.8571,423777.44,387220.92,9.36,1.4119,2.955,1.72,,117.6995,3.1049,2.5991,2.4267,3.5364,3.5364,301387.4259,300155.7927,143411.6509,2820986.3064,2809458.2197
600673.SH,20250408,8.78,9.12,8.73,9.1,8.84,0.26,2.9412,370717.43,330075.495,9.1,1.2351,2.585,1.73,,114.4301,3.0186,2.5269,2.3593,3.6375,3.6375,301387.4259,300155.7927,143411.6509,2742625.5757,2731417.7136
600673.SH,20250407,9.01,9.37,8.84,8.84,9.82,-0.98,-9.9796,331729.45,297751.281,8.84,1.1052,2.3131,1.52,,111.1607,2.9324,2.4547,2.2919,3.7445,3.7445,301387.4259,300155.7927,143411.6509,2664264.845,2653377.2075
600673.SH,20250403,9.97,10.1,9.78,9.82,10.07,-0.25,-2.4826,217467.85,215278.945,9.82,0.7245,1.5164,0.97,,123.4839,3.2575,2.7268,2.5459,3.3708,3.3708,301387.4259,300155.7927,143411.6509,2959624.5223,2947529.8843
600673.SH,20250402,9.94,10.14,9.9,10.07,9.95,0.12,1.206,143714.09,144424.145,10.07,0.4788,1.0021,0.58,,126.6276,3.3404,2.7963,2.6107,3.2871,3.2871,301387.4259,300155.7927,143411.6509,3034971.3788,3022568.8325
600673.SH,20250401,9.96,10.11,9.9,9.95,9.94,0.01,0.1006,167778.54,167294.538,9.95,0.559,1.1699,0.62,,125.1186,3.3006,2.7629,2.5796,3.3267,3.3267,301387.4259,300155.7927,143411.6509,2998804.8877,2986550.1374
600673.SH,20250331,10.08,10.1,9.84,9.94,10.08,-0.14,-1.3889,211238.48,210111.828,9.94,0.7038,1.473,0.76,,124.9929,3.2973,2.7602,2.577,3.3301,3.3301,301387.4259,300155.7927,143411.6509,2995791.0134,2983548.5794
600673.SH,20250328,9.86,10.27,9.86,10.08,9.86,0.22,2.2312,349137.39,353210.981,10.08,1.1632,2.4345,1.36,,126.7533,3.3437,2.799,2.6133,3.2838,3.2838,301387.4259,300155.7927,143411.6509,3037985.2531,3025570.3904
600673.SH,20250327,10.0,10.0,9.77,9.86,10.11,-0.25,-2.4728,244662.47,241743.107,9.86,0.8151,1.706,0.99,,123.9869,3.2708,2.7379,2.5563,3.3571,3.3571,301387.4259,300155.7927,143411.6509,2971680.0194,2959536.116
600673.SH,20250326,10.0,10.3,9.96,10.11,9.99,0.12,1.2012,265820.21,269097.233,10.11,0.8856,1.8535,1.07,,127.1306,3.3537,2.8074,2.6211,3.2741,3.2741,301387.4259,300155.7927,143411.6509,3047026.8758,3034575.0642
600673.SH,20250325,9.94,10.09,9.74,9.99,9.94,0.05,0.503,277326.97,275145.982,9.99,0.9239,1.9338,1.15,,125.6216,3.3139,2.774,2.59,3.3134,3.3134,301387.4259,300155.7927,143411.6509,3010860.3847,2998556.3691
600673.SH,20250324,9.99,10.08,9.8,9.94,9.99,-0.05,-0.5005,252637.54,251167.596,9.94,0.8417,1.7616,1.11,,124.9929,3.2973,2.7602,2.577,3.3301,3.3301,301387.4259,300155.7927,143411.6509,2995791.0134,2983548.5794
