,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,603556.SH,20250620,25.67,25.81,25.02,25.15,25.67,-0.52,-2.0257,48633.18,123164.952,25.15,1.0001,2.8647,1.59,12.2047,13.1613,1.6844,2.5926,2.6587,4.3738,,48626.417,48626.417,16976.5074,1222954.3876,1222954.3876
1,603556.SH,20250619,26.1,26.14,25.6,25.67,26.17,-0.5,-1.9106,35970.26,92795.553,25.67,0.7397,2.1188,1.29,12.457,13.4334,1.7192,2.6462,2.7136,4.2852,,48626.417,48626.417,16976.5074,1248240.1244,1248240.1244
2,603556.SH,20250618,25.99,26.48,25.98,26.17,25.95,0.22,0.8478,35528.4,93285.168,26.17,0.7306,2.0928,1.37,12.6997,13.6951,1.7527,2.6978,2.7665,4.2033,,48626.417,48626.417,16976.5074,1272553.3329,1272553.3329
3,603556.SH,20250617,25.99,26.23,25.88,25.95,25.94,0.01,0.0386,20254.0,52691.571,25.95,0.4165,1.1931,0.71,12.5929,13.58,1.738,2.6751,2.7432,4.2389,,48626.417,48626.417,16976.5074,1261855.5212,1261855.5212
4,603556.SH,20250616,26.11,26.11,25.88,25.94,26.12,-0.18,-0.6891,30340.0,78736.593,25.94,0.6239,1.7872,1.11,12.588,13.5747,1.7373,2.6741,2.7422,4.2406,,48626.417,48626.417,16976.5074,1261369.257,1261369.257
5,603556.SH,20250613,26.43,26.53,26.09,26.12,26.42,-0.3,-1.1355,30800.0,80818.391,26.12,0.6334,1.8143,1.27,12.6754,13.6689,1.7493,2.6926,2.7612,4.2113,4.2113,48626.417,48626.417,16976.5074,1270122.012,1270122.012
6,603556.SH,20250612,26.6,26.63,26.42,26.42,26.6,-0.18,-0.6767,22252.56,58941.068,26.42,0.4576,1.3108,0.89,12.821,13.8259,1.7694,2.7236,2.7929,4.1635,4.1635,48626.417,48626.417,16976.5074,1284709.9371,1284709.9371
7,603556.SH,20250611,26.47,26.75,26.37,26.6,26.42,0.18,0.6813,25707.56,68441.143,26.6,0.5287,1.5143,1.03,12.9083,13.9201,1.7815,2.7421,2.812,4.1353,4.1353,48626.417,48626.417,16976.5074,1293462.6922,1293462.6922
8,603556.SH,20250610,26.79,26.83,26.25,26.42,26.79,-0.37,-1.3811,34121.0,90404.739,26.42,0.7017,2.0099,1.33,12.821,13.8259,1.7694,2.7236,2.7929,4.1635,4.1635,48626.417,48626.417,16976.5074,1284709.9371,1284709.9371
9,603556.SH,20250609,26.55,26.8,26.54,26.79,26.56,0.23,0.866,23232.26,62026.034,26.79,0.4778,1.3685,0.81,13.0005,14.0196,1.7942,2.7617,2.832,4.106,4.106,48626.417,48626.417,16976.5074,1302701.7114,1302701.7114
10,603556.SH,20250606,26.56,26.66,26.46,26.56,26.65,-0.09,-0.3377,15886.0,42197.164,26.56,0.3267,0.9358,0.45,12.8889,13.8992,1.7788,2.738,2.8077,4.1416,4.1416,48626.417,48626.417,16976.5074,1291517.6355,1291517.6355
11,603556.SH,20250605,26.5,26.68,26.48,26.65,26.52,0.13,0.4902,25527.99,67840.634,26.65,0.525,1.5037,0.59,12.9326,13.9463,1.7848,2.7473,2.8172,4.1276,4.1276,48626.417,48626.417,16976.5074,1295894.0131,1295894.0131
12,603556.SH,20250604,26.5,26.73,26.47,26.52,26.41,0.11,0.4165,26579.0,70625.559,26.52,0.5466,1.5656,0.5,12.8695,13.8783,1.7761,2.7339,2.8035,4.1478,4.1478,48626.417,48626.417,16976.5074,1289572.5788,1289572.5788
13,603556.SH,20250603,26.85,26.88,26.33,26.41,26.97,-0.56,-2.0764,37164.57,98468.102,26.41,0.7643,2.1892,0.7,12.8161,13.8207,1.7688,2.7225,2.7919,4.1651,4.1651,48626.417,48626.417,16976.5074,1284223.673,1284223.673
14,603556.SH,20250530,27.31,27.32,26.86,26.97,27.29,-0.32,-1.1726,38557.3,104256.692,26.97,0.7929,2.2712,0.73,13.0879,14.1138,1.8063,2.7803,2.8511,4.0786,4.0786,48626.417,48626.417,16976.5074,1311454.4665,1311454.4665
15,603556.SH,20250529,27.02,27.3,26.98,27.29,26.98,0.31,1.149,49855.1,135424.442,27.29,1.0253,2.9367,1.01,13.2432,14.2812,1.8277,2.8132,2.8849,4.0308,4.0308,48626.417,48626.417,16976.5074,1327014.9199,1327014.9199
16,603556.SH,20250528,26.83,27.38,26.52,26.98,26.82,0.16,0.5966,62462.0,168340.212,26.98,1.2845,3.6793,1.42,13.0927,14.119,1.8069,2.7813,2.8521,4.0771,4.0771,48626.417,48626.417,16976.5074,1311940.7307,1311940.7307
17,603556.SH,20250527,26.13,27.18,26.07,26.82,25.98,0.84,3.2333,75896.31,202247.046,26.82,1.5608,4.4707,2.2,13.0151,14.0353,1.7962,2.7648,2.8352,4.1014,4.1014,48626.417,48626.417,16976.5074,1304160.5039,1304160.5039
18,603556.SH,20250526,26.26,26.3,25.89,25.98,26.25,-0.27,-1.0286,37498.65,97406.961,25.98,0.7712,2.2089,1.16,12.6074,13.5957,1.74,2.6782,2.7464,4.234,4.234,48626.417,48626.417,16976.5074,1263314.3137,1263314.3137
19,603556.SH,20250523,26.64,26.7,26.2,26.25,26.64,-0.39,-1.464,39362.0,104041.977,26.25,0.8095,2.3186,1.35,12.7385,13.737,1.7581,2.706,2.775,4.1905,4.1905,48626.417,48626.417,16976.5074,1276443.4463,1276443.4463
