股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
601166.SH,20250709,25.1,25.15,24.82,25.08,25.14,-0.06,-0.2387,546565.36,1367713.035,25.08,0.2583,0.3423,0.84,6.8747,6.9232,0.6883,2.5009,2.5255,4.0706,4.2265,2116283.6117,2116283.6117,1596673.6989,53076392.9814,53076392.9814
601166.SH,20250708,25.06,25.19,24.86,25.14,25.12,0.02,0.0796,526753.74,1321047.642,25.14,0.2489,0.3299,0.82,6.8912,6.9397,0.6899,2.5069,2.5316,4.0609,4.2164,2116283.6117,2116283.6117,1596673.6989,53203369.9981,53203369.9981
601166.SH,20250707,24.83,25.15,24.74,25.12,24.83,0.29,1.1679,611801.22,1527411.563,25.12,0.2891,0.3832,0.98,6.8857,6.9342,0.6894,2.5049,2.5296,4.0641,4.2197,2116283.6117,2116283.6117,1596673.6989,53161044.3259,53161044.3259
601166.SH,20250704,24.07,25.0,23.96,24.83,24.07,0.76,3.1575,1009389.89,2486887.997,24.83,0.477,0.6322,1.68,6.8062,6.8541,0.6814,2.476,2.5004,4.1116,4.269,2116283.6117,2116283.6117,1596673.6989,52547322.0785,52547322.0785
601166.SH,20250703,23.9,24.13,23.67,24.07,23.9,0.17,0.7113,494186.83,1183006.993,24.07,0.2335,0.3095,0.78,6.5979,6.6444,0.6606,2.4002,2.4238,4.2414,4.4038,2116283.6117,2116283.6117,1596673.6989,50938946.5336,50938946.5336
601166.SH,20250702,23.65,24.0,23.48,23.9,23.55,0.35,1.4862,598592.29,1425191.396,23.9,0.2829,0.3749,0.94,6.5513,6.5974,0.6559,2.3833,2.4067,4.2716,4.4351,2116283.2162,2116283.2162,1596673.3034,50579168.8672,50579168.8672
601166.SH,20250701,23.53,23.72,23.35,23.55,23.34,0.21,0.8997,486559.1,1147244.956,23.55,0.2299,0.3047,0.7,6.4553,6.5008,0.6463,2.3484,2.3715,4.3351,4.5011,2116283.2162,2116283.2162,1596673.3034,49838469.7415,49838469.7415
601166.SH,20250630,23.42,23.56,23.2,23.34,23.56,-0.22,-0.9338,533899.89,1245905.412,23.34,0.2523,0.3344,0.72,6.3978,6.4428,0.6405,2.3274,2.3503,4.3741,4.5416,2116283.2162,2116283.2162,1596673.3034,49394050.2661,49394050.2661
601166.SH,20250627,24.18,24.22,23.43,23.56,24.18,-0.62,-2.5641,890619.76,2118395.114,23.56,0.4208,0.5578,1.23,6.4581,6.5036,0.6466,2.3494,2.3725,4.3332,4.4992,2116283.2162,2116283.2162,1596673.3034,49859632.5737,49859632.5737
601166.SH,20250626,24.01,24.26,23.85,24.18,24.06,0.12,0.4988,657603.97,1583708.584,24.18,0.3107,0.4119,0.94,6.628,6.6747,0.6636,2.4112,2.4349,4.2221,4.3838,2116283.2162,2116283.2162,1596673.3034,51171728.1677,51171728.1677
