,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,600476.SH,20250620,week,17.34,18.88,16.6,16.79,17.47,17.34,18.88,16.6,16.79,35.6,38.76,34.08,34.47,919295.71,1633233.57,-0.68,-0.04
1,600476.SH,20250613,week,17.5,18.12,17.04,17.47,17.58,17.5,18.12,17.04,17.47,35.93,37.2,34.98,35.87,652820.01,1143391.18,-0.11,-0.01
2,600476.SH,20250606,week,19.81,20.95,17.42,17.58,19.81,19.81,20.95,17.42,17.58,40.67,43.01,35.76,36.09,1098369.49,2039084.42,-2.23,-0.11
3,600476.SH,20250530,week,16.65,22.45,16.65,19.81,16.6,16.65,22.45,16.65,19.81,34.18,46.09,34.18,40.67,1880189.8,3731246.3,3.21,0.19
4,600476.SH,20250523,week,16.23,18.98,16.2,16.6,16.17,16.23,18.98,16.2,16.6,33.32,38.97,33.26,34.08,815366.44,1411292.52,0.43,0.03
5,600476.SH,20250516,week,16.1,16.53,15.77,16.17,15.97,16.1,16.53,15.77,16.17,33.05,33.94,32.38,33.2,239408.0,387158.83,0.2,0.01
6,600476.SH,20250509,week,15.5,16.32,15.5,15.97,15.39,15.5,16.32,15.5,15.97,31.82,33.5,31.82,32.79,195134.62,311598.34,0.58,0.04
7,600476.SH,20250502,week,14.79,15.59,14.48,15.39,14.94,14.79,15.59,14.48,15.39,30.36,32.01,29.73,31.6,163431.1,247816.18,0.45,0.03
8,600476.SH,20250425,week,14.54,15.75,14.35,14.94,14.54,14.54,15.75,14.35,14.94,29.85,32.33,29.46,30.67,235362.31,352714.34,0.4,0.03
9,600476.SH,20250418,week,14.56,14.84,14.16,14.54,14.45,14.56,14.84,14.16,14.54,29.89,30.47,29.07,29.85,160474.44,233570.82,0.09,0.01
10,600476.SH,20250411,week,14.05,14.67,12.6,14.45,15.55,14.05,14.67,12.6,14.45,28.84,30.12,25.87,29.67,280638.01,392108.11,-1.1,-0.07
11,600476.SH,20250404,week,15.38,15.89,15.05,15.55,15.5,15.38,15.89,15.05,15.55,31.58,32.62,30.9,31.92,114186.02,177498.18,0.05,0.0
12,600476.SH,20250328,week,16.38,16.5,15.47,15.5,16.51,16.38,16.5,15.47,15.5,33.63,33.87,31.76,31.82,199817.92,317191.08,-1.01,-0.06
13,600476.SH,20250321,week,17.4,17.46,16.5,16.51,17.37,17.4,17.46,16.5,16.51,35.72,35.85,33.87,33.9,301767.4,514361.94,-0.86,-0.05
14,600476.SH,20250314,week,17.75,19.37,17.16,17.37,17.86,17.75,19.37,17.16,17.37,36.44,39.77,35.23,35.66,678294.71,1223630.29,-0.49,-0.03
15,600476.SH,20250307,week,16.92,18.26,16.6,17.86,16.85,16.92,18.26,16.6,17.86,34.74,37.49,34.08,36.67,404367.53,701211.81,1.01,0.06
16,600476.SH,20250228,week,18.13,19.23,16.84,16.85,18.13,18.13,19.23,16.84,16.85,37.22,39.48,34.57,34.59,814083.5,1472630.85,-1.28,-0.07
17,600476.SH,20250221,week,16.81,18.28,16.81,18.13,16.95,16.81,18.28,16.81,18.13,34.51,37.53,34.51,37.22,819899.94,1433099.6,1.18,0.07
18,600476.SH,20250214,week,15.7,17.41,15.61,16.95,15.6,15.7,17.41,15.61,16.95,32.23,35.74,32.05,34.8,616095.01,1030155.13,1.35,0.09
19,600476.SH,20250207,week,14.78,15.88,14.78,15.6,14.6,14.78,15.88,14.78,15.6,30.34,32.6,30.34,32.03,183397.0,280495.34,1.0,0.07
20,600476.SH,20250131,week,14.9,15.06,14.6,14.6,14.78,14.9,15.06,14.6,14.6,30.59,30.92,29.97,29.97,39131.0,57873.66,-0.18,-0.01
21,600476.SH,20250124,week,14.55,15.2,14.23,14.78,14.42,14.55,15.2,14.23,14.78,29.87,31.21,29.21,30.34,208600.0,305205.45,0.36,0.02
22,600476.SH,20250117,week,13.53,14.8,13.13,14.42,13.56,13.53,14.8,13.13,14.42,27.78,30.38,26.96,29.6,237879.01,341351.65,0.86,0.06
