,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,002256.SZ,20250620,week,2.29,2.4,2.25,2.25,2.31,2.29,2.4,2.25,2.25,34.87,36.54,34.26,34.26,1569866.04,363989.35,-0.06,-0.03
1,002256.SZ,20250613,week,2.38,2.42,2.3,2.31,2.39,2.38,2.42,2.3,2.31,36.24,36.85,35.02,35.17,2282293.04,540877.16,-0.08,-0.03
2,002256.SZ,20250606,week,2.47,2.52,2.37,2.39,2.49,2.47,2.52,2.37,2.39,37.61,38.37,36.09,36.39,2038081.59,494336.0,-0.1,-0.04
3,002256.SZ,20250530,week,2.38,2.62,2.37,2.49,2.4,2.38,2.62,2.37,2.49,36.24,39.89,36.09,37.91,4312490.1,1072511.09,0.09,0.04
4,002256.SZ,20250523,week,2.23,2.49,2.21,2.4,2.23,2.23,2.49,2.21,2.4,33.95,37.91,33.65,36.54,3418580.11,808740.15,0.17,0.08
5,002256.SZ,20250516,week,2.25,2.32,2.22,2.23,2.24,2.25,2.32,2.22,2.23,34.26,35.32,33.8,33.95,953367.08,214784.76,-0.01,0.0
6,002256.SZ,20250509,week,2.17,2.3,2.16,2.24,2.16,2.17,2.3,2.16,2.24,33.04,35.02,32.89,34.11,1248419.54,280320.48,0.08,0.04
7,002256.SZ,20250502,week,2.21,2.22,2.13,2.16,2.21,2.21,2.22,2.13,2.16,33.65,33.8,32.43,32.89,696351.0,150591.36,-0.05,-0.02
8,002256.SZ,20250425,week,2.1,2.22,2.1,2.21,2.15,2.1,2.22,2.1,2.21,31.97,33.8,31.97,33.65,1188340.58,257305.73,0.06,0.03
9,002256.SZ,20250418,week,2.14,2.26,2.05,2.15,2.13,2.14,2.26,2.05,2.15,32.58,34.41,31.21,32.74,1222340.12,261726.6,0.02,0.01
10,002256.SZ,20250411,week,2.22,2.22,1.83,2.13,2.32,2.22,2.22,1.83,2.13,33.8,33.8,27.86,32.43,1693843.37,349014.31,-0.19,-0.08
11,002256.SZ,20250404,week,2.27,2.35,2.26,2.32,2.29,2.27,2.35,2.26,2.32,34.56,35.78,34.41,35.32,776098.65,180099.46,0.03,0.01
12,002256.SZ,20250328,week,2.46,2.57,2.29,2.29,2.46,2.46,2.57,2.29,2.29,37.46,39.13,34.87,34.87,2608148.3,630582.14,-0.17,-0.07
13,002256.SZ,20250321,week,2.51,2.55,2.4,2.46,2.51,2.51,2.55,2.4,2.46,38.22,38.83,36.54,37.46,2215990.7,548035.99,-0.05,-0.02
14,002256.SZ,20250314,week,2.29,2.53,2.25,2.51,2.3,2.29,2.53,2.25,2.51,34.87,38.52,34.26,38.22,2876417.36,696439.7,0.21,0.09
15,002256.SZ,20250307,week,2.31,2.36,2.26,2.3,2.32,2.31,2.36,2.26,2.3,35.17,35.93,34.41,35.02,1482855.21,343427.54,-0.02,-0.01
16,002256.SZ,20250228,week,2.46,2.49,2.32,2.32,2.5,2.46,2.49,2.32,2.32,37.46,37.91,35.32,35.32,2623260.29,634665.24,-0.18,-0.07
17,002256.SZ,20250221,week,2.42,2.64,2.37,2.5,2.43,2.42,2.64,2.37,2.5,36.85,40.2,36.09,38.07,3001473.48,744229.81,0.07,0.03
18,002256.SZ,20250214,week,2.5,2.55,2.41,2.43,2.5,2.5,2.55,2.41,2.43,38.07,38.83,36.69,37.0,2011504.6,500654.05,-0.07,-0.03
19,002256.SZ,20250207,week,2.42,2.56,2.42,2.5,2.42,2.42,2.56,2.42,2.5,36.85,38.98,36.85,38.07,2489614.0,616474.44,0.08,0.03
20,002256.SZ,20250131,week,2.23,2.42,2.23,2.42,2.2,2.23,2.42,2.23,2.42,33.95,36.85,33.95,36.85,1205477.0,284621.1,0.22,0.1
21,002256.SZ,20250124,week,2.34,2.36,2.18,2.2,2.32,2.34,2.36,2.18,2.2,35.63,35.93,33.19,33.5,1326709.04,299640.57,-0.12,-0.05
22,002256.SZ,20250117,week,2.18,2.37,2.16,2.32,2.22,2.18,2.37,2.16,2.32,33.19,36.09,32.89,35.32,1805952.0,413711.34,0.1,0.05
23,002256.SZ,20250110,week,2.28,2.34,2.15,2.22,2.28,2.28,2.34,2.15,2.22,34.72,35.63,32.74,33.8,2430367.21,546926.45,-0.06,-0.03
24,002256.SZ,20250103,week,2.63,2.64,2.27,2.28,2.71,2.63,2.64,2.27,2.28,40.04,40.2,34.56,34.72,2330127.3,575889.06,-0.43,-0.16
25,002256.SZ,20241227,week,2.97,2.98,2.65,2.71,2.98,2.97,2.98,2.65,2.71,45.22,45.37,40.35,41.26,4035560.34,1112909.96,-0.27,-0.09
26,002256.SZ,20241220,week,2.97,3.3,2.77,2.98,3.05,2.97,3.3,2.77,2.98,45.22,50.25,42.18,45.37,8374556.73,2544979.37,-0.07,-0.02
27,002256.SZ,20241213,week,2.96,3.25,2.81,3.05,2.93,2.96,3.25,2.81,3.05,45.07,49.48,42.79,46.44,7807249.54,2328400.75,0.12,0.04
28,002256.SZ,20241206,week,2.68,2.95,2.66,2.93,2.67,2.68,2.95,2.66,2.93,40.81,44.92,40.5,44.61,5527965.39,1552739.64,0.26,0.1
29,002256.SZ,20241129,week,2.68,2.74,2.41,2.67,2.74,2.68,2.74,2.41,2.67,40.81,41.72,36.69,40.65,4676006.03,1203838.2,-0.07,-0.03
30,002256.SZ,20241122,week,2.54,2.85,2.41,2.74,2.54,2.54,2.85,2.41,2.74,38.67,43.39,36.69,41.72,4597486.65,1208581.41,0.2,0.08
31,002256.SZ,20241115,week,2.68,3.11,2.54,2.54,2.68,2.68,3.11,2.54,2.54,40.81,47.35,38.67,38.67,6609966.3,1872015.45,-0.14,-0.05
32,002256.SZ,20241108,week,2.43,2.77,2.37,2.68,2.47,2.43,2.77,2.37,2.68,37.0,42.18,36.09,40.81,5102064.69,1323201.3,0.21,0.09
33,002256.SZ,20241101,week,2.46,2.74,2.38,2.47,2.45,2.46,2.74,2.38,2.47,37.46,41.72,36.24,37.61,6677806.39,1704672.88,0.02,0.01
34,002256.SZ,20241025,week,2.43,2.63,2.38,2.45,2.45,2.43,2.63,2.38,2.45,37.0,40.04,36.24,37.3,6300624.45,1569429.91,0.0,0.0
35,002256.SZ,20241018,week,2.59,2.74,2.3,2.45,2.38,2.59,2.74,2.3,2.45,39.44,41.72,35.02,37.3,11556701.05,2896522.67,0.07,0.03
36,002256.SZ,20241011,week,2.27,2.38,1.94,2.38,2.07,2.27,2.38,1.94,2.38,34.56,36.24,29.54,36.24,6499092.69,1427977.19,0.31,0.15
37,002256.SZ,20241004,week,1.96,2.09,1.92,2.07,1.91,1.96,2.09,1.92,2.07,29.84,31.82,29.23,31.52,1410023.97,283731.46,0.16,0.08
38,002256.SZ,20240927,week,1.67,1.94,1.63,1.91,1.66,1.67,1.94,1.63,1.91,25.43,29.54,24.82,29.08,2709217.28,488041.9,0.25,0.15
39,002256.SZ,20240920,week,1.67,1.7,1.59,1.66,1.67,1.67,1.7,1.59,1.66,25.43,25.88,24.21,25.28,757269.0,124520.78,-0.01,-0.01
