,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,603519.SH,20250620,week,12.08,12.38,11.89,11.94,12.08,12.08,12.38,11.89,11.94,61.64,63.17,60.67,60.92,114508.56,139342.57,-0.14,-0.01
1,603519.SH,20250613,week,13.9,14.18,12.06,12.08,13.8,12.91,13.17,12.06,12.08,65.87,67.2,61.54,61.64,233831.48,314342.69,-1.72,-0.12
2,603519.SH,20250606,week,13.22,13.95,13.14,13.8,13.24,12.28,12.96,12.2,12.82,62.65,66.11,62.27,65.4,107249.96,145584.52,0.56,0.04
3,603519.SH,20250530,week,13.2,13.43,13.11,13.24,13.2,12.26,12.47,12.18,12.3,62.55,63.64,62.13,62.74,87519.72,116274.25,0.04,0.0
4,603519.SH,20250523,week,13.28,14.13,13.16,13.2,13.17,12.33,13.12,12.22,12.26,62.93,66.96,62.36,62.55,189958.16,255885.8,0.03,0.0
5,603519.SH,20250516,week,12.92,13.35,12.82,13.17,12.84,12.0,12.4,11.91,12.23,61.23,63.26,60.75,62.41,149368.04,195080.65,0.33,0.03
6,603519.SH,20250509,week,12.28,12.9,12.28,12.84,12.29,11.4,11.98,11.4,11.92,58.19,61.13,58.19,60.85,110508.6,139769.5,0.55,0.04
7,603519.SH,20250502,week,12.3,12.39,12.02,12.29,12.34,11.42,11.51,11.16,11.41,58.29,58.71,56.96,58.24,63520.0,78003.19,-0.05,0.0
8,603519.SH,20250425,week,11.4,12.57,11.33,12.34,11.6,10.59,11.67,10.52,11.46,54.02,59.57,53.69,58.48,221347.48,268120.09,0.74,0.06
9,603519.SH,20250418,week,11.39,12.34,11.0,11.6,11.11,10.58,11.46,10.22,10.77,53.97,58.48,52.13,54.97,166354.99,194029.58,0.49,0.04
10,603519.SH,20250411,week,11.78,11.8,9.81,11.11,12.28,10.94,10.96,9.11,10.32,55.82,55.92,46.49,52.65,171570.98,185316.42,-1.17,-0.1
11,603519.SH,20250404,week,12.29,12.47,11.94,12.28,12.3,11.41,11.58,11.09,11.4,58.24,59.09,56.58,58.19,80263.85,98133.93,-0.02,0.0
