,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,603505.SH,20250620,week,22.02,22.12,20.92,21.08,22.01,22.02,22.12,20.92,21.08,59.46,59.73,56.49,56.92,174302.08,374409.62,-0.93,-0.04
1,603505.SH,20250613,week,22.0,22.42,21.69,22.01,22.1,22.0,22.42,21.69,22.01,59.41,60.54,58.57,59.43,145964.48,322855.82,-0.09,0.0
2,603505.SH,20250606,week,21.42,22.48,21.29,22.1,21.43,21.42,22.48,21.29,22.1,57.84,60.7,57.49,59.68,133258.41,290763.96,0.67,0.03
3,603505.SH,20250530,week,22.12,22.12,21.33,21.43,22.15,22.12,22.12,21.33,21.43,59.73,59.73,57.6,57.87,170495.83,370198.99,-0.72,-0.03
4,603505.SH,20250523,week,23.3,23.8,22.05,22.15,23.12,23.3,23.8,22.05,22.15,62.92,64.27,59.54,59.81,233026.33,530197.89,-0.97,-0.04
5,603505.SH,20250516,week,23.17,23.55,22.89,23.12,23.09,23.17,23.55,22.89,23.12,62.57,63.59,61.81,62.43,193100.07,448003.66,0.03,0.0
6,603505.SH,20250509,week,22.98,23.95,22.71,23.09,22.83,22.98,23.95,22.71,23.09,62.05,64.67,61.32,62.35,164153.18,384279.64,0.26,0.01
7,603505.SH,20250502,week,22.89,23.04,22.4,22.83,22.72,22.89,23.04,22.4,22.83,61.81,62.21,60.49,61.65,69851.62,158540.41,0.11,0.0
8,603505.SH,20250425,week,22.49,23.33,22.4,22.72,22.5,22.49,23.33,22.4,22.72,60.73,63.0,60.49,61.35,156047.32,355023.02,0.22,0.01
9,603505.SH,20250418,week,23.07,23.48,22.03,22.5,22.95,23.07,23.48,22.03,22.5,62.3,63.4,59.49,60.76,146570.42,332281.58,-0.45,-0.02
10,603505.SH,20250411,week,23.45,23.68,21.25,22.95,24.4,23.45,23.68,21.25,22.95,63.32,63.94,57.38,61.97,264014.21,592941.03,-1.45,-0.06
11,603505.SH,20250404,week,25.05,25.19,24.16,24.4,25.26,25.05,25.19,24.16,24.4,67.64,68.02,65.24,65.89,116549.58,286753.55,-0.86,-0.03
12,603505.SH,20250328,week,24.3,25.53,24.2,25.26,24.33,24.3,25.53,24.2,25.26,65.62,68.94,65.35,68.21,271280.73,681068.65,0.93,0.04
13,603505.SH,20250321,week,25.35,25.38,24.18,24.33,25.32,25.35,25.38,24.18,24.33,68.45,68.53,65.29,65.7,174245.85,432104.99,-0.99,-0.04
14,603505.SH,20250314,week,25.25,26.3,25.11,25.32,25.15,25.25,26.3,25.11,25.32,68.18,71.02,67.8,68.37,292487.61,750556.54,0.17,0.01
15,603505.SH,20250307,week,24.81,25.55,24.5,25.15,24.9,24.81,25.55,24.5,25.15,66.99,68.99,66.16,67.91,258242.16,647017.86,0.25,0.01
16,603505.SH,20250228,week,23.75,25.32,23.32,24.9,23.7,23.75,25.32,23.32,24.9,64.13,68.37,62.97,67.24,267003.76,653804.16,1.2,0.05
17,603505.SH,20250221,week,24.15,24.5,23.57,23.7,24.16,24.15,24.5,23.57,23.7,65.21,66.16,63.65,64.0,239892.45,575162.64,-0.46,-0.02
18,603505.SH,20250214,week,25.02,25.11,23.9,24.16,24.97,25.02,25.11,23.9,24.16,67.56,67.8,64.54,65.24,227377.4,550705.68,-0.81,-0.03
19,603505.SH,20250207,week,25.58,25.77,24.52,24.97,25.33,25.58,25.77,24.52,24.97,69.07,69.59,66.21,67.43,156860.61,394986.01,-0.36,-0.01
20,603505.SH,20250131,week,25.6,25.77,25.31,25.33,25.52,25.6,25.77,25.31,25.33,69.13,69.59,68.34,68.4,20938.81,53447.57,-0.19,-0.01
