,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,603181.SH,20250620,week,11.9,12.01,11.62,11.65,11.95,11.9,12.01,11.62,11.65,37.92,38.27,37.03,37.13,230346.79,271462.59,-0.3,-0.03
1,603181.SH,20250613,week,12.72,12.85,11.9,11.95,12.74,12.51,12.64,11.9,11.95,39.86,40.27,37.92,38.08,279674.92,346515.58,-0.79,-0.06
2,603181.SH,20250606,week,12.43,13.0,12.43,12.74,12.51,12.22,12.78,12.22,12.53,38.96,40.74,38.96,39.93,250387.65,320253.5,0.23,0.02
3,603181.SH,20250530,week,12.45,13.1,12.27,12.51,12.45,12.24,12.88,12.07,12.3,39.02,41.06,38.45,39.21,433470.18,548827.57,0.06,0.0
4,603181.SH,20250523,week,12.37,13.35,12.25,12.45,12.38,12.16,13.13,12.05,12.24,38.77,41.84,38.39,39.02,423677.23,538957.65,0.07,0.01
5,603181.SH,20250516,week,12.26,12.84,12.05,12.38,12.18,12.06,12.63,11.85,12.17,38.42,40.24,37.76,38.8,452118.77,565495.92,0.2,0.02
6,603181.SH,20250509,week,12.09,12.44,11.95,12.18,12.07,11.89,12.23,11.75,11.98,37.89,38.99,37.45,38.17,344337.22,420572.23,0.11,0.01
7,603181.SH,20250502,week,12.13,12.25,11.9,12.07,12.12,11.93,12.05,11.7,11.87,38.02,38.39,37.29,37.83,175424.3,211727.92,-0.05,0.0
8,603181.SH,20250425,week,11.79,12.32,11.79,12.12,11.79,11.59,12.12,11.59,11.92,36.95,38.61,36.95,37.98,241871.24,291418.56,0.33,0.03
9,603181.SH,20250418,week,11.6,12.13,11.44,11.79,11.47,11.41,11.93,11.25,11.59,36.35,38.02,35.85,36.95,296870.49,349158.21,0.32,0.03
10,603181.SH,20250411,week,11.35,11.76,9.82,11.47,12.18,11.16,11.56,9.66,11.28,35.57,36.86,30.78,35.95,479710.31,529482.57,-0.71,-0.06
11,603181.SH,20250404,week,13.12,13.46,12.09,12.18,13.2,12.9,13.24,11.89,11.98,41.12,42.18,37.89,38.17,490645.5,624660.34,-1.02,-0.08
12,603181.SH,20250328,week,12.65,14.52,11.91,13.2,12.58,12.44,14.28,11.71,12.98,39.65,45.51,37.33,41.37,973551.95,1275068.37,0.62,0.05
13,603181.SH,20250321,week,11.82,12.72,11.8,12.58,11.82,11.62,12.51,11.6,12.37,37.04,39.86,36.98,39.43,379090.88,466089.79,0.76,0.06
14,603181.SH,20250314,week,12.07,12.12,11.56,11.82,12.04,11.87,11.92,11.37,11.62,37.83,37.98,36.23,37.04,233843.86,277511.24,-0.22,-0.02
15,603181.SH,20250307,week,11.65,12.23,11.52,12.04,11.46,11.46,12.03,11.33,11.84,36.51,38.33,36.1,37.73,525566.21,625923.34,0.58,0.05
16,603181.SH,20250228,week,11.13,11.52,10.77,11.46,11.15,10.95,11.33,10.59,11.27,34.88,36.1,33.75,35.92,229712.44,255273.33,0.31,0.03
17,603181.SH,20250221,week,10.91,11.27,10.74,11.15,10.9,10.73,11.08,10.56,10.96,34.19,35.32,33.66,34.94,150502.95,165800.92,0.25,0.02
18,603181.SH,20250214,week,11.12,11.16,10.88,10.9,11.12,10.94,10.97,10.7,10.72,34.85,34.98,34.1,34.16,101364.43,111882.98,-0.22,-0.02
19,603181.SH,20250207,week,11.23,11.23,10.91,11.12,11.12,11.04,11.04,10.73,10.94,35.19,35.19,34.19,34.85,107974.15,120094.62,0.0,0.0
20,603181.SH,20250131,week,10.95,11.2,10.94,11.12,10.96,10.77,11.01,10.76,10.94,34.32,35.1,34.29,34.85,22472.0,24982.31,0.16,0.01
21,603181.SH,20250124,week,10.8,11.5,10.7,10.96,10.73,10.62,11.31,10.52,10.78,33.85,36.04,33.53,34.35,172885.29,190200.72,0.23,0.02
22,603181.SH,20250117,week,10.59,10.74,10.34,10.73,10.57,10.41,10.56,10.17,10.55,33.19,33.66,32.41,33.63,104304.94,110278.5,0.16,0.02
23,603181.SH,20250110,week,11.05,11.28,10.55,10.57,11.09,10.87,11.09,10.37,10.39,34.63,35.35,33.06,33.13,108834.89,118341.47,-0.52,-0.05
24,603181.SH,20250103,week,11.91,11.99,11.05,11.09,11.9,11.71,11.79,10.87,10.91,37.33,37.58,34.63,34.76,75819.37,87242.55,-0.81,-0.07
25,603181.SH,20241227,week,12.04,12.38,11.81,11.9,12.0,11.84,12.17,11.61,11.7,37.73,38.8,37.01,37.29,168835.68,205077.01,-0.1,-0.01
26,603181.SH,20241220,week,12.1,12.21,11.58,12.0,12.1,11.9,12.01,11.39,11.8,37.92,38.27,36.29,37.61,93346.02,111245.0,-0.1,-0.01
27,603181.SH,20241213,week,12.66,13.18,12.01,12.1,12.71,12.45,12.96,11.81,11.9,39.68,41.31,37.64,37.92,250567.6,313446.45,-0.61,-0.05
28,603181.SH,20241206,week,12.7,12.9,11.83,12.71,12.29,12.49,12.69,11.63,12.5,39.8,40.43,37.08,39.83,598919.86,738979.13,0.42,0.03
29,603181.SH,20241129,week,10.54,12.29,10.42,12.29,10.41,10.37,12.09,10.25,12.09,33.03,38.52,32.66,38.52,254239.56,294112.11,1.88,0.18
30,603181.SH,20241122,week,10.78,10.94,10.28,10.41,10.73,10.6,10.76,10.11,10.24,33.78,34.29,32.22,32.62,84060.96,90154.99,-0.32,-0.03
31,603181.SH,20241115,week,11.24,11.62,10.69,10.73,11.15,11.05,11.43,10.51,10.55,35.23,36.42,33.5,33.63,111732.91,125654.29,-0.42,-0.04
32,603181.SH,20241108,week,10.95,11.52,10.9,11.15,11.01,10.77,11.33,10.72,10.96,34.32,36.1,34.16,34.94,170939.77,191091.76,0.14,0.01
33,603181.SH,20241101,week,10.8,11.67,10.62,11.01,10.81,10.62,11.48,10.44,10.83,33.85,36.57,33.28,34.51,309365.07,345890.57,0.2,0.02
34,603181.SH,20241025,week,10.78,10.95,10.58,10.81,10.73,10.6,10.77,10.4,10.63,33.78,34.32,33.16,33.88,130163.76,139901.34,0.08,0.01
35,603181.SH,20241018,week,10.18,10.84,10.0,10.73,9.97,10.01,10.66,9.83,10.55,31.9,33.97,31.34,33.63,242644.54,253628.2,0.76,0.08
36,603181.SH,20241011,week,11.67,11.67,9.85,9.97,10.62,11.48,11.48,9.69,9.8,36.57,36.57,30.87,31.25,269120.74,284325.35,-0.65,-0.06
37,603181.SH,20241004,week,10.45,10.62,10.05,10.62,9.82,10.28,10.44,9.88,10.44,32.75,33.28,31.5,33.28,77910.95,80941.0,0.8,0.08
38,603181.SH,20240927,week,8.52,9.86,8.45,9.82,8.45,8.38,9.7,8.31,9.66,26.7,30.9,26.48,30.78,177101.81,160116.41,1.37,0.16
39,603181.SH,20240920,week,8.18,8.53,8.04,8.45,8.21,8.04,8.39,7.91,8.31,25.64,26.73,25.2,26.48,72244.31,60212.04,0.24,0.03
40,603181.SH,20240913,week,8.85,8.86,8.17,8.21,8.85,8.7,8.71,8.03,8.07,27.74,27.77,25.6,25.73,150034.46,126658.77,-0.64,-0.07
41,603181.SH,20240906,week,8.83,9.2,8.69,8.85,8.82,8.68,9.05,8.55,8.7,27.67,28.83,27.23,27.74,153858.23,138298.9,0.03,0.0
42,603181.SH,20240830,week,8.56,8.92,8.35,8.82,8.47,8.42,8.77,8.21,8.67,26.83,27.96,26.17,27.64,207393.39,179134.12,0.35,0.04
43,603181.SH,20240823,week,8.22,9.09,8.02,8.47,8.21,8.08,8.94,7.89,8.33,25.76,28.49,25.13,26.54,223366.78,193164.82,0.26,0.03
44,603181.SH,20240816,week,8.37,8.52,8.16,8.21,8.4,8.23,8.38,8.02,8.07,26.23,26.7,25.57,25.73,53815.01,45024.94,-0.19,-0.02
45,603181.SH,20240809,week,8.39,8.52,8.22,8.4,8.39,8.25,8.38,8.08,8.26,26.29,26.7,25.76,26.33,61576.47,51498.37,0.01,0.0
46,603181.SH,20240802,week,8.36,8.68,8.1,8.39,8.28,8.22,8.54,7.97,8.25,26.2,27.2,25.39,26.29,91601.14,76565.37,0.11,0.01
47,603181.SH,20240726,week,8.81,8.82,8.08,8.28,8.81,8.66,8.67,7.95,8.14,27.61,27.64,25.32,25.95,102259.22,85721.55,-0.53,-0.06
48,603181.SH,20240719,week,9.1,9.12,8.52,8.81,9.1,8.95,8.97,8.38,8.66,28.52,28.58,26.7,27.61,87910.58,76772.63,-0.29,-0.03
49,603181.SH,20240712,week,8.93,9.13,8.62,9.1,9.01,8.78,8.98,8.48,8.95,27.99,28.61,27.02,28.52,71585.43,64014.67,0.09,0.01
50,603181.SH,20240705,week,8.99,9.39,8.82,9.01,8.99,8.84,9.23,8.67,8.86,28.17,29.43,27.64,28.24,71073.17,65168.55,0.02,0.0
51,603181.SH,20240628,week,9.01,9.3,8.95,8.99,9.35,8.86,9.15,8.8,8.84,28.24,29.15,28.05,28.17,89198.6,81245.76,-0.36,-0.04
52,603181.SH,20240621,week,9.72,9.72,9.19,9.35,9.7,9.56,9.56,9.04,9.19,30.46,30.46,28.8,29.3,86738.8,82308.32,-0.35,-0.04
53,603181.SH,20240614,week,9.8,10.3,9.66,9.7,9.9,9.5,9.99,9.46,9.54,30.28,31.83,30.16,30.4,72562.63,72367.39,-0.2,-0.02
54,603181.SH,20240607,week,10.44,10.44,9.56,9.9,10.39,10.12,10.12,9.27,9.6,32.26,32.26,29.54,30.59,115114.63,114976.98,-0.49,-0.05
55,603181.SH,20240531,week,10.57,10.75,10.32,10.39,10.62,10.25,10.42,10.01,10.07,32.66,33.22,31.89,32.11,81768.67,86182.41,-0.23,-0.02
56,603181.SH,20240524,week,10.88,11.12,10.58,10.62,10.85,10.55,10.78,10.26,10.3,33.62,34.36,32.69,32.82,88179.74,96013.99,-0.23,-0.02
57,603181.SH,20240517,week,10.95,11.24,10.73,10.85,10.98,10.62,10.9,10.4,10.52,33.84,34.73,33.16,33.53,120452.7,132276.48,-0.13,-0.01
58,603181.SH,20240510,week,10.89,11.44,10.74,10.98,10.83,10.56,11.09,10.41,10.65,33.65,35.35,33.19,33.93,196191.97,218908.86,0.15,0.01
59,603181.SH,20240503,week,10.3,10.95,10.13,10.83,10.31,9.99,10.62,9.82,10.5,31.83,33.84,31.3,33.46,81558.51,87187.76,0.52,0.05
60,603181.SH,20240426,week,9.74,10.34,9.65,10.31,9.74,9.44,10.03,9.36,10.0,30.1,31.95,29.82,31.86,85629.44,85697.08,0.57,0.06
61,603181.SH,20240419,week,10.32,10.32,9.31,9.74,10.1,10.01,10.01,9.03,9.44,31.89,31.89,28.77,30.1,97071.61,94793.46,-0.36,-0.04
62,603181.SH,20240412,week,10.19,10.43,10.0,10.1,10.2,9.88,10.11,9.7,9.79,31.49,32.23,30.9,31.21,85130.34,86812.05,-0.1,-0.01
63,603181.SH,20240405,week,9.7,10.21,9.56,10.2,9.53,9.41,9.9,9.27,9.89,29.97,31.55,29.54,31.52,69072.98,69010.75,0.67,0.07
64,603181.SH,20240329,week,9.84,9.84,9.37,9.53,9.85,9.54,9.54,9.09,9.24,30.41,30.41,28.95,29.45,58126.59,55718.06,-0.32,-0.03
