股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600313.SH,20250704,week,6.26,6.34,6.23,6.32,6.26,6.26,6.34,6.23,6.32,26.27,26.61,26.15,26.53,426219.01,268001.67,0.06,0.01
600313.SH,20250627,week,6.14,6.28,6.12,6.26,6.14,6.14,6.28,6.12,6.26,25.77,26.36,25.69,26.27,594166.82,370405.53,0.12,0.02
600313.SH,20250620,week,6.27,6.34,6.13,6.14,6.27,6.27,6.34,6.13,6.14,26.32,26.61,25.73,25.77,664739.55,415476.05,-0.13,-0.02
600313.SH,20250613,week,6.27,6.54,6.22,6.27,6.29,6.27,6.54,6.22,6.27,26.32,27.45,26.11,26.32,1245731.37,791453.47,-0.02,0.0
600313.SH,20250606,week,6.21,6.34,6.2,6.29,6.25,6.21,6.34,6.2,6.29,26.06,26.61,26.02,26.4,494378.5,310404.98,0.04,0.01
600313.SH,20250530,week,6.19,6.34,6.17,6.25,6.21,6.19,6.34,6.17,6.25,25.98,26.61,25.9,26.23,630151.39,394592.34,0.04,0.01
600313.SH,20250523,week,6.34,6.45,6.2,6.21,6.34,6.34,6.45,6.2,6.21,26.61,27.07,26.02,26.06,854977.73,543098.28,-0.13,-0.02
600313.SH,20250516,week,6.46,6.47,6.31,6.34,6.53,6.46,6.47,6.31,6.34,27.11,27.15,26.48,26.61,1124251.21,717963.31,-0.19,-0.03
600313.SH,20250509,week,6.39,6.68,6.38,6.53,6.38,6.39,6.68,6.38,6.53,26.82,28.04,26.78,27.41,1481297.27,965660.53,0.15,0.02
600313.SH,20250502,week,6.33,6.4,6.25,6.38,6.3,6.33,6.4,6.25,6.38,26.57,26.86,26.23,26.78,638980.23,405456.7,0.08,0.01
600313.SH,20250425,week,6.43,6.51,6.29,6.3,6.4,6.43,6.51,6.29,6.3,26.99,27.32,26.4,26.44,1215448.54,777665.83,-0.1,-0.02
600313.SH,20250418,week,6.7,6.95,6.37,6.4,6.82,6.7,6.95,6.37,6.4,28.12,29.17,26.73,26.86,2299753.57,1536153.83,-0.42,-0.06
600313.SH,20250411,week,6.58,8.17,6.41,6.82,6.35,6.58,8.17,6.41,6.82,27.62,34.29,26.9,28.62,6964873.84,4992099.79,0.47,0.07
600313.SH,20250404,week,6.22,6.38,6.15,6.35,6.26,6.22,6.38,6.15,6.35,26.11,26.78,25.81,26.65,423372.69,265115.28,0.09,0.01
600313.SH,20250328,week,6.38,6.42,6.26,6.26,6.38,6.38,6.42,6.26,6.26,26.78,26.94,26.27,26.27,516144.22,326778.7,-0.12,-0.02
600313.SH,20250321,week,6.54,6.57,6.36,6.38,6.51,6.54,6.57,6.36,6.38,27.45,27.57,26.69,26.78,536546.85,347837.29,-0.13,-0.02
600313.SH,20250314,week,6.63,6.64,6.39,6.51,6.61,6.63,6.64,6.39,6.51,27.83,27.87,26.82,27.32,722828.53,470041.07,-0.1,-0.02
600313.SH,20250307,week,6.61,6.84,6.58,6.61,6.57,6.61,6.84,6.58,6.61,27.74,28.71,27.62,27.74,1176613.91,786482.36,0.04,0.01
600313.SH,20250228,week,7.12,7.49,6.56,6.57,6.82,7.12,7.49,6.56,6.57,29.88,31.44,27.53,27.57,2203090.46,1520723.64,-0.25,-0.04
600313.SH,20250221,week,6.71,6.9,6.56,6.82,6.71,6.71,6.9,6.56,6.82,28.16,28.96,27.53,28.62,1562616.94,1053722.33,0.11,0.02
600313.SH,20250214,week,6.67,6.76,6.57,6.71,6.69,6.67,6.76,6.57,6.71,27.99,28.37,27.57,28.16,1193565.66,796016.77,0.02,0.0
600313.SH,20250207,week,6.58,6.74,6.4,6.69,6.58,6.58,6.74,6.4,6.69,27.62,28.29,26.86,28.08,873751.06,578034.47,0.11,0.02
600313.SH,20250131,week,6.31,6.62,6.31,6.58,6.31,6.31,6.62,6.31,6.58,26.48,27.78,26.48,27.62,437585.9,284527.61,0.27,0.04
600313.SH,20250124,week,6.43,6.5,6.18,6.31,6.44,6.43,6.5,6.18,6.31,26.99,27.28,25.94,26.48,851948.01,538042.33,-0.13,-0.02
600313.SH,20250117,week,6.18,6.5,6.13,6.44,6.26,6.18,6.5,6.13,6.44,25.94,27.28,25.73,27.03,994737.21,633129.27,0.18,0.03
600313.SH,20250110,week,6.4,6.53,6.16,6.26,6.39,6.4,6.53,6.16,6.26,26.86,27.41,25.85,26.27,1072212.96,680384.23,-0.13,-0.02
600313.SH,20250103,week,7.09,7.11,6.38,6.39,7.27,7.09,7.11,6.38,6.39,29.76,29.84,26.78,26.82,1500039.75,1020629.95,-0.88,-0.12
