,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,002058.SZ,20250620,week,11.64,12.19,11.32,11.91,11.63,11.64,12.19,11.32,11.91,27.77,29.09,27.01,28.42,139247.06,162505.39,0.28,0.02
1,002058.SZ,20250613,week,11.59,12.26,11.51,11.63,11.42,11.59,12.26,11.51,11.63,27.65,29.25,27.46,27.75,157130.0,185965.97,0.21,0.02
2,002058.SZ,20250606,week,11.04,11.73,10.98,11.42,11.02,11.04,11.73,10.98,11.42,26.34,27.99,26.2,27.25,146250.06,166145.19,0.4,0.04
3,002058.SZ,20250530,week,10.69,11.7,10.68,11.02,10.47,10.69,11.7,10.68,11.02,25.51,27.92,25.48,26.29,230480.05,259877.43,0.55,0.05
4,002058.SZ,20250523,week,10.25,10.85,10.17,10.47,9.98,10.25,10.85,10.17,10.47,24.46,25.89,24.27,24.98,146931.73,154711.36,0.49,0.05
5,002058.SZ,20250516,week,10.1,10.55,9.89,9.98,10.05,10.1,10.55,9.89,9.98,24.1,25.17,23.6,23.81,143932.01,146668.27,-0.07,-0.01
6,002058.SZ,20250509,week,9.1,10.25,9.05,10.05,8.85,9.1,10.25,9.05,10.05,21.71,24.46,21.59,23.98,179266.06,172941.97,1.2,0.14
7,002058.SZ,20250502,week,8.35,8.85,8.06,8.85,8.96,8.35,8.85,8.06,8.85,19.92,21.12,19.23,21.12,173346.84,147429.83,-0.11,-0.01
8,002058.SZ,20250425,week,9.53,9.68,8.9,8.96,9.69,9.53,9.68,8.9,8.96,22.74,23.1,21.24,21.38,250705.02,230442.06,-0.73,-0.08
9,002058.SZ,20250418,week,9.68,11.04,9.52,9.69,9.51,9.68,11.04,9.52,9.69,23.1,26.34,22.71,23.12,337136.36,343573.15,0.18,0.02
10,002058.SZ,20250411,week,10.75,10.98,8.69,9.51,11.92,10.75,10.98,8.69,9.51,25.65,26.2,20.73,22.69,367754.56,351558.16,-2.41,-0.2
11,002058.SZ,20250404,week,9.63,12.8,9.4,11.92,9.74,9.63,12.8,9.4,11.92,22.98,30.54,22.43,28.44,358377.14,412210.84,2.18,0.22
