,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,600571.SH,20250620,week,15.89,16.93,15.08,15.15,16.02,15.89,16.93,15.08,15.15,184.98,197.09,175.55,176.37,2500313.25,4068578.91,-0.87,-0.05
1,600571.SH,20250613,week,16.08,16.39,15.65,16.02,15.99,16.08,16.39,15.65,16.02,187.19,190.8,182.19,186.49,1943661.71,3132981.11,0.03,0.0
2,600571.SH,20250606,week,15.79,16.53,15.58,15.99,15.48,15.79,16.53,15.58,15.99,183.82,192.43,181.37,186.14,2075394.49,3330202.11,0.51,0.03
3,600571.SH,20250530,week,14.38,16.05,14.28,15.48,14.42,14.38,16.05,14.28,15.48,167.4,186.84,166.24,180.21,1880392.16,2874307.25,1.06,0.07
4,600571.SH,20250523,week,15.45,15.5,14.41,14.42,15.45,15.45,15.5,14.41,14.42,179.86,180.44,167.75,167.87,1140552.93,1718511.24,-1.03,-0.07
5,600571.SH,20250516,week,15.54,16.77,15.29,15.45,15.31,15.54,16.77,15.29,15.45,180.91,195.22,178.0,179.86,2067122.11,3285024.61,0.14,0.01
6,600571.SH,20250509,week,16.25,17.25,15.22,15.31,16.09,16.25,17.25,15.22,15.31,189.17,200.81,177.18,178.23,2160246.41,3497634.38,-0.78,-0.05
7,600571.SH,20250502,week,15.96,16.4,15.08,16.09,15.72,15.96,16.4,15.08,16.09,185.8,190.92,175.55,187.31,1802449.84,2849421.8,0.37,0.02
8,600571.SH,20250425,week,14.59,19.43,14.37,15.72,14.59,14.59,19.43,14.37,15.72,169.85,226.19,167.29,183.0,4938842.64,8538731.48,1.13,0.08
9,600571.SH,20250418,week,15.6,16.33,14.48,14.59,15.4,15.6,16.33,14.48,14.59,181.6,190.1,168.57,169.85,2219882.19,3416544.89,-0.81,-0.05
10,600571.SH,20250411,week,15.9,16.32,12.88,15.4,17.67,15.9,16.32,12.88,15.4,185.1,189.99,149.94,179.28,3294631.3,4859370.43,-2.27,-0.13
11,600571.SH,20250404,week,14.23,18.24,13.2,17.67,14.49,14.23,18.24,13.2,17.67,165.66,212.34,153.67,205.7,4225080.98,7116048.28,3.18,0.22
12,600571.SH,20250328,week,14.54,16.08,13.45,14.49,14.39,14.54,16.08,13.45,14.49,169.26,187.19,156.58,168.68,3483985.7,5209324.37,0.1,0.01
13,600571.SH,20250321,week,13.92,15.17,13.69,14.39,13.92,13.92,15.17,13.69,14.39,162.05,176.6,159.37,167.52,1745688.62,2495808.21,0.47,0.03
14,600571.SH,20250314,week,14.1,14.13,13.34,13.92,14.07,14.1,14.13,13.34,13.92,164.14,164.49,155.29,162.05,926158.25,1275987.12,-0.15,-0.01
15,600571.SH,20250307,week,13.32,14.48,13.02,14.07,13.23,13.32,14.48,13.02,14.07,155.06,168.57,151.57,163.79,1207711.66,1674842.62,0.84,0.06
16,600571.SH,20250228,week,14.6,14.74,13.17,13.23,14.65,14.6,14.74,13.17,13.23,169.96,171.59,153.32,154.01,1625398.04,2306588.09,-1.42,-0.1
17,600571.SH,20250221,week,14.72,15.47,13.74,14.65,14.82,14.72,15.47,13.74,14.65,171.36,180.09,159.95,170.55,2763411.36,4057841.89,-0.17,-0.01
18,600571.SH,20250214,week,13.78,14.96,13.57,14.82,13.78,13.78,14.96,13.57,14.82,160.42,174.15,157.97,172.52,2191300.74,3140098.14,1.04,0.08
19,600571.SH,20250207,week,13.47,14.21,13.25,13.78,13.12,13.47,14.21,13.25,13.78,156.81,165.42,154.25,160.42,1425794.08,1952649.76,0.66,0.05
