股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
002671.SZ,20250704,week,4.67,4.69,4.55,4.63,4.62,4.67,4.69,4.55,4.63,19.02,19.1,18.53,18.86,271065.0,124781.38,0.01,0.0
002671.SZ,20250627,week,4.46,4.7,4.42,4.62,4.49,4.46,4.7,4.42,4.62,18.17,19.14,18.0,18.82,529020.92,242077.66,0.13,0.03
002671.SZ,20250620,week,4.4,4.58,4.39,4.49,4.45,4.4,4.58,4.39,4.49,17.92,18.65,17.88,18.29,478107.0,214634.3,0.04,0.01
002671.SZ,20250613,week,4.52,4.56,4.36,4.45,4.54,4.52,4.56,4.36,4.45,18.41,18.57,17.76,18.12,420005.0,187102.81,-0.09,-0.02
002671.SZ,20250606,week,4.45,4.74,4.45,4.54,4.49,4.45,4.74,4.45,4.54,18.12,19.31,18.12,18.49,459021.69,208239.87,0.05,0.01
002671.SZ,20250530,week,4.24,4.69,4.21,4.49,4.26,4.24,4.69,4.21,4.49,17.27,19.1,17.15,18.29,929203.63,414829.46,0.23,0.05
002671.SZ,20250523,week,4.25,4.54,4.23,4.26,4.23,4.25,4.54,4.23,4.26,17.31,18.49,17.23,17.35,477906.2,206150.61,0.03,0.01
002671.SZ,20250516,week,4.26,4.34,4.19,4.23,4.23,4.26,4.34,4.19,4.23,17.35,17.68,17.07,17.23,351539.89,149478.1,0.0,0.0
002671.SZ,20250509,week,4.14,4.29,4.11,4.23,4.09,4.14,4.29,4.11,4.23,16.86,17.47,16.74,17.23,360742.98,151944.12,0.14,0.03
002671.SZ,20250502,week,4.25,4.27,4.06,4.09,4.2,4.25,4.27,4.06,4.09,17.31,17.39,16.54,16.66,274832.0,114033.13,-0.11,-0.03
002671.SZ,20250425,week,4.19,4.24,4.12,4.2,4.18,4.19,4.24,4.12,4.2,17.07,17.27,16.78,17.11,288617.34,120784.97,0.02,0.0
002671.SZ,20250418,week,4.08,4.19,3.99,4.18,4.05,4.08,4.19,3.99,4.18,16.62,17.07,16.25,17.03,344744.0,141516.0,0.13,0.03
002671.SZ,20250411,week,4.16,4.21,3.64,4.05,4.35,4.16,4.21,3.64,4.05,16.94,17.15,14.83,16.5,615308.46,243324.2,-0.3,-0.07
002671.SZ,20250404,week,4.46,4.46,4.21,4.35,4.5,4.46,4.46,4.21,4.35,18.17,18.17,17.15,17.72,598067.98,258445.97,-0.15,-0.03
002671.SZ,20250328,week,4.62,4.65,4.4,4.5,4.6,4.62,4.65,4.4,4.5,18.82,18.94,17.92,18.33,645859.46,293359.36,-0.1,-0.02
002671.SZ,20250321,week,4.59,4.68,4.58,4.6,4.58,4.59,4.68,4.58,4.6,18.7,19.06,18.65,18.74,449068.43,207763.68,0.02,0.0
002671.SZ,20250314,week,4.48,4.59,4.43,4.58,4.47,4.48,4.59,4.43,4.58,18.25,18.7,18.04,18.65,476513.43,215550.44,0.11,0.02
002671.SZ,20250307,week,4.45,4.53,4.38,4.47,4.45,4.45,4.53,4.38,4.47,18.12,18.45,17.84,18.21,438182.95,195503.94,0.02,0.0
002671.SZ,20250228,week,4.47,4.6,4.43,4.45,4.47,4.47,4.6,4.43,4.45,18.21,18.74,18.04,18.12,454724.0,205343.18,-0.02,0.0
002671.SZ,20250221,week,4.57,4.66,4.45,4.47,4.55,4.57,4.66,4.45,4.47,18.61,18.98,18.12,18.21,458678.96,208605.91,-0.08,-0.02
002671.SZ,20250214,week,4.64,4.84,4.53,4.55,4.62,4.64,4.84,4.53,4.55,18.9,19.71,18.45,18.53,517191.87,242631.76,-0.07,-0.02
002671.SZ,20250207,week,4.74,4.77,4.46,4.62,4.74,4.74,4.77,4.46,4.62,19.31,19.43,18.17,18.82,417701.01,191916.97,-0.12,-0.03
002671.SZ,20250131,week,4.65,4.83,4.65,4.74,4.8,4.65,4.83,4.65,4.74,18.94,19.67,18.94,19.31,137371.0,65614.81,-0.06,-0.01
002671.SZ,20250124,week,4.85,4.97,4.76,4.8,4.82,4.85,4.97,4.76,4.8,19.75,20.24,19.39,19.55,529659.53,257689.25,-0.02,0.0
002671.SZ,20250117,week,4.4,4.89,4.35,4.82,4.49,4.4,4.89,4.35,4.82,17.92,19.92,17.72,19.63,639656.58,299840.03,0.33,0.07
002671.SZ,20250110,week,4.29,4.56,4.17,4.49,4.31,4.29,4.56,4.17,4.49,17.47,18.57,16.98,18.29,484630.78,213986.91,0.18,0.04
002671.SZ,20250103,week,4.58,4.65,4.31,4.31,4.63,4.58,4.65,4.31,4.31,18.65,18.94,17.55,17.55,533585.69,240468.88,-0.32,-0.07
002671.SZ,20241227,week,4.89,4.9,4.42,4.63,4.87,4.89,4.9,4.42,4.63,19.92,19.96,18.0,18.86,626682.52,288425.41,-0.24,-0.05
002671.SZ,20241220,week,5.18,5.24,4.83,4.87,5.16,5.18,5.24,4.83,4.87,21.1,21.34,19.67,19.84,695838.46,346859.6,-0.29,-0.06
002671.SZ,20241213,week,5.09,5.33,5.03,5.16,5.11,5.09,5.33,5.03,5.16,20.73,21.71,20.49,21.02,833907.92,429713.09,0.05,0.01
002671.SZ,20241206,week,4.81,5.2,4.81,5.11,4.76,4.81,5.2,4.81,5.11,19.59,21.18,19.59,20.81,821620.34,408431.05,0.35,0.07
002671.SZ,20241129,week,4.54,4.86,4.52,4.76,4.55,4.54,4.86,4.52,4.76,18.49,19.79,18.41,19.39,673918.84,316454.47,0.21,0.05
002671.SZ,20241122,week,4.65,4.77,4.47,4.55,4.61,4.65,4.77,4.47,4.55,18.94,19.43,18.21,18.53,714374.72,328681.78,-0.06,-0.01
002671.SZ,20241115,week,5.28,5.28,4.6,4.61,4.85,5.28,5.28,4.6,4.61,21.51,21.51,18.74,18.78,1298957.82,636893.97,-0.24,-0.05
002671.SZ,20241108,week,4.59,5.06,4.55,4.85,4.66,4.59,5.06,4.55,4.85,18.7,20.61,18.53,19.75,1296802.7,621859.95,0.19,0.04
002671.SZ,20241101,week,4.53,5.1,4.42,4.66,4.5,4.53,5.1,4.42,4.66,18.45,20.77,18.0,18.98,2025644.34,955478.77,0.16,0.04
002671.SZ,20241025,week,4.19,4.99,4.1,4.5,4.16,4.19,4.99,4.1,4.5,17.07,20.32,16.7,18.33,1730129.72,778188.59,0.34,0.08
002671.SZ,20241018,week,4.06,4.46,4.02,4.16,4.05,4.06,4.46,4.02,4.16,16.54,18.17,16.37,16.94,1398454.36,590673.66,0.11,0.03
002671.SZ,20241011,week,4.53,4.55,3.97,4.05,4.14,4.53,4.55,3.97,4.05,18.45,18.53,16.17,16.5,1505710.41,641338.3,-0.09,-0.02
002671.SZ,20241004,week,4.09,4.17,3.9,4.14,3.8,4.09,4.17,3.9,4.14,16.66,16.98,15.88,16.86,292949.05,118991.11,0.34,0.09
002671.SZ,20240927,week,3.54,3.83,3.49,3.8,3.52,3.54,3.83,3.49,3.8,14.42,15.6,14.21,15.48,490956.33,180000.66,0.28,0.08
002671.SZ,20240920,week,3.49,3.57,3.35,3.52,3.46,3.49,3.57,3.35,3.52,14.21,14.54,13.64,14.34,183537.0,63638.61,0.06,0.02
002671.SZ,20240913,week,3.51,3.59,3.46,3.46,3.53,3.51,3.59,3.46,3.46,14.3,14.62,14.09,14.09,249854.02,88344.37,-0.07,-0.02
002671.SZ,20240906,week,3.54,3.61,3.5,3.53,3.56,3.54,3.61,3.5,3.53,14.42,14.7,14.26,14.38,299696.0,106769.5,-0.03,-0.01
002671.SZ,20240830,week,3.37,3.61,3.37,3.56,3.4,3.37,3.61,3.37,3.56,13.73,14.7,13.73,14.5,342445.52,121296.89,0.16,0.05
002671.SZ,20240823,week,3.55,3.58,3.36,3.4,3.56,3.55,3.58,3.36,3.4,14.46,14.58,13.69,13.85,240701.0,83266.28,-0.16,-0.04
002671.SZ,20240816,week,3.6,3.74,3.51,3.56,3.62,3.6,3.74,3.51,3.56,14.66,15.23,14.3,14.5,274962.9,99453.62,-0.06,-0.02
002671.SZ,20240809,week,3.61,3.68,3.57,3.62,3.66,3.61,3.68,3.57,3.62,14.7,14.99,14.54,14.74,221398.53,80379.47,-0.04,-0.01
002671.SZ,20240802,week,3.53,3.72,3.48,3.66,3.53,3.53,3.72,3.48,3.66,14.38,15.15,14.17,14.91,302339.8,109377.46,0.13,0.04
002671.SZ,20240726,week,3.51,3.62,3.43,3.53,3.48,3.51,3.62,3.43,3.53,14.3,14.74,13.97,14.38,248115.8,86852.02,0.05,0.01
002671.SZ,20240719,week,3.63,3.67,3.45,3.48,3.62,3.63,3.67,3.45,3.48,14.78,14.95,14.05,14.17,237948.02,84754.98,-0.14,-0.04
002671.SZ,20240712,week,3.55,3.69,3.34,3.62,3.51,3.55,3.69,3.34,3.62,14.46,15.03,13.6,14.74,328815.9,115645.27,0.11,0.03
002671.SZ,20240705,week,3.61,3.72,3.41,3.51,3.59,3.61,3.72,3.41,3.51,14.7,15.15,13.89,14.3,345433.14,123895.71,-0.08,-0.02
002671.SZ,20240628,week,3.78,3.82,3.51,3.59,3.85,3.78,3.82,3.51,3.59,15.4,15.56,14.3,14.62,531774.93,193804.88,-0.26,-0.07
002671.SZ,20240621,week,3.52,3.98,3.51,3.85,3.56,3.52,3.98,3.51,3.85,14.34,16.21,14.3,15.68,698031.8,260174.02,0.29,0.08
002671.SZ,20240614,week,3.66,3.66,3.45,3.56,3.64,3.66,3.66,3.45,3.56,14.91,14.91,14.05,14.5,290764.0,103151.77,-0.08,-0.02
002671.SZ,20240607,week,3.84,3.89,3.45,3.64,3.84,3.84,3.89,3.45,3.64,15.64,15.84,14.05,14.83,433636.7,158870.69,-0.2,-0.05
002671.SZ,20240531,week,4.01,4.04,3.79,3.84,4.04,4.01,4.04,3.79,3.84,16.33,16.45,15.44,15.64,351496.42,137613.42,-0.2,-0.05
002671.SZ,20240524,week,4.24,4.34,4.0,4.04,4.22,4.24,4.34,4.0,4.04,17.27,17.68,16.29,16.45,444388.44,185706.71,-0.18,-0.04
002671.SZ,20240517,week,4.06,4.23,3.92,4.22,4.06,4.06,4.23,3.92,4.22,16.54,17.23,15.97,17.19,442288.0,181429.44,0.16,0.04
002671.SZ,20240510,week,4.21,4.27,4.01,4.06,4.14,4.21,4.27,4.01,4.06,17.15,17.39,16.33,16.54,577175.06,238263.82,-0.08,-0.02
002671.SZ,20240503,week,4.08,4.28,4.08,4.14,4.08,4.08,4.28,4.08,4.14,16.62,17.43,16.62,16.86,313143.4,130616.52,0.06,0.01
002671.SZ,20240426,week,4.14,4.37,3.95,4.08,3.99,4.14,4.37,3.95,4.08,16.86,17.8,16.09,16.62,822950.15,337259.85,0.09,0.02
002671.SZ,20240419,week,4.2,4.24,3.51,3.99,4.23,4.2,4.24,3.51,3.99,17.11,17.27,14.3,16.25,1002999.75,386845.34,-0.24,-0.06
002671.SZ,20240412,week,4.51,4.55,4.2,4.23,4.52,4.51,4.55,4.2,4.23,18.37,18.53,17.11,17.23,530750.33,232007.96,-0.29,-0.06
002671.SZ,20240405,week,4.42,4.65,4.42,4.52,4.4,4.42,4.65,4.42,4.52,18.0,18.94,18.0,18.41,382875.31,174171.82,0.12,0.03
002671.SZ,20240329,week,4.46,4.53,4.22,4.4,4.47,4.46,4.53,4.22,4.4,18.17,18.45,17.19,17.92,529220.01,232196.87,-0.07,-0.02
002671.SZ,20240322,week,4.28,4.64,4.28,4.47,4.25,4.28,4.64,4.28,4.47,17.43,18.9,17.43,18.21,811180.44,361622.82,0.22,0.05
002671.SZ,20240315,week,4.14,4.31,4.12,4.25,4.14,4.14,4.31,4.12,4.25,16.86,17.55,16.78,17.31,674967.1,284306.17,0.11,0.03
002671.SZ,20240308,week,4.24,4.34,4.02,4.14,4.19,4.24,4.34,4.02,4.14,17.27,17.68,16.37,16.86,899917.61,370829.82,-0.05,-0.01
002671.SZ,20240301,week,3.9,4.39,3.75,4.19,3.89,3.9,4.39,3.75,4.19,15.88,17.88,15.27,17.07,1399886.55,570514.52,0.3,0.08
002671.SZ,20240223,week,3.4,3.9,3.39,3.89,3.33,3.4,3.9,3.39,3.89,13.85,15.88,13.81,15.84,1152031.19,422256.08,0.56,0.17
002671.SZ,20240209,week,3.85,3.87,2.9,3.33,3.89,3.85,3.87,2.9,3.33,15.68,15.76,11.81,13.56,1210436.1,391247.21,-0.56,-0.14
002671.SZ,20240202,week,4.75,4.81,3.75,3.89,4.75,4.75,4.81,3.75,3.89,19.35,19.59,15.27,15.84,650921.0,278600.27,-0.86,-0.18
002671.SZ,20240126,week,4.76,4.83,4.33,4.75,4.75,4.76,4.83,4.33,4.75,19.39,19.67,17.64,19.35,743136.61,339455.05,0.0,0.0
002671.SZ,20240119,week,5.18,5.26,4.72,4.75,5.23,5.18,5.26,4.72,4.75,21.1,21.42,19.22,19.35,680620.33,338729.43,-0.48,-0.09
002671.SZ,20240112,week,5.45,5.66,5.21,5.23,5.54,5.45,5.66,5.21,5.23,22.2,23.05,21.22,21.3,991149.78,539564.86,-0.31,-0.06
002671.SZ,20240105,week,6.02,6.38,5.5,5.54,5.99,6.02,6.38,5.5,5.54,24.52,25.99,22.4,22.56,1574767.54,927425.5,-0.45,-0.08
002671.SZ,20231229,week,5.73,6.54,5.43,5.99,5.71,5.73,6.54,5.43,5.99,23.34,26.64,22.12,24.4,3890224.53,2320480.21,0.28,0.05
002671.SZ,20231222,week,5.43,5.73,5.24,5.71,5.46,5.43,5.73,5.24,5.71,22.12,23.34,21.34,23.26,1747803.69,959779.74,0.25,0.05
002671.SZ,20231215,week,5.43,5.56,5.32,5.46,5.32,5.43,5.56,5.32,5.46,22.12,22.65,21.67,22.24,709729.88,385230.93,0.14,0.03
002671.SZ,20231208,week,5.44,5.58,5.31,5.32,5.43,5.44,5.58,5.31,5.32,22.16,22.73,21.63,21.67,759689.65,414283.21,-0.11,-0.02
002671.SZ,20231201,week,5.46,5.5,5.23,5.43,5.5,5.46,5.5,5.23,5.43,22.24,22.4,21.3,22.12,816303.49,440395.66,-0.07,-0.01
002671.SZ,20231124,week,5.52,5.71,5.45,5.5,5.5,5.52,5.71,5.45,5.5,22.48,23.26,22.2,22.4,1353613.18,756107.16,0.0,0.0
002671.SZ,20231117,week,5.53,5.62,5.41,5.5,5.52,5.53,5.62,5.41,5.5,22.52,22.89,22.03,22.4,1395794.45,769618.36,-0.02,0.0
002671.SZ,20231110,week,5.5,6.09,5.43,5.52,5.53,5.5,6.09,5.43,5.52,22.4,24.8,22.12,22.48,3359187.92,1927118.46,-0.01,0.0
002671.SZ,20231103,week,6.23,7.3,5.33,5.53,6.88,6.23,7.3,5.33,5.53,25.37,29.73,21.71,22.52,5379745.08,3173991.83,-1.35,-0.2
002671.SZ,20231027,week,4.88,6.88,4.8,6.88,4.89,4.88,6.88,4.8,6.88,19.88,28.02,19.55,28.02,3171903.11,1924874.45,1.99,0.41
002671.SZ,20231020,week,4.67,5.1,4.52,4.89,4.66,4.67,5.1,4.52,4.89,19.02,20.77,18.41,19.92,865888.4,416537.91,0.23,0.05
002671.SZ,20231013,week,4.76,4.83,4.56,4.66,4.77,4.76,4.83,4.56,4.66,19.39,19.67,18.57,18.98,480911.32,224473.94,-0.11,-0.02
002671.SZ,20230929,week,4.71,4.92,4.7,4.77,4.71,4.71,4.92,4.7,4.77,19.18,20.04,19.14,19.43,528553.0,252574.26,0.06,0.01
002671.SZ,20230922,week,4.54,4.74,4.49,4.71,4.56,4.54,4.74,4.49,4.71,18.49,19.31,18.29,19.18,384875.16,177641.12,0.15,0.03
002671.SZ,20230915,week,4.6,4.64,4.49,4.56,4.62,4.6,4.64,4.49,4.56,18.74,18.9,18.29,18.57,319424.81,145570.2,-0.06,-0.01
002671.SZ,20230908,week,4.63,4.77,4.59,4.62,4.62,4.63,4.77,4.59,4.62,18.86,19.43,18.7,18.82,406222.0,189753.32,0.0,0.0
002671.SZ,20230901,week,4.79,4.86,4.59,4.62,4.6,4.79,4.86,4.59,4.62,19.51,19.79,18.7,18.82,637243.0,302385.15,0.02,0.0
