,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,002005.SZ,20250620,week,2.1,2.11,1.92,2.04,2.02,2.1,2.11,1.92,2.04,21.08,21.18,19.27,20.48,2269326.24,455321.86,0.02,0.01
1,002005.SZ,20250613,week,1.81,2.02,1.79,2.02,1.81,1.81,2.02,1.79,2.02,18.17,20.27,17.97,20.27,1087938.6,208091.34,0.21,0.12
2,002005.SZ,20250606,week,1.82,1.82,1.76,1.81,1.83,1.82,1.82,1.76,1.81,18.27,18.27,17.67,18.17,401369.0,71992.55,-0.02,-0.01
3,002005.SZ,20250530,week,1.75,1.88,1.74,1.83,1.75,1.75,1.88,1.74,1.83,17.56,18.87,17.46,18.37,512145.03,92545.47,0.08,0.05
4,002005.SZ,20250523,week,1.75,1.84,1.73,1.75,1.73,1.75,1.84,1.73,1.75,17.56,18.47,17.36,17.56,586906.19,103685.38,0.02,0.01
5,002005.SZ,20250516,week,1.76,1.8,1.72,1.73,1.75,1.76,1.8,1.72,1.73,17.67,18.07,17.26,17.36,367827.63,64279.5,-0.02,-0.01
6,002005.SZ,20250509,week,1.74,1.79,1.73,1.75,1.71,1.74,1.79,1.73,1.75,17.46,17.97,17.36,17.56,372873.01,65453.73,0.04,0.02
7,002005.SZ,20250502,week,1.84,1.89,1.71,1.71,1.81,1.84,1.89,1.71,1.71,18.47,18.97,17.16,17.16,534825.45,95677.29,-0.1,-0.06
8,002005.SZ,20250425,week,1.95,1.95,1.72,1.81,1.86,1.95,1.95,1.72,1.81,19.57,19.57,17.26,18.17,985048.98,180844.4,-0.05,-0.03
9,002005.SZ,20250418,week,1.69,1.9,1.69,1.86,1.67,1.69,1.9,1.69,1.86,16.96,19.07,16.96,18.67,562854.6,101350.11,0.19,0.11
10,002005.SZ,20250411,week,1.74,1.76,1.57,1.67,1.83,1.74,1.76,1.57,1.67,17.46,17.67,15.76,16.76,400590.29,66064.14,-0.16,-0.09
11,002005.SZ,20250404,week,1.68,1.87,1.66,1.83,1.67,1.68,1.87,1.66,1.83,16.86,18.77,16.66,18.37,374934.0,66839.21,0.16,0.1
12,002005.SZ,20250328,week,1.77,1.79,1.66,1.67,1.77,1.77,1.79,1.66,1.67,17.77,17.97,16.66,16.76,385473.74,65962.49,-0.1,-0.06
13,002005.SZ,20250321,week,1.79,1.82,1.75,1.77,1.78,1.79,1.82,1.75,1.77,17.97,18.27,17.56,17.77,314019.83,56130.14,-0.01,-0.01
14,002005.SZ,20250314,week,1.78,1.86,1.75,1.78,1.78,1.78,1.86,1.75,1.78,17.87,18.67,17.56,17.87,444692.21,79658.61,0.0,0.0
15,002005.SZ,20250307,week,1.86,1.87,1.74,1.78,1.84,1.86,1.87,1.74,1.78,18.67,18.77,17.46,17.87,469177.7,83975.02,-0.06,-0.03
16,002005.SZ,20250228,week,1.89,1.94,1.84,1.84,1.87,1.89,1.94,1.84,1.84,18.97,19.47,18.47,18.47,533784.0,100745.89,-0.03,-0.02
17,002005.SZ,20250221,week,1.86,1.92,1.77,1.87,1.86,1.86,1.92,1.77,1.87,18.67,19.27,17.77,18.77,821843.08,152426.35,0.01,0.01
18,002005.SZ,20250214,week,1.7,1.97,1.69,1.86,1.7,1.7,1.97,1.69,1.86,17.06,19.77,16.96,18.67,776839.32,140884.09,0.16,0.09
19,002005.SZ,20250207,week,1.69,1.73,1.68,1.7,1.68,1.69,1.73,1.68,1.7,16.96,17.36,16.86,17.06,280990.19,47922.43,0.02,0.01
20,002005.SZ,20250131,week,1.7,1.72,1.67,1.68,1.69,1.7,1.72,1.67,1.68,17.06,17.26,16.76,16.86,120624.0,20494.08,-0.01,-0.01
21,002005.SZ,20250124,week,1.69,1.7,1.61,1.69,1.68,1.69,1.7,1.61,1.69,16.96,17.06,16.16,16.96,494486.0,81983.55,0.01,0.01
22,002005.SZ,20250117,week,1.64,1.73,1.59,1.68,1.65,1.64,1.73,1.59,1.68,16.46,17.36,15.96,16.86,640111.07,107075.46,0.03,0.02
23,002005.SZ,20250110,week,1.68,1.7,1.6,1.65,1.68,1.68,1.7,1.6,1.65,16.86,17.06,16.06,16.56,521390.11,85824.16,-0.03,-0.02
24,002005.SZ,20250103,week,1.55,1.73,1.55,1.68,1.58,1.55,1.73,1.55,1.68,15.56,17.36,15.56,16.86,836994.09,139490.44,0.1,0.06
25,002005.SZ,20241227,week,1.93,1.94,1.58,1.58,1.95,1.93,1.94,1.58,1.58,19.37,19.47,15.86,15.86,1407318.01,238242.3,-0.37,-0.19
26,002005.SZ,20241220,week,2.1,2.15,1.87,1.95,2.09,2.1,2.15,1.87,1.95,21.08,21.58,18.77,19.57,970953.98,194598.63,-0.14,-0.07
27,002005.SZ,20241213,week,2.12,2.15,1.91,2.09,2.11,2.12,2.15,1.91,2.09,21.28,21.58,19.17,20.98,1271491.31,256899.78,-0.02,-0.01
28,002005.SZ,20241206,week,1.73,2.11,1.73,2.11,1.75,1.73,2.11,1.73,2.11,17.36,21.18,17.36,21.18,1175341.42,229705.04,0.36,0.21
29,002005.SZ,20241129,week,1.74,1.77,1.62,1.75,1.73,1.74,1.77,1.62,1.75,17.46,17.77,16.26,17.56,765470.02,131302.78,0.02,0.01
30,002005.SZ,20241122,week,1.7,1.81,1.56,1.73,1.68,1.7,1.81,1.56,1.73,17.06,18.17,15.66,17.36,1073172.01,180961.91,0.05,0.03
31,002005.SZ,20241115,week,1.62,1.8,1.6,1.68,1.6,1.62,1.8,1.6,1.68,16.26,18.07,16.06,16.86,1681879.5,286046.86,0.08,0.05
32,002005.SZ,20241108,week,1.43,1.6,1.38,1.6,1.44,1.43,1.6,1.38,1.6,14.35,16.06,13.85,16.06,1156322.32,171460.3,0.16,0.11
33,002005.SZ,20241101,week,1.27,1.47,1.26,1.44,1.27,1.27,1.47,1.26,1.44,12.75,14.75,12.65,14.45,1429591.14,197618.27,0.17,0.13
34,002005.SZ,20241025,week,1.25,1.3,1.21,1.27,1.25,1.25,1.3,1.21,1.27,12.55,13.05,12.14,12.75,986470.13,122970.12,0.02,0.02
35,002005.SZ,20241018,week,1.28,1.29,1.22,1.25,1.28,1.28,1.29,1.22,1.25,12.85,12.95,12.25,12.55,612822.27,76797.22,-0.03,-0.02
36,002005.SZ,20241011,week,1.45,1.46,1.26,1.28,1.39,1.45,1.46,1.26,1.28,14.55,14.65,12.65,12.85,831369.46,111389.7,-0.11,-0.08
37,002005.SZ,20241004,week,1.37,1.4,1.34,1.39,1.36,1.37,1.4,1.34,1.39,13.75,14.05,13.45,13.95,387467.22,52970.02,0.03,0.02
38,002005.SZ,20240927,week,1.37,1.37,1.28,1.36,1.37,1.37,1.37,1.28,1.36,13.75,13.75,12.85,13.65,678112.74,90426.0,-0.01,-0.01
39,002005.SZ,20240920,week,1.32,1.37,1.3,1.37,1.31,1.32,1.37,1.3,1.37,13.25,13.75,13.05,13.75,434497.2,58178.09,0.06,0.05
40,002005.SZ,20240913,week,1.35,1.38,1.25,1.31,1.31,1.35,1.38,1.25,1.31,13.55,13.85,12.55,13.15,926692.92,122708.58,0.0,0.0
41,002005.SZ,20240906,week,1.18,1.31,1.17,1.31,1.18,1.18,1.31,1.17,1.31,11.84,13.15,11.74,13.15,1147228.1,143833.45,0.13,0.11
42,002005.SZ,20240830,week,1.13,1.22,1.12,1.18,1.13,1.13,1.22,1.12,1.18,11.34,12.25,11.24,11.84,500129.95,58586.84,0.05,0.04
43,002005.SZ,20240823,week,1.15,1.17,1.11,1.13,1.15,1.15,1.17,1.11,1.13,11.54,11.74,11.14,11.34,266814.13,30305.53,-0.02,-0.02
44,002005.SZ,20240816,week,1.1,1.17,1.09,1.15,1.11,1.1,1.17,1.09,1.15,11.04,11.74,10.94,11.54,371892.01,42130.97,0.04,0.04
45,002005.SZ,20240809,week,1.15,1.19,1.1,1.11,1.15,1.15,1.19,1.1,1.11,11.54,11.94,11.04,11.14,588056.71,67950.72,-0.04,-0.03
46,002005.SZ,20240802,week,1.07,1.17,1.05,1.15,1.07,1.07,1.17,1.05,1.15,10.74,11.74,10.54,11.54,704286.46,78565.86,0.08,0.07
47,002005.SZ,20240726,week,1.04,1.13,1.02,1.07,1.05,1.04,1.13,1.02,1.07,10.44,11.34,10.24,10.74,1032442.83,111092.7,0.02,0.02
48,002005.SZ,20240719,week,1.0,1.07,1.0,1.05,1.0,1.0,1.07,1.0,1.05,10.04,10.74,10.04,10.54,680200.94,69969.75,0.05,0.05
49,002005.SZ,20240712,week,1.02,1.05,1.0,1.0,1.02,1.02,1.05,1.0,1.0,10.24,10.54,10.04,10.04,790363.19,79901.86,-0.02,-0.02
50,002005.SZ,20240705,week,1.06,1.08,1.01,1.02,1.05,1.06,1.08,1.01,1.02,10.64,10.84,10.14,10.24,1264467.41,131556.15,-0.03,-0.03
51,002005.SZ,20240628,week,0.86,1.05,0.86,1.05,0.82,0.86,1.05,0.86,1.05,8.63,10.54,8.63,10.54,1311638.21,131718.23,0.23,0.28
52,002005.SZ,20240621,week,0.98,0.99,0.82,0.82,0.98,0.98,0.99,0.82,0.82,9.84,9.94,8.23,8.23,1410340.66,124521.39,-0.16,-0.16
53,002005.SZ,20240614,week,0.96,1.0,0.92,0.98,0.97,0.96,1.0,0.92,0.98,9.64,10.04,9.23,9.84,432139.98,41633.25,0.01,0.01
54,002005.SZ,20240607,week,0.93,1.03,0.93,0.97,0.98,0.93,1.03,0.93,0.97,9.33,10.34,9.33,9.74,946946.26,91888.02,-0.01,-0.01
55,002005.SZ,20240531,week,1.02,1.04,0.98,0.98,1.01,1.02,1.04,0.98,0.98,10.24,10.44,9.84,9.84,314486.39,31694.2,-0.03,-0.03
56,002005.SZ,20240524,week,1.06,1.06,1.0,1.01,1.08,1.06,1.06,1.0,1.01,10.64,10.64,10.04,10.14,399659.54,41537.86,-0.07,-0.06
57,002005.SZ,20240517,week,1.04,1.09,1.03,1.08,1.05,1.04,1.09,1.03,1.08,10.44,10.94,10.34,10.84,417380.98,44083.96,0.03,0.03
58,002005.SZ,20240510,week,1.07,1.11,1.04,1.05,1.04,1.07,1.11,1.04,1.05,10.74,11.14,10.44,10.54,779284.91,84048.89,0.01,0.01
59,002005.SZ,20240503,week,0.96,1.04,0.96,1.04,0.94,0.96,1.04,0.96,1.04,9.64,10.44,9.64,10.44,175005.01,17597.79,0.1,0.11
60,002005.SZ,20240426,week,1.0,1.04,0.94,0.94,1.02,1.0,1.04,0.94,0.94,10.04,10.44,9.43,9.43,584327.74,57461.97,-0.08,-0.08
61,002005.SZ,20240419,week,1.13,1.14,0.99,1.02,1.16,1.13,1.14,0.99,1.02,11.34,11.44,9.94,10.24,612316.0,64072.8,-0.14,-0.12
62,002005.SZ,20240412,week,1.17,1.2,1.16,1.16,1.17,1.17,1.2,1.16,1.16,11.74,12.04,11.64,11.64,236942.11,27851.44,-0.01,-0.01
63,002005.SZ,20240405,week,1.16,1.21,1.15,1.17,1.16,1.16,1.21,1.15,1.17,11.64,12.14,11.54,11.74,152244.0,17893.26,0.01,0.01
64,002005.SZ,20240329,week,1.15,1.21,1.13,1.16,1.15,1.15,1.21,1.13,1.16,11.54,12.14,11.34,11.64,490313.73,57634.03,0.01,0.01
65,002005.SZ,20240322,week,1.2,1.2,1.14,1.15,1.2,1.2,1.2,1.14,1.15,12.04,12.04,11.44,11.54,299115.39,35124.63,-0.05,-0.04
66,002005.SZ,20240315,week,1.18,1.22,1.17,1.2,1.18,1.18,1.22,1.17,1.2,11.84,12.25,11.74,12.04,291534.68,34788.26,0.02,0.02
67,002005.SZ,20240308,week,1.18,1.23,1.17,1.18,1.18,1.18,1.23,1.17,1.18,11.84,12.35,11.74,11.84,294685.91,35261.6,0.0,0.0
68,002005.SZ,20240301,week,1.21,1.25,1.13,1.18,1.21,1.21,1.25,1.13,1.18,12.14,12.55,11.34,11.84,411619.53,49489.58,-0.03,-0.02
69,002005.SZ,20240223,week,1.22,1.26,1.18,1.21,1.23,1.22,1.26,1.18,1.21,12.25,12.65,11.84,12.14,356974.05,43320.27,-0.02,-0.02
70,002005.SZ,20240209,week,1.1,1.23,1.01,1.23,1.12,1.1,1.23,1.01,1.23,11.04,12.35,10.14,12.35,598623.92,66669.2,0.11,0.1
