,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,601113.SH,20250620,week,3.95,4.01,3.83,3.85,3.98,3.95,4.01,3.83,3.85,8.36,8.49,8.11,8.15,455196.23,178551.79,-0.13,-0.03
1,601113.SH,20250613,week,3.99,4.19,3.98,3.98,4.0,3.99,4.19,3.98,3.98,8.45,8.87,8.43,8.43,781946.0,318105.74,-0.02,-0.01
2,601113.SH,20250606,week,4.01,4.04,3.96,4.0,3.99,4.01,4.04,3.96,4.0,8.49,8.55,8.38,8.47,382896.34,152979.57,0.01,0.0
3,601113.SH,20250530,week,4.04,4.08,3.98,3.99,4.03,4.04,4.08,3.98,3.99,8.55,8.64,8.43,8.45,491899.3,197874.61,-0.04,-0.01
4,601113.SH,20250523,week,4.27,4.28,4.02,4.03,4.25,4.27,4.28,4.02,4.03,9.04,9.06,8.51,8.53,854730.0,354291.18,-0.22,-0.05
5,601113.SH,20250516,week,4.19,4.37,4.11,4.25,4.15,4.19,4.37,4.11,4.25,8.87,9.25,8.7,9.0,1341445.35,568615.77,0.1,0.02
6,601113.SH,20250509,week,4.15,4.36,3.98,4.15,3.87,4.15,4.36,3.98,4.15,8.79,9.23,8.43,8.79,1456519.66,600552.69,0.28,0.07
7,601113.SH,20250502,week,3.95,3.96,3.83,3.87,3.94,3.95,3.96,3.83,3.87,8.36,8.38,8.11,8.19,393504.43,152701.37,-0.07,-0.02
8,601113.SH,20250425,week,3.9,4.02,3.87,3.94,3.88,3.9,4.02,3.87,3.94,8.26,8.51,8.19,8.34,774550.38,306115.22,0.06,0.02
9,601113.SH,20250418,week,3.95,4.09,3.84,3.88,3.89,3.95,4.09,3.84,3.88,8.36,8.66,8.13,8.21,1019208.71,401630.94,-0.01,0.0
10,601113.SH,20250411,week,3.99,4.15,3.4,3.89,4.28,3.99,4.15,3.4,3.89,8.45,8.79,7.2,8.24,1515784.94,573862.12,-0.39,-0.09
11,601113.SH,20250404,week,4.22,4.32,4.21,4.28,4.28,4.22,4.32,4.21,4.28,8.93,9.15,8.91,9.06,606244.13,259407.92,0.0,0.0
12,601113.SH,20250328,week,4.3,4.47,4.21,4.28,4.33,4.3,4.47,4.21,4.28,9.1,9.46,8.91,9.06,1222239.24,531717.59,-0.05,-0.01
13,601113.SH,20250321,week,4.4,4.54,4.28,4.33,4.37,4.4,4.54,4.28,4.33,9.31,9.61,9.06,9.17,1319274.22,579149.89,-0.04,-0.01
14,601113.SH,20250314,week,4.34,4.37,4.22,4.37,4.37,4.34,4.37,4.22,4.37,9.19,9.25,8.93,9.25,1155828.66,495986.8,0.0,0.0
15,601113.SH,20250307,week,4.36,4.46,4.25,4.37,4.38,4.36,4.46,4.25,4.37,9.23,9.44,9.0,9.25,1969708.44,859009.96,-0.01,0.0
16,601113.SH,20250228,week,3.9,4.75,3.88,4.38,3.9,3.9,4.75,3.88,4.38,8.26,10.06,8.21,9.27,4096630.23,1793139.12,0.48,0.12
17,601113.SH,20250221,week,3.93,3.99,3.84,3.9,3.93,3.93,3.99,3.84,3.9,8.32,8.45,8.13,8.26,792391.76,309177.78,-0.03,-0.01
18,601113.SH,20250214,week,4.04,4.11,3.92,3.93,4.03,4.04,4.11,3.92,3.93,8.55,8.7,8.3,8.32,1115855.28,446868.88,-0.1,-0.02
19,601113.SH,20250207,week,4.04,4.07,3.97,4.03,4.04,4.04,4.07,3.97,4.03,8.55,8.62,8.4,8.53,637803.2,256276.29,-0.01,0.0
20,601113.SH,20250131,week,4.12,4.14,4.04,4.04,4.1,4.12,4.14,4.04,4.04,8.72,8.76,8.55,8.55,185388.1,75560.1,-0.06,-0.01
21,601113.SH,20250124,week,3.93,4.23,3.89,4.1,3.92,3.93,4.23,3.89,4.1,8.32,8.95,8.24,8.68,1477748.04,602406.64,0.18,0.05
22,601113.SH,20250117,week,3.61,4.02,3.58,3.92,3.68,3.61,4.02,3.58,3.92,7.64,8.51,7.58,8.3,945130.38,365194.87,0.24,0.07
23,601113.SH,20250110,week,3.68,3.87,3.54,3.68,3.7,3.68,3.87,3.54,3.68,7.79,8.19,7.49,7.79,1069615.37,399492.32,-0.02,-0.01
24,601113.SH,20250103,week,4.21,4.29,3.69,3.7,4.25,4.21,4.29,3.69,3.7,8.91,9.08,7.81,7.83,1524233.86,605781.09,-0.55,-0.13
